排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2324,仁寶,41.4,-0.95,-2.24,06/05,-44232,-44494,-57569,-265531,-272248,-272248,-271830.0,-168757.0,137133.0,-147489.0
2,2303,聯電,131.5,6.5,5.2,06/05,-75865,-174686,-171252,-221115,-258197,-242852,-99353.0,-512128.0,-696915.0,-253542.0
3,1402,遠東新,27.55,0.0,0.0,06/05,-4620,-15656,-46687,-193403,-186328,-169377,149.0,13260.0,27323.0,14128.0
4,2610,華航,19.95,0.05,0.25,06/05,-3245,-18785,-50371,-162099,-161036,-165714,-78591.0,-159656.0,-61623.0,-107632.0
5,1102,亞泥,34.4,0.05,0.15,06/05,344,-3198,-32940,-114723,-108918,-99861,-38314.0,36652.0,34948.0,22121.0
6,2633,台灣高鐵,25.5,-0.05,-0.2,06/05,-1142,-6930,-55412,-88435,-81018,-75188,-21881.0,19673.0,6919.0,16330.0
7,2881,富邦金,118.0,4.0,3.51,06/05,-2920,-7382,-13001,-78070,-133661,-195243,-89225.0,-168031.0,294.0,-99306.0
8,2884,玉山金,33.35,-0.1,-0.3,06/05,-766,-52886,-49135,-65302,-63494,-30731,-28501.0,125635.0,214354.0,33767.0
9,00988A,主動統一全球創新,21.46,-0.63,-2.85,06/05,375,-10216,-37999,-49316,-14102,23926,41787.0,55143.0,,50546.0
10,2834,臺企銀,16.9,-0.2,-1.17,06/05,-6801,-37718,-36537,-41928,-23631,37879,233897.0,261743.0,199858.0,261408.0
11,2609,陽明,54.5,1.3,2.44,06/05,-17477,-33095,-35308,-41219,-46524,-41230,47797.0,-60414.0,51610.0,-8099.0
12,2449,京元電子,309.5,-12.5,-3.88,06/05,-10442,-13315,-19710,-38940,-55012,-6442,35199.0,9118.0,25224.0,33341.0
13,1504,東元,78.4,-8.6,-9.89,06/05,3605,7801,8139,-36918,-35290,-22403,1834.0,-19193.0,44547.0,27610.0
14,3481,群創,53.7,-2.1,-3.76,06/05,-6201,-8792,-5084,-35645,74299,-41065,12247.0,467308.0,525608.0,350362.0
15,2027,大成鋼,43.8,-0.3,-0.68,06/05,-1979,-1217,-28052,-28482,-34171,-85364,-39268.0,37259.0,38430.0,826.0
16,2474,可成,230.5,-11.5,-4.75,06/05,-147,-3353,-7750,-28395,-30442,-30742,-24112.0,-22597.0,2851.0,-19798.0
17,2344,華邦電,162.0,-17.5,-9.75,06/05,-7007,-8697,-26949,-24826,-12684,-9931,123719.0,138308.0,73601.0,137407.0
18,2882,國泰金,100.0,5.6,5.93,06/05,-3079,-2045,3038,-24490,-62458,-114610,26972.0,-167044.0,-40999.0,-40834.0
19,6005,群益證,45.05,2.6,6.12,06/05,-437,-194,-17439,-19070,-16980,-23319,23661.0,19300.0,-52985.0,13693.0
20,0056,元大高股息,51.8,-0.85,-1.61,06/05,-1915,-13866,-13866,-18970,-26784,-50118,3528.0,-59037.0,29197.0,-51039.0
21,3711,日月光投控,577.0,-16.0,-2.7,06/05,-2548,-4166,-6274,-16032,-7022,5303,36379.0,29669.0,-37425.0,34157.0
22,00940,元大台灣價值高息,12.54,-0.08,-0.63,06/05,-4678,-12436,-13003,-16032,-13963,-17365,26736.0,18299.0,41342.0,49731.0
23,1301,台塑,48.9,-1.9,-3.74,06/05,-11169,-13535,-16182,-15903,6024,16253,-70799.0,-46234.0,-125193.0,-101755.0
24,2354,鴻準,60.6,-1.7,-2.73,06/05,-58,-7785,-12852,-12671,-9414,14174,23736.0,28614.0,53095.0,30007.0
25,2408,南亞科,360.0,-35.0,-8.86,06/05,2965,-804,-6885,-11302,-10843,-16230,13227.0,-14151.0,-49742.0,9443.0
26,2337,旺宏,150.0,-6.5,-4.15,06/05,-239,-801,-4771,-10507,-5894,-1829,-7598.0,-86155.0,-98193.0,-85772.0
27,2353,宏碁,38.4,-0.7,-1.79,06/05,-384,-9364,-8055,-10096,-10706,-10691,-9191.0,194950.0,116895.0,111856.0
28,6176,瑞儀,101.0,-0.5,-0.49,06/05,-1812,-6429,-8086,-9703,-7018,-1891,30512.0,16880.0,21271.0,22860.0
29,8422,可寧衛*,28.1,-0.15,-0.53,06/05,-4595,-5368,-6303,-9092,-8857,-6803,-11928.0,65220.0,81938.0,-8997.0
30,8069,元太,214.0,-0.5,-0.23,06/05,659,2027,-7018,-9037,-8901,-12137,5551.0,16189.0,19566.0,12664.0
31,00982A,主動群益台灣強棒,23.74,-0.31,-1.29,06/05,1,-851,-2243,-8991,-20607,-4253,29011.0,30170.0,44442.0,34930.0
32,00929,復華台灣科技優息,29.94,-0.53,-1.74,06/05,3075,-7569,-7518,-8807,-17740,-17067,-13012.0,-6501.0,12463.0,-3474.0
33,2885,元大金,65.3,1.4,2.19,06/05,-138,-313,-9926,-8699,678,8730,34436.0,33425.0,-9482.0,37867.0
