排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
420,1605,華新,市,40.0,2.3,6.1,74845,06/15,2686,220,3045,5951,724.0,16.3,＋＋＋
421,8390,金益鼎,櫃,117.0,6.0,5.41,916,06/15,178,0,109,287,15.6,16.3,＋・＋
422,4977,眾達-KY,市,180.0,-0.5,-0.28,1900,06/15,-272,0,7,-265,13.0,16.2,－・＋
423,5287,數字,櫃,147.5,0.5,0.34,56,06/15,-13,0,0,-13,9.7,16.1,－・・
424,2459,敦吉,市,68.6,-0.4,-0.58,630,06/15,-348,0,2,-346,17.0,16.1,－・＋
425,3088,艾訊,櫃,140.5,-0.5,-0.35,1445,06/15,109,0,-3,106,17.5,16.1,＋・－
426,9912,偉聯,市,12.55,0.05,0.4,894,06/15,0,0,4,4,8.64,16.0,－・＋
427,6770,力積電,市,73.3,6.1,9.08,87140,06/15,-34064,0,3526,-30538,676.0,15.9,－・＋
428,6443,元晶,市,41.2,-0.55,-1.32,38119,06/15,-6792,0,890,-5902,81.6,15.9,－・＋
429,3498,陽程,櫃,125.5,4.5,3.72,1084,06/15,-294,0,39,-255,9.73,15.9,－・＋
430,1537,廣隆,市,127.0,0.0,0.0,59,06/15,9,0,-2,7,13.0,15.8,＋・－
431,00643,群益深証中小,市,19.71,0.15,0.77,2948,06/15,-82,0,370,288,12.1,15.6,－・＋
432,4943,康控-KY,市,9.07,0.01,0.11,48,06/15,0,0,0,0,19.8,15.6,・・・
433,6796,晉弘,市,60.7,1.9,3.23,114,06/15,-20,0,0,-20,6.27,15.6,－・・
434,2375,凱美,市,189.5,17.0,9.86,13570,06/15,1882,0,147,2029,16.9,15.5,＋・＋
435,6206,飛捷,市,129.5,-1.5,-1.15,1405,06/15,-355,-1,-4,-360,22.2,15.5,－－－
436,2364,倫飛,市,68.6,-0.4,-0.58,244,06/15,1,0,0,1,8.13,15.5,＋・－
437,5880,合庫金,市,24.15,0.1,0.42,21472,06/15,4605,-60,249,4794,2425.0,15.5,＋－＋
438,6754,匯僑設計,市,45.05,0.05,0.11,33,06/15,-2,0,0,-2,10.2,15.5,－・・
439,3592,瑞鼎,市,275.5,3.5,1.29,595,06/15,44,6,-1,49,11.7,15.4,＋＋－
440,3163,波若威,櫃,860.0,0.0,0.0,3670,06/15,461,-222,3,242,12.3,15.3,＋－＋
441,6605,帝寶,市,143.5,2.5,1.77,540,06/15,154,0,3,157,25.3,15.2,＋・＋
442,1104,環泥,市,29.1,-0.1,-0.34,1081,06/15,-108,0,14,-94,104.0,15.2,－・＋
443,2109,華豐,市,14.55,0.15,1.04,374,06/15,-12,0,5,-7,42.2,15.1,－・＋
444,2724,藝舍-KY,櫃,12.4,-0.4,-3.12,7,06/15,0,0,0,0,9.01,15.1,・・・
445,2880,華南金,市,36.7,0.7,1.94,18967,06/15,10182,-5305,186,5063,2087.0,15.0,＋－＋
446,1402,遠東新,市,27.55,0.55,2.04,17990,06/15,8390,96,70,8556,802.0,15.0,＋＋＋
447,2606,裕民,市,67.2,-1.1,-1.61,9043,06/15,-5355,-16,-527,-5898,125.0,14.8,－－－
448,7610,聯友金屬-創,市,1745.0,155.0,9.75,403,06/15,255,0,1,256,7.19,14.8,＋・＋
449,4953,緯軟,櫃,136.0,0.5,0.37,807,06/15,237,0,-4,234,10.8,14.7,＋・－
450,2408,南亞科,市,395.5,21.5,5.75,132122,06/15,-6507,1252,-187,-5443,455.0,14.7,－＋－
451,2349,錸德,市,13.75,0.45,3.38,5810,06/15,1552,0,4,1556,102.0,14.6,＋・＋
452,6525,捷敏-KY,市,131.5,6.0,4.78,5397,06/15,-630,0,-1,-631,18.9,14.6,－・－
453,3045,台灣大,市,119.5,0.0,0.0,7645,06/15,561,-13,-150,399,544.0,14.6,＋－－
454,5609,中菲行,櫃,82.6,-0.3,-0.36,757,06/15,-386,0,33,-353,20.7,14.5,－・＋
455,2401,凌陽,市,31.45,2.85,9.97,29214,06/15,11996,0,634,12630,85.5,14.4,＋・＋
456,9939,宏全,市,133.5,0.0,0.0,1903,06/15,-272,0,-13,-285,42.7,14.4,－・－
