單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"7,626,420,410","10,599,108,117","-2,972,687,707"
自營商(避險),"34,155,102,400","52,548,948,440","-18,393,846,040"
投信,"57,245,920,224","53,351,899,399","3,894,020,825"
外資及陸資(不含外資自營商),"416,071,941,691","491,757,372,635","-75,685,430,944"
外資自營商,0,0,0
合計,"515,099,384,725","608,257,328,591","-93,157,943,866"
