排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
278,5876,上海商銀,41.0,1.2,3.02,06/01,1.86,4.13,6.81,11.3,18.4,39.8,367.0,44.5,-23.1,280.0
279,4960,誠美材,32.45,-1.3,-3.85,06/01,-2.25,1.61,4.54,11.1,-2.58,20.6,62.0,105.0,127.0,132.0
280,5212,凌網,46.7,-0.05,-0.11,06/01,11.1,11.1,11.1,11.1,11.1,5.26,-31.0,-28.6,-45.9,-31.0
281,2441,超豐,134.0,-3.5,-2.55,06/01,1.28,3.93,5.42,11.1,33.9,86.6,21.2,374.0,441.0,16.7
282,2536,宏普,19.65,-0.1,-0.51,06/01,-0.59,1.86,5.04,11.1,22.9,37.6,33.4,56.1,17.8,55.3
283,8466,美吉吉-KY,16.1,-0.1,-0.62,06/01,0.0,0.0,11.0,11.0,11.7,11.7,19.9,0.0,-28.7,0.56
284,00927,群益半導體收益,40.83,-0.43,-1.04,06/01,0.0,11.9,13.3,11.0,29.5,26.4,26.1,84.7,32.7,91.7
285,6494,九齊,57.0,-0.2,-0.35,06/01,1.28,6.76,11.0,11.0,-1.0,1.02,32.1,72.5,46.3,73.2
286,6532,瑞耘,97.9,-3.1,-3.07,06/01,1.32,4.95,5.71,10.9,1.91,13.8,143.0,49.0,113.0,104.0
287,2002,中鋼,18.95,-0.15,-0.79,06/01,1.9,3.72,6.38,10.8,20.1,60.7,52.5,33.8,90.6,19.9
288,3042,晶技,210.0,7.5,3.7,06/01,1.12,0.64,-3.56,10.8,31.2,62.2,-18.0,-60.7,-65.5,-61.8
289,8083,瑞穎,170.0,2.0,1.19,06/01,0.65,6.94,10.0,10.8,21.3,26.2,42.6,0.0,-40.8,20.3
290,6165,浪凡,48.35,0.1,0.21,06/01,1.66,5.23,6.56,10.7,14.3,78.1,54.7,48.3,31.6,42.9
