"排名","代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買賣超張數","投信買賣超張數","自營買賣超張數","合計買賣超張數","外資持有(千張)","外資持股(%)","法人買賣超註記"
"514","2397","友通","市","65.4","-1.7","-2.53","1,759","06/04","-161","0","0","-161","14.6","12.7","－・・"
"515","2409","友達","市","29.25","+0.5","+1.74","878,685","06/04","-8,471","+156","+2,105","-6,210","962","12.7","－＋＋"
"516","2601","益航","市","6.08","-0.32","-5","6,913","06/04","+1,477","0","-4","+1,473","105","12.7","＋・－"
"517","4749","新應材","櫃","1025","-45","-4.21","1,033","06/04","-310","0","-36","-346","11.8","12.7","－・－"
"518","2451","創見","市","357","-1","-0.28","14,060","06/04","+4,224","-3,120","+3","+1,107","54.8","12.7","＋－＋"
"519","3028","增你強","市","83.7","+0.3","+0.36","3,532","06/04","+810","-6","0","+804","30.1","12.7","＋－＋"
"520","3374","精材","櫃","254","-21.5","-7.8","18,163","06/04","-6,134","0","-764","-6,897","34.4","12.7","－・－"
"521","8046","南電","市","878","-26","-2.88","8,814","06/04","+25","+401","-90","+336","81.8","12.6","＋＋－"
"522","3030","德律","市","365","-7.5","-2.01","2,883","06/04","-271","0","-23","-294","29.8","12.6","－・－"
"523","5306","桂盟","市","84.5","-0.3","-0.35","91","06/04","+4","0","0","+4","15.9","12.6","＋・・"
"524","4133","亞諾法","市","21.6","+0.35","+1.65","172","06/04","+36","0","0","+36","7.61","12.6","＋・・"
"525","6485","點序","櫃","124","+11","+9.73","6,986","06/04","+463","0","+179","+642","5.95","12.6","＋・＋"
"526","5309","系統電","櫃","81.8","+2.3","+2.89","35,904","06/04","+246","+37","+711","+994","28.8","12.5","＋＋＋"
"527","6934","心誠鎂","市","73.4","0","0","42","06/04","+7","0","0","+7","4.5","12.5","＋・・"
"528","1609","大亞","市","43","+0.85","+2.02","68,799","06/04","-7,344","-2","-263","-7,609","98.1","12.5","－－－"
"529","1785","光洋科","櫃","139.5","-2.5","-1.76","10,183","06/04","-215","+1","-6","-221","74.4","12.5","－＋－"
"530","9958","世紀鋼","市","117.5","+10.5","+9.81","5,300","06/04","+528","0","+123","+651","30.8","12.5","＋・＋"
"531","4906","正文","市","48.9","-2.9","-5.6","25,421","06/04","+794","0","-398","+396","54.1","12.4","＋・－"
"532","2002","中鋼","市","19.25","-0.15","-0.77","75,212","06/04","+3,592","+500","+620","+4,712","1,957","12.4","＋＋＋"
"533","2015","豐興","市","63","+0.3","+0.48","276","06/04","+99","-34","+20","+85","71.8","12.3","＋－＋"
"534","5515","建國","市","41.1","-0.05","-0.12","380","06/04","+145","0","+3","+148","24.8","12.3","＋・＋"
"535","2520","冠德","市","31.8","+0.2","+0.63","2,070","06/04","+460","-3","+5","+462","75","12.3","＋－＋"
"536","2332","友訊","市","16.55","-0.3","-1.78","6,642","06/04","+113","0","+32","+145","73.9","12.3","＋・＋"
"537","4971","IET-KY","櫃","676","-40","-5.59","1,182","06/04","-15","0","-2","-17","4.9","12.2","－・－"
"538","5013","強新","櫃","28.15","-0.1","-0.35","8","06/04","-1","0","0","-1","16.3","12.2","－・・"
"539","6584","南俊國際","櫃","670","+10","+1.52","600","06/04","-116","0","-1","-117","8.63","12.2","－・－"
"540","2353","宏碁","市","39.1","-4.3","-9.91","196,655","06/04","-64,385","+6,710","-2,297","-59,972","371","12.2","－＋－"
"541","1907","永豐餘","市","26.4","+1.35","+5.39","7,894","06/04","-56","0","+95","+38","202","12.2","－・＋"
"542","4739","康普","市","118.5","+4","+3.49","6,502","06/04","-561","0","+4","-557","15.2","12.2","－・＋"
"543","6153","嘉聯益","市","18.45","-1.15","-5.87","6,681","06/04","-2,974","0","+11","-2,964","76.8","12.1","－・＋"
"544","6791","虎門科技","櫃","117","-3","-2.5","32","06/04","-10","0","0","-10","2.5","12","－・・"
"545","6202","盛群","市","57.4","-1","-1.71","1,716","06/04","-153","0","-12","-165","27.5","11.9","－・－"
"546","009820","元大納斯達克精選","市","10.55","-0.34","-3.12","37,819","06/04","-13,094","0","+10,835","-2,259","184","11.9","－・＋"
"547","4953","緯軟","櫃","142","+1.5","+1.07","1,581","06/04","+149","0","+3","+152","8.7","11.9","＋・＋"
"548","2731","雄獅","市","175","+4","+2.34","3,040","06/04","+42","+283","+129","+454","11.1","11.9","＋＋＋"
