"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"0050","元大台灣50","103.5","+2.55","+2.53","26W24","06/09","-7","-700,884","-16.8","-3.51","+19","+143,067","1.17","0.72","-9","-501,480","-9.6","-2.51","-7","-1,093,471","-26.3","-5.47"
"2330","台積電","2305","+10","+0.44","26W24","06/09","-2","-67,593","-23.1","-0.26","+8","+65,454","4.22","0.25","-1","-1,468","-1.72","-0.01","-2","-57,957","-19.8","-0.22"
"2327","國巨*","826","+75","+9.99","26W24","06/09","-5","-75,263","-7.21","-3.63","+7","+63,072","4.26","3.04","-1","-221","-0.3","-0.01","-3","-33,659","-8.95","-1.62"
"0056","元大高股息","51.25","+1.8","+3.64","26W24","06/09","-1","-16,603","-9.01","-0.12","+6","+6,175","0.34","0.05","-1","-4,587","-2.49","-0.03","-1","-20,800","-11.3","-0.15"
"00646","元大S&P500","73.7","+0.35","+0.48","26W24","06/09","+3","+473","1.09","0.08","+6","+1,559","1.38","0.28","+1","+5,684","35.1","1.01","+1","+6,088","37.6","1.08"
"00935","野村臺灣新科技50","60.2","+2.7","+4.7","26W24","06/09","-2","-21,511","-13.7","-3.03","+6","+5,639","1.08","0.79","-9","-165,499","-24.4","-23.3","-9","-186,377","-27.5","-26.2"
"2412","中華電","142","+3.5","+2.53","26W24","06/09","-4","-55,936","-17.5","-0.72","+6","+41,511","9.76","0.54","+6","+6,824","1.6","0.09","-1","-4,221","-11.9","-0.05"
"2542","興富發","43.2","+1.3","+3.1","26W24","06/09","-3","-66,181","-34.2","-3.05","+6","+62,676","16.3","2.88","-1","-99","-0.26","0","+2","+6,563","5","0.3"
"6196","帆宣","520","+32.5","+6.67","26W24","06/09","+4","+2,716","6.47","1.23","+6","+2,655","3.2","1.21","+1","+30","0.89","0.01","+4","+4,962","11.8","2.25"
"6202","盛群","52.9","+1.2","+2.32","26W24","06/09","-2","-2,553","-15.3","-1.11","+6","+988","0.92","0.43","-2","-105","-0.63","-0.05","-2","-2,617","-15.7","-1.14"
"6831","邁科","776","+61","+8.53","26W24","06/09","+1","+561","20.5","0.83","+6","+1,914","4.3","2.84","+2","+30","0.22","0.04","+1","+772","28.2","1.14"
"2376","技嘉","359","+14","+4.06","26W24","06/09","-2","-4,276","-2.75","-0.64","+5","+16,710","3.78","2.49","-2","-1,195","-0.77","-0.18","-1","-713","-2.61","-0.11"
"2489","瑞軒","44.25","+0.65","+1.49","26W24","06/09","-3","-33,525","-6.12","-5.5","+5","+1,499","0.16","0.25","-7","-10,260","-0.69","-1.68","-3","-34,233","-6.25","-5.61"
"2492","華新科","440","+40","+10","26W24","06/09","+6","+62,607","15.1","12.9","+5","+8,281","2.91","1.71","-1","-322","-4.49","-0.07","+6","+74,706","18","15.4"
"4938","和碩","95.1","+3","+3.26","26W24","06/09","-5","-117,148","-21.3","-4.37","+5","+90,778","16.5","3.38","-2","-2,042","-0.65","-0.08","-1","-5,809","-8.16","-0.22"
"5536","聖暉*","1105","+55","+5.24","26W24","06/09","+2","+1,797","15.3","1.45","+5","+3,158","6.66","2.55","-2","-64","-0.55","-0.05","+5","+6,647","14","5.36"
"6770","力積電","71.5","+4","+5.93","26W24","06/09","-2","-119,871","-9.3","-2.82","+5","+5,112","0.09","0.12","-2","-24,373","-1.89","-0.57","-2","-143,886","-11.2","-3.39"
"7734","印能科技","3185","+160","+5.29","26W24","06/09","+1","+10","2.68","0.04","+5","+288","3.7","1.03","+1","+15","4.14","0.06","+1","+36","9.52","0.13"
"00850","元大臺灣ESG永續","89.5","+3.1","+3.59","26W24","06/09","-1","-373","-15.4","-0.09","+4","+2,466","10.2","0.59","+3","+639","4.47","0.15","-1","-228","-9.39","-0.05"
"1101","台泥","23.95","+0.1","+0.42","26W24","06/09","-11","-304,156","-19.9","-4.04","+4","+1,959","0.34","0.03","-1","-1,270","-1.61","-0.02","-11","-304,038","-19.9","-4.04"
"1723","中碳","83.8","-0.5","-0.59","26W24","06/09","+3","+1,135","9.51","0.48","+4","+541","3.54","0.23","-1","-85","-4.55","-0.04","+6","+2,451","10.7","1.03"
"2002","中鋼","18.75","+0.1","+0.54","26W24","06/09","-8","-471,693","-20.6","-3","+4","+3,252","0.22","0.02","-1","-1,362","-0.81","-0.01","-8","-472,152","-20.6","-3"
"2323","中環","11.3","+0.35","+3.2","26W24","06/09","-1","-3,292","-9.95","-0.3","+4","+4,289","1.38","0.39","-1","-1,139","-3.44","-0.1","-1","-4,361","-13.2","-0.4"
"2328","廣宇","52.9","+1.9","+3.73","26W24","06/09","-2","-4,597","-2.62","-0.89","+4","+874","0.31","0.17","-2","-1,767","-1.01","-0.34","-2","-6,328","-3.61","-1.22"
"2329","華泰","56.2","+4.1","+7.87","26W24","06/09","-2","-3,820","-4.57","-0.58","+4","+223","0.08","0.03","-2","-2,833","-3.39","-0.43","-2","-6,623","-7.92","-1.01"
"2351","順德","192.5","+9.5","+5.19","26W24","06/09","+1","+2,315","21","1.27","+4","+2,131","1.6","1.17","-11","-2,424","-0.53","-1.33","+1","+2,420","22","1.33"
"2352","佳世達","30.65","+0.55","+1.83","26W24","06/09","+1","+519","2.06","0.03","+4","+4,203","1.39","0.27","-1","-463","-1.84","-0.03","+1","+227","0.9","0.01"
"2356","英業達","70.6","+1.4","+2.02","26W24","06/09","-3","-63,737","-3.42","-1.78","+4","+82,443","3.86","2.3","-2","-4,216","-0.38","-0.12","-1","-15,581","-13.9","-0.43"
"2382","廣達","375","-1.5","-0.4","26W24","06/09","-5","-243,149","-20.7","-6.29","+4","+240,893","23","6.24","-2","-1,503","-0.25","-0.04","-1","-1,293","-1.14","-0.03"
"2409","友達","24","-0.4","-1.64","26W24","06/09","-3","-385,550","-5.9","-5.11","+4","+576","0.01","0.01","-1","-6,971","-1.22","-0.09","-3","-389,675","-5.96","-5.16"
"2420","新巨","64.2","+1.2","+1.9","26W24","06/09","-1","-291","-18","-0.19","+4","+185","1.07","0.12","-1","-10","-0.62","-0.01","-1","-291","-18","-0.19"
"2493","揚博","169","+5","+3.05","26W24","06/09","-1","-896","-7.98","-0.71","+4","+484","0.44","0.38","-2","-68","-0.12","-0.05","-1","-928","-8.26","-0.73"
"2495","普安","50.4","+3.9","+8.39","26W24","06/09","+1","+238","1.71","0.09","+4","+1,084","0.44","0.4","-3","-268","-0.14","-0.1","+1","+229","1.65","0.08"
"2801","彰銀","22.3","+1.3","+6.19","26W24","06/09","+2","+70,872","21.9","0.6","+4","+30,186","5.25","0.26","-1","-439","-0.36","0","+2","+86,156","26.6","0.73"
"2886","兆豐金","43.55","+2.35","+5.7","26W24","06/09","+1","+12,973","14.8","0.09","+4","+119,938","15.6","0.81","+1","+412","0.47","0","+7","+110,101","10.2","0.74"
"2887","台新新光金","29.55","+1.8","+6.49","26W24","06/09","+2","+64,805","4.68","0.26","+4","+560,449","20.5","2.25","+1","+2,354","0.93","0.01","+2","+400,105","28.9","1.61"
"2892","第一金","30.5","+1.4","+4.81","26W24","06/09","+2","+121,114","24.8","0.84","+4","+42,791","3.54","0.3","+6","+2,344","0.15","0.02","+2","+143,038","29.3","0.99"
"3015","全漢","61.7","-0.4","-0.64","26W24","06/09","-5","-1,965","-3.26","-1.05","+4","+838","1.43","0.45","-1","-74","-0.92","-0.04","-2","-1,072","-2.05","-0.57"
"3042","晶技","228.5","+18","+8.55","26W24","06/09","-1","-5,738","-6.63","-1.67","+4","+9,178","1.91","2.68","-2","-1,786","-0.8","-0.52","-1","-6,746","-7.79","-1.97"
"3045","台灣大","117","+2","+1.74","26W24","06/09","+2","+16,111","16.4","0.43","+4","+48,318","17.4","1.3","-2","-873","-0.89","-0.02","+2","+29,199","29.7","0.78"
"3169","亞信","110","+4","+3.77","26W24","06/09","+1","+17","2.17","0.03","+4","+91","0.66","0.14","-3","-36","-0.4","-0.06","+1","+22","2.85","0.03"
"3231","緯創","165.5","+2","+1.22","26W24","06/09","-1","-17,490","-13","-0.55","+4","+43,530","3.13","1.37","-2","-3,397","-0.38","-0.11","-1","-18,593","-13.8","-0.58"
"3293","鈊象","800","+20","+2.56","26W24","06/09","-3","-8,052","-19.5","-2.86","+4","+12,799","25.6","4.54","-1","-108","-1.51","-0.04","+2","+4,537","16.4","1.61"
"3483","力致","96.3","-0.5","-0.52","26W24","06/09","-2","-870","-3.84","-0.88","+4","+144","0.43","0.15","-1","-34","-1.5","-0.03","-2","-783","-3.45","-0.79"
"3558","神準","136","+12","+9.68","26W24","06/09","+1","+42","6.07","0.07","+4","+182","1.39","0.31","+6","+58","0.38","0.1","+1","+57","8.26","0.1"
"3577","泓格","140.5","+4.5","+3.31","26W24","06/09","+2","+512","10.1","0.8","+4","+495","1.76","0.77","-1","-3","-0.32","-0.01","+2","+532","10.5","0.83"
"3708","上緯投控","120.5","+3.5","+2.99","26W24","06/09","+1","+110","6.33","0.12","+4","+169","0.6","0.18","-2","-218","-2.84","-0.24","+1","+46","2.68","0.05"
"4549","桓達","111.5","+3","+2.76","26W24","06/09","-2","-441","-5.34","-0.77","+4","+435","3.07","0.76","-2","-1","-0.02","0","+1","+4","0.43","0.01"
"4755","三福化","139","-1.5","-1.07","26W24","06/09","-1","-114","-10.3","-0.11","+4","+295","2.24","0.29","-2","-18","-0.5","-0.02","-1","-110","-9.91","-0.11"
"4933","友輝","69.6","+0.8","+1.16","26W24","06/09","+5","+1,870","9.68","2.26","+4","+595","3.6","0.72","-1","-52","-5.06","-0.06","-1","-39","-3.8","-0.05"
"5309","系統電","74.1","+0.1","+0.14","26W24","06/09","-2","-3,991","-2.47","-1.73","+4","+302","0.11","0.13","-3","-392","-0.18","-0.17","-2","-4,042","-2.5","-1.75"
"5871","中租-KY","119.5","+4","+3.46","26W24","06/09","-3","-48,835","-23.9","-2.85","+4","+69,769","27.5","4.08","-1","-98","-0.27","-0.01","+2","+25,157","17.4","1.47"
"5880","合庫金","23.85","+0.8","+3.47","26W24","06/09","+2","+52,616","21.9","0.34","+4","+3,504","0.76","0.02","+6","+2,695","0.43","0.02","+2","+56,345","23.5","0.36"
"6120","達運","13.85","-0.5","-3.48","26W24","06/09","-1","-2,655","-25.5","-0.44","+4","+584","0.52","0.1","-1","-386","-3.7","-0.06","-1","-2,983","-28.6","-0.5"
