排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
162,3105,穩懋,519.0,26.0,5.27,06/17,2.54,2.43,1.58,1.01,0.93,1.05,0.91,0.67,0.61,0.83,1.52,0.7
163,2887,台新新光金,32.6,0.3,0.93,06/17,1.92,1.76,1.51,0.98,0.54,4.73,13.3,8.79,5.53,4.05,2.28,9.63
164,6584,南俊國際,613.0,7.0,1.16,06/17,0.0,0.0,0.0,0.97,0.42,1.73,2.46,2.68,1.78,1.01,,2.84
165,8436,大江,117.0,-1.0,-0.85,06/17,3.47,1.53,1.29,0.97,1.11,2.47,2.15,0.83,0.46,0.18,0.07,1.18
166,3413,京鼎,319.5,-7.0,-2.14,06/17,6.16,3.06,1.35,0.91,0.49,2.91,2.06,1.68,2.11,2.68,1.86,1.65
167,1504,東元,68.7,-1.1,-1.58,06/17,0.0,1.85,1.27,0.9,0.21,1.03,0.85,4.57,3.46,3.74,2.45,1.21
168,5536,聖暉*,1190.0,15.0,1.28,06/17,7.89,2.6,1.58,0.88,0.33,1.81,2.76,4.92,4.68,5.24,3.22,4.72
169,2492,華新科,542.0,48.0,9.72,06/17,0.33,1.51,1.26,0.87,0.8,0.36,0.21,0.27,0.4,0.53,1.54,0.27
170,4991,環宇-KY,560.0,-27.0,-4.6,06/17,4.63,2.11,1.36,0.86,2.12,2.59,1.68,1.78,0.75,0.67,0.76,2.06
171,2421,建準,144.5,2.0,1.4,06/17,0.05,0.02,0.02,0.84,0.26,0.15,0.97,0.75,0.93,1.31,1.52,0.75
172,2890,永豐金,36.35,1.05,2.97,06/17,0.05,1.28,1.23,0.83,0.47,1.99,5.44,4.79,3.58,8.18,3.66,4.78
173,2330,台積電,2385.0,-15.0,-0.62,06/17,1.36,1.05,0.75,0.82,0.5,0.75,1.2,1.21,1.15,0.93,0.78,1.14
174,2313,華通,264.0,15.0,6.02,06/17,0.0,0.62,1.28,0.8,0.78,1.16,1.26,1.07,1.01,1.97,2.0,1.1
175,3045,台灣大,119.0,-1.5,-1.24,06/17,0.85,0.77,0.92,0.77,0.83,1.89,4.16,4.89,9.14,8.3,4.8,5.8
176,2449,京元電子,280.5,2.5,0.9,06/17,1.13,1.17,1.15,0.76,1.08,7.37,6.26,5.95,4.38,4.22,3.25,5.35
177,3023,信邦,313.0,0.0,0.0,06/17,0.9,1.9,1.3,0.76,0.19,1.92,4.05,3.88,3.03,3.11,2.71,3.68
178,3680,家登,517.0,17.0,3.4,06/17,1.88,1.15,1.02,0.75,0.33,0.41,1.07,0.96,0.96,3.68,1.93,1.02
179,8464,億豐,349.5,-1.5,-0.43,06/17,0.07,0.09,0.24,0.75,0.84,1.11,2.12,0.6,0.68,0.12,0.06,0.62
180,2504,國產,33.8,0.15,0.45,06/17,1.63,0.68,0.91,0.71,1.01,3.32,4.26,12.4,13.3,10.0,3.57,4.74
181,2412,中華電,145.5,-1.0,-0.68,06/17,0.15,0.47,0.37,0.7,0.65,0.53,2.62,2.37,2.54,2.54,2.1,2.36
182,7765,中華資安,250.0,3.0,1.21,06/17,0.81,1.33,0.74,0.68,0.4,0.43,0.46,0.28,,,,0.55
183,3455,由田,228.0,-9.0,-3.8,06/17,0.0,0.01,0.01,0.62,0.38,0.15,0.04,0.2,0.2,0.34,0.44,0.21
184,3715,定穎投控,176.0,5.0,2.92,06/17,0.0,0.0,0.0,0.62,0.31,0.26,0.44,0.78,0.57,0.76,,0.62
185,8155,博智,412.0,8.0,1.98,06/17,0.0,1.14,0.8,0.61,0.37,0.67,0.14,0.08,0.04,0.14,0.01,0.15
186,6781,AES-KY,1175.0,20.0,1.73,06/17,0.0,0.0,1.25,0.59,0.57,1.45,1.06,3.27,3.45,3.01,,3.02
187,1795,美時,193.5,2.5,1.31,06/17,0.07,0.84,1.1,0.57,0.27,0.15,0.11,1.33,0.94,2.18,1.37,1.37
188,2884,玉山金,35.5,0.3,0.85,06/17,0.58,0.31,0.48,0.53,0.44,7.29,10.2,6.75,4.71,4.8,1.98,7.86
189,2105,正新,29.7,-2.45,-7.62,06/17,0.75,0.65,0.59,0.53,0.35,1.09,1.59,9.77,10.5,7.52,3.96,9.67
190,3708,上緯投控,114.5,-2.5,-2.14,06/17,0.0,1.06,0.89,0.51,0.21,0.05,0.05,0.05,0.02,1.27,,0.05
191,2317,鴻海,272.0,3.0,1.12,06/17,1.64,1.24,0.91,0.5,0.27,0.42,0.78,1.83,1.6,1.57,1.05,1.23
192,8112,至上,96.8,1.0,1.04,06/17,0.18,0.09,0.41,0.5,0.74,0.42,1.16,0.57,0.89,0.21,0.11,0.97
193,2371,大同,28.0,-0.05,-0.18,06/17,0.02,1.37,0.88,0.49,0.13,0.51,0.31,2.08,1.9,0.62,0.25,0.48
