排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
67,6831,邁科,市,06/15,,747.0,20.0,2.75,1073,796.0,727.0,746.0,765.0,718.0,6.46,152.0,18.84,,,,,
68,6949,沛爾生醫-創,市,06/15,,740.0,23.0,3.21,342,250.0,717.0,733.0,746.0,705.0,5.72,,18.23,,,,,
69,3406,玉晶光,市,06/15,,728.0,66.0,9.97,5146,3681.0,662.0,671.0,728.0,662.0,9.97,22.1,3.14,,,,,
70,3563,牧德,市,06/15,,722.0,16.0,2.27,362,261.0,706.0,723.0,727.0,715.0,1.7,46.1,8.86,,,,,
71,7728,光焱科技,櫃,06/15,,711.0,-3.0,-0.42,59,41.9,714.0,720.0,736.0,707.0,4.06,132.0,13.96,,,,,
72,3363,上詮,櫃,06/15,,707.0,-30.0,-4.07,3111,2252.0,737.0,754.0,757.0,701.0,7.6,,14.01,,,,,
73,1560,中砂,市,06/15,,703.0,51.0,7.82,2025,1404.0,652.0,672.0,711.0,670.0,6.29,69.1,12.71,,,,,
74,7805,威聯通,櫃,06/15,,698.0,-3.0,-0.43,72,50.8,701.0,711.0,712.0,698.0,2.0,16.2,3.28,,,,,
75,4966,譜瑞-KY,櫃,06/15,,675.0,0.0,0.0,1127,763.0,675.0,684.0,694.0,668.0,3.85,20.4,2.33,,,,,
76,3189,景碩,市,06/15,,660.0,50.0,8.2,21350,13715.0,610.0,631.0,660.0,621.0,6.39,166.0,8.06,,,,,
77,6526,達發,市,06/15,,655.0,22.0,3.48,940,622.0,633.0,659.0,675.0,642.0,5.21,37.6,6.12,,,,,
78,5904,寶雅,櫃,06/15,,635.0,-12.0,-1.85,315,201.0,647.0,646.0,648.0,629.0,2.94,20.2,10.59,,,,,
79,2379,瑞昱,市,06/15,,634.0,16.0,2.59,2577,1613.0,618.0,639.0,644.0,616.0,4.53,22.7,7.23,,,,,
80,4583,台灣精銳,市,06/15,,628.0,10.0,1.62,79,49.5,618.0,620.0,638.0,620.0,2.91,55.1,5.21,,,,,
81,6584,南俊國際,櫃,06/15,,625.0,40.0,6.84,593,363.0,585.0,598.0,627.0,590.0,6.32,80.7,12.37,,,,,
82,8358,金居,櫃,06/15,,624.0,50.0,8.71,1926,1174.0,574.0,594.0,625.0,594.0,5.4,120.0,19.34,,,,,
83,3711,日月光投控,市,06/15,,590.0,0.0,0.0,22457,13507.0,590.0,619.0,623.0,590.0,5.59,54.5,7.38,,,,,
84,4958,臻鼎-KY,市,06/15,,590.0,38.0,6.88,50898,30059.0,552.0,578.0,607.0,572.0,6.34,83.5,5.02,,,,,
85,2467,志聖,市,06/15,,576.0,24.0,4.35,957,550.0,552.0,570.0,580.0,568.0,2.17,76.5,10.8,,,,,
86,6196,帆宣,市,06/15,,573.0,25.0,4.56,4068,2368.0,548.0,580.0,597.0,563.0,6.2,36.3,7.23,,,,,
87,7717,萊德光電-KY,櫃,06/15,,573.0,-21.0,-3.54,494,291.0,594.0,614.0,614.0,573.0,6.9,,13.43,,,,,
88,6291,沛亨,櫃,06/15,,556.0,20.0,3.73,1561,878.0,536.0,537.0,587.0,531.0,10.4,65.0,18.27,,,,,
89,4971,IET-KY,櫃,06/15,,551.0,13.0,2.42,765,419.0,538.0,559.0,565.0,536.0,5.39,108.0,10.53,,,,,
90,4979,華星光,櫃,06/15,,550.0,49.0,9.78,954,506.0,501.0,522.0,550.0,516.0,6.79,99.8,18.95,,,,,
91,4991,環宇-KY,櫃,06/15,,544.0,-10.0,-1.81,7389,4072.0,554.0,570.0,573.0,539.0,6.14,218.0,15.43,,,,,
92,6415,矽力*-KY,市,06/15,,535.0,48.0,9.86,4919,2566.0,487.0,507.0,535.0,506.0,5.95,71.9,5.45,,,,,
93,6451,訊芯-KY,市,06/15,,524.0,22.0,4.38,3462,1810.0,502.0,530.0,544.0,508.0,7.17,,7.94,,,,,
94,3044,健鼎,市,06/15,,520.0,23.0,4.63,3480,1782.0,497.0,510.0,520.0,499.0,4.23,25.3,4.69,,,,,
95,3693,營邦,櫃,06/15,,514.0,13.0,2.59,411,212.0,501.0,513.0,520.0,507.0,2.59,59.8,4.18,,,,,
96,6830,汎銓,市,06/15,,514.0,17.0,3.42,1669,802.0,497.0,488.0,514.0,456.0,11.7,,8.5,,,,,
97,3105,穩懋,櫃,06/15,,511.0,6.0,1.19,23767,12134.0,505.0,524.0,528.0,499.5,5.64,97.9,5.29,,,,,
98,3450,聯鈞,市,06/15,,507.0,46.0,9.98,5478,2751.0,461.0,489.0,507.0,489.0,3.9,150.0,14.16,,,,,
99,8021,尖點,市,06/15,,506.0,-16.0,-3.07,14856,7618.0,522.0,528.0,529.0,503.0,4.98,144.0,13.64,,,,,
100,3680,家登,櫃,06/15,,502.0,-1.0,-0.2,1054,538.0,503.0,519.0,528.0,501.0,5.37,51.4,4.29,,,,,
101,7749,意騰-KY,市,06/15,,498.5,-6.5,-1.29,515,261.0,505.0,511.0,521.0,497.5,4.65,40.0,5.89,,,,,
102,3034,聯詠,市,06/15,,495.0,6.5,1.33,2892,1434.0,488.5,500.0,501.0,491.5,1.94,20.3,4.19,,,,,
103,5386,青雲,櫃,06/15,,494.5,9.0,1.85,1049,524.0,485.5,499.5,508.0,490.5,3.6,9.79,7.35,,,,,
104,6643,M31,櫃,06/15,,493.0,21.0,4.45,512,252.0,472.0,486.0,498.0,484.0,2.97,12325.0,11.43,,,,,
105,7744,崴寶,櫃,06/15,,493.0,0.0,0.0,121,59.7,493.0,504.0,504.0,484.0,4.06,29.3,5.97,,,,,
106,6789,采鈺,市,06/15,,488.5,7.0,1.45,1653,808.0,481.5,495.0,497.5,484.0,2.8,105.0,8.22,,,,,
107,2395,研華,市,06/15,,485.0,12.0,2.54,1975,961.0,473.0,486.0,494.0,480.5,2.85,37.5,8.49,,,,,
108,5434,崇越,市,06/15,,468.0,2.0,0.43,782,366.0,466.0,476.0,476.0,462.5,2.9,19.8,4.72,,,,,
