項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),684163,496735,19052,9300654,9469030
融券(交易單位),31457,30912,1516,204255,202194
融資金額(仟元),51217597,36966775,724575,593930024,607456271
