項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),639791,627060,5639,9398970,9406062
融券(交易單位),34587,47302,2648,259794,269861
融資金額(仟元),44039585,39357529,441295,568395179,572635940
