項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),573216,458457,8464,9088828,9195123
融券(交易單位),32562,20933,8140,224946,205177
融資金額(仟元),50157253,34592663,685445,557027949,571907094
