排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
279,1103,嘉泥,13.45,0.05,0.37,06/29,62.3,9.61,14.0,12.6,9.47,10.9,6.82,4.24,-1.96,-2.29,0.09,4.11
280,7820,立盈,111.0,-0.5,-0.45,06/29,-18.8,-5.67,8.82,12.6,5.85,13.7,,,,,,
281,006203,元大MSCI台灣,189.85,0.9,0.48,06/29,32.6,20.1,18.0,12.5,5.79,0.01,-1.23,-0.44,0.01,0.01,-2.17,-0.49
282,2755,揚秦,141.0,-1.0,-0.7,06/29,24.1,15.3,12.8,12.5,5.51,3.95,-3.94,1.68,-0.3,-0.91,,1.56
283,6146,耕興,191.5,1.5,0.79,06/29,-9.18,0.19,14.7,12.3,22.8,0.27,2.45,2.36,-1.55,-5.1,-4.01,2.69
284,6568,宏觀,158.5,-2.0,-1.25,06/29,10.7,15.3,12.7,12.3,6.67,2.35,0.02,0.22,0.09,0.32,,0.38
285,6873,泓德能源,82.7,3.3,4.16,06/29,51.1,12.6,11.5,12.2,-2.57,-10.2,-3.82,-2.47,-0.84,-0.32,,-2.7
286,00859B,群益0-1年美債,40.88,0.05,0.12,06/29,-0.11,3.11,5.78,12.2,4.11,1.08,1.55,3.39,2.32,2.47,,3.7
287,5306,桂盟,85.7,1.8,2.15,06/29,33.2,23.9,15.2,12.1,-0.94,5.93,5.7,3.19,-3.76,-3.94,-0.88,2.88
288,6186,新潤,41.55,0.25,0.61,06/29,-7.73,-4.73,20.9,12.1,-0.05,-1.59,-2.27,-2.7,-0.25,-1.07,-0.34,-2.86
289,6870,騰雲,244.5,-12.5,-4.86,06/29,11.2,18.5,15.3,12.1,4.24,1.74,-2.05,-1.05,-0.74,,,-1.76
290,1806,冠軍,8.1,0.04,0.5,06/29,27.5,-7.86,-1.37,12.0,9.48,9.63,21.6,9.91,1.01,0.32,-1.45,10.2
291,1316,上曜,10.35,0.25,2.48,06/29,35.4,4.84,2.41,12.0,-4.05,-2.64,0.04,-2.19,1.98,-0.11,-0.1,-1.75
292,3363,上詮,567.0,-8.0,-1.39,06/29,1.84,18.6,19.4,11.9,3.36,1.36,-1.41,-0.4,0.29,0.09,0.08,-0.86
293,8499,鼎炫-KY,309.0,9.0,3.0,06/29,22.5,25.4,25.8,11.8,14.0,2.27,1.52,0.67,0.23,0.19,,-0.95
294,1583,程泰,49.45,0.4,0.82,06/29,29.0,-17.4,-19.8,11.8,5.02,-1.24,0.56,1.63,0.98,0.5,0.37,1.64
295,2368,金像電,1155.0,-35.0,-2.94,06/29,30.8,32.5,30.2,11.8,7.97,4.94,2.13,2.09,0.79,0.32,0.3,2.11
296,00985A,主動野村台灣50,21.33,0.09,0.42,06/29,19.3,13.8,11.1,11.8,11.7,6.85,4.77,2.72,,,,2.46
297,1201,味全,12.3,0.1,0.82,06/29,30.0,-18.8,0.46,11.7,-0.14,0.57,-4.98,-5.84,-4.87,-9.16,-1.91,-5.61
298,6441,廣錠,21.9,0.2,0.92,06/29,39.1,9.56,8.98,11.7,17.2,1.54,-1.99,-1.46,-1.08,-0.1,,-1.46
299,3217,優群,178.0,-4.0,-2.2,06/29,-22.5,-9.25,11.0,11.6,0.62,4.01,3.88,-1.31,-0.65,0.07,0.16,-1.25
300,1473,台南,19.75,-0.1,-0.5,06/29,8.56,-13.1,0.01,11.6,4.51,4.87,1.76,0.27,-1.48,-1.7,-2.86,0.21
