項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),496160,474213,6137,9073019,9088829
融券(交易單位),22600,28544,5342,224344,224946
融資金額(仟元),43665056,35337448,476641,549176982,557027949
