排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
190,3050,鈺德,12.8,-0.65,-4.83,06/08,0.0,-0.14,0.13,0.71,1.03,1.28,0.25,-1.7,-2.15,-8.37,-2.92,-0.03
191,2243,宏旭-KY,27.75,-0.3,-1.07,06/08,0.15,-0.18,0.47,0.71,2.92,2.76,6.37,6.1,5.74,6.06,,6.06
192,00968B,元大優息投等債,9.27,-0.02,-0.22,06/08,0.43,0.52,0.62,0.71,0.56,1.13,2.98,3.99,52.6,,,3.28
193,6182,合晶,80.0,-5.5,-6.43,06/08,0.15,-0.17,-0.06,0.7,3.53,4.49,10.6,11.7,6.93,6.62,8.84,11.6
194,1605,華新,35.8,-3.75,-9.48,06/08,0.09,0.0,0.08,0.7,0.84,1.97,3.43,6.09,1.64,-8.29,-10.7,6.39
195,3052,夆典,10.7,-0.25,-2.28,06/08,0.58,0.55,0.59,0.7,0.9,0.65,-1.53,-2.48,-1.68,-1.12,0.03,-3.23
196,7751,竑騰,1430.0,-115.0,-7.44,06/08,0.78,0.84,0.75,0.7,1.5,1.11,1.78,1.32,,,,2.35
197,00865B,國泰US短期公債,48.05,0.13,0.27,06/08,0.98,0.97,0.96,0.69,-1.32,-1.73,-6.0,-4.91,-6.38,-6.56,,-4.87
198,6164,華興,12.5,-0.6,-4.58,06/08,-0.1,0.12,0.31,0.69,1.02,0.82,3.14,2.81,1.36,4.08,4.44,4.32
199,1449,佳和,14.9,1.35,9.96,06/08,0.94,0.83,0.75,0.69,0.52,0.26,0.49,-0.14,-4.46,-3.48,-3.2,-0.21
200,4716,大立,16.8,0.0,0.0,06/08,0.28,0.23,0.3,0.69,0.9,0.63,1.38,2.04,0.73,2.11,2.26,2.03
201,8255,朋程,163.0,-12.0,-6.86,06/08,0.33,0.77,0.78,0.69,-0.91,-0.3,1.67,0.6,0.82,1.01,1.24,1.48
202,9103,美德醫療-DR,6.06,0.21,3.59,06/08,0.37,-0.08,-0.07,0.69,0.67,0.87,0.42,0.36,0.42,0.43,0.41,0.36
203,3011,今皓,14.55,-0.25,-1.69,06/08,0.45,0.25,0.32,0.68,2.49,2.75,3.33,0.15,-0.84,-0.52,2.05,1.51
204,1595,川寶,75.2,-0.8,-1.05,06/08,0.32,0.23,0.07,0.68,0.89,-0.38,-0.43,1.05,-1.26,-0.59,-0.02,1.11
205,1718,中纖,10.0,0.15,1.52,06/08,-0.04,0.85,0.85,0.68,0.93,0.81,0.19,0.77,-0.57,-3.29,-1.71,0.7
206,4545,銘鈺,37.3,-2.8,-6.98,06/08,0.24,0.51,0.47,0.68,0.84,0.55,0.69,0.81,0.22,-0.09,0.28,0.71
207,3581,博磊,156.5,-17.0,-9.8,06/08,0.01,0.69,0.44,0.67,-2.69,-2.85,2.08,-0.28,0.39,2.81,3.36,2.15
