排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
111,3163,波若威,860.0,0.0,0.0,3670,06/15,-43,10,-124,63,40.0,89.0,-219.0,-2970.0,-628.0,-1861.0
112,6191,精成科,103.0,9.2,9.81,21335,06/15,75,75,76,63,25.0,68.0,-241.0,-693.0,-376.0,-686.0
113,3045,台灣大,119.5,0.0,0.0,7645,06/15,-2,37,-35,58,-14.0,58.0,-27.0,3.0,10.0,-110.0
114,6213,聯茂,263.5,11.0,4.36,7634,06/15,22,5,-15,54,-112.0,-354.0,27.0,-364.0,-781.0,-260.0
115,6202,盛群,65.2,5.8,9.76,22672,06/15,19,45,49,51,13.0,20.0,18.0,30.0,32.0,33.0
116,8071,能率網通,26.95,2.45,10.0,5062,06/15,20,-6,28,51,20.0,63.0,73.0,64.0,52.0,61.0
117,8074,鉅橡,72.2,1.7,2.41,1282,06/15,24,4,5,50,48.0,54.0,-99.0,-200.0,73.0,-475.0
118,3550,聯穎,28.05,-1.0,-3.44,9299,06/15,-9,-15,-128,49,115.0,123.0,64.0,139.0,136.0,42.0
119,0056,元大高股息,51.5,0.9,1.78,33707,06/15,36,38,29,48,-112.0,38.0,61.0,-66.0,43.0,-128.0
120,00910,第一金太空衛星,70.45,-4.8,-6.38,9203,06/15,40,37,28,48,21.0,51.0,53.0,54.0,55.0,53.0
121,3294,英濟,39.4,3.55,9.9,2388,06/15,58,53,50,48,-244.0,-93.0,-174.0,-339.0,-1136.0,-213.0
122,2493,揚博,227.5,20.5,9.9,712,06/15,3,20,25,45,65.0,53.0,67.0,68.0,75.0,25.0
123,4556,旭然,73.4,6.6,9.88,150,06/15,2,39,45,45,46.0,45.0,48.0,48.0,48.0,48.0
124,6546,正基,75.0,1.0,1.35,374,06/15,7,7,11,44,39.0,45.0,49.0,15.0,41.0,44.0
125,6405,悅城,62.5,-6.8,-9.81,4027,06/15,40,46,46,43,-26.0,26.0,138.0,144.0,73.0,101.0
126,8926,台汽電,72.4,-1.8,-2.43,11202,06/15,-33,-20,-11,43,19.0,-495.0,109.0,113.0,102.0,113.0
127,3687,歐買尬,77.4,-1.9,-2.4,312,06/15,-11,0,-19,42,76.0,127.0,83.0,-30.0,124.0,-29.0
128,4927,泰鼎-KY,51.6,2.1,4.24,5983,06/15,42,38,-21,42,-162.0,-255.0,-15.0,-389.0,60.0,-820.0
129,2243,宏旭-KY,40.9,3.7,9.95,3099,06/15,32,35,39,40,39.0,41.0,41.0,41.0,40.0,41.0
130,5230,雷笛克光學,19.3,1.75,9.97,1268,06/15,40,40,40,40,40.0,40.0,40.0,0.0,-65.0,40.0
131,2369,菱生,35.75,2.6,7.84,14313,06/15,37,51,59,38,-347.0,29.0,-119.0,-200.0,5.0,-166.0
132,8271,宇瞻,208.5,6.0,2.96,2353,06/15,3,22,25,38,10.0,-22.0,-394.0,-109.0,106.0,-320.0
133,2404,漢唐,1380.0,70.0,5.34,5579,06/15,-11,22,26,37,21.0,36.0,17.0,-7.0,-139.0,-14.0
134,00671R,富邦NASDAQ反1,2.37,-0.07,-2.87,7873,06/15,24,52,56,36,-46.0,85.0,-145.0,193.0,898.0,128.0
