項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),488163,497496,5069,9195112,9180710
融券(交易單位),25828,18071,2895,205177,194525
融資金額(仟元),44470699,44767573,300330,571904853,571307649
