項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),535278,417738,7437,9066915,9177018
融券(交易單位),49524,43363,15065,237429,216203
融資金額(仟元),43318975,29972289,481991,551012201,563876896
