排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,00403A,主動統一升級50,10.61,0.36,3.51,823217,06/15,-10939,-16148,-7047,-18770,-38213,-59318,,,,
2,3481,群創,51.4,2.85,5.87,100104,06/15,8223,10259,5789,-15400,-59367,-32639,15167.0,214948.0,199244.0,161333.0
3,00673R,期元大S&P原油反1,13.98,0.74,5.59,36018,06/15,-2492,-5645,-5278,-11548,-13394,-27494,47797.0,80269.0,4181.0,78362.0
4,00631L,元大台灣50正2,37.07,2.24,6.43,275708,06/15,-2910,-7545,-4857,-10930,31014,46368,172728.0,173441.0,170176.0,173921.0
5,1605,華新,40.0,2.3,6.1,74845,06/15,-2064,-1555,-5053,-8059,-5594,16832,7368.0,2987.0,36976.0,109.0
6,2324,仁寶,37.85,1.5,4.13,74846,06/15,-882,675,-743,-7815,-12702,3018,26474.0,21168.0,35697.0,20906.0
7,2489,瑞軒,45.0,3.35,8.04,23641,06/15,165,-49,-3457,-7656,-5611,2606,18036.0,40724.0,37412.0,41198.0
8,1303,南亞,117.0,10.5,9.86,85711,06/15,-4143,-659,-1122,-6471,-26670,-19489,-29875.0,-16770.0,12047.0,-27110.0
9,00753L,中信中國50正2,9.55,0.05,0.53,7464,06/15,-464,-2662,-2404,-6434,-7856,-727,5422.0,3171.0,-4684.0,1949.0
10,1504,東元,73.2,2.2,3.1,22331,06/15,-350,-1655,-2078,-5859,2590,4511,5657.0,7354.0,24610.0,7190.0
11,6282,康舒,58.3,0.2,0.34,26262,06/15,-149,-228,-1074,-5151,-1741,-1114,890.0,4222.0,13288.0,255.0
12,1802,台玻,67.4,3.3,5.15,82940,06/15,-261,313,-1707,-4591,-1687,-3815,12079.0,-5961.0,36861.0,-1423.0
13,8150,南茂,95.9,-1.1,-1.13,44055,06/15,1702,-2770,4248,-4401,-10410,9521,11833.0,12206.0,21364.0,9693.0
14,6116,彩晶,16.5,0.9,5.77,25407,06/15,-1422,-1859,-5798,-4168,-20627,-6870,-8348.0,-1150.0,-3408.0,256.0
15,9904,寶成,26.65,0.0,0.0,19241,06/15,205,-1941,-2080,-4034,-1307,2957,6566.0,871.0,-2803.0,555.0
16,1718,中纖,9.28,0.08,0.87,8492,06/15,104,-124,-43,-3960,-2609,-3034,-3213.0,-4530.0,-14051.0,-4730.0
17,6005,群益證,40.05,1.05,2.69,15345,06/15,-372,-336,-683,-3532,-839,138,382.0,3952.0,2953.0,2914.0
18,6182,合晶,97.7,8.8,9.9,7677,06/15,617,544,-1497,-3463,-13706,7952,30594.0,32701.0,37298.0,32097.0
19,00992A,主動群益科技創新,18.24,0.44,2.47,60132,06/15,-921,-2029,-3001,-3329,-9008,-32060,18334.0,,,21115.0
