項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),525862,703539,6395,9512446,9328374
融券(交易單位),31002,39904,4131,199161,203932
融資金額(仟元),42748795,62081510,741963,611000560,590925882
