項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),504272,448940,5984,9386108,9435456
融券(交易單位),28254,24534,6680,205287,194887
融資金額(仟元),49195932,31310233,463179,594229687,611652207
