"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"1","00715L","期街口布蘭特正2","57.1","+2","+3.63","26W19","05/08","3.87","-18,207","-32","3.58","-16,658","-31.8","3.48","-16,658","-32.4"
"2","8093","保銳","18.25","0","0","26W19","05/08","1.72","0","0","1.72","0","0","1.62","0","0"
"3","00916","國泰全球品牌50","30","0","0","26W19","05/08","1.09","+1,701","+18.4","1.09","+1,701","+18.4","0.73","+769","+11.7"
"4","00962","台新AI優息動能","14.68","-0.89","-5.72","26W19","05/08","1.29","+300","+2.38","1.22","-465","-3.68","0.92","-1,383","-13"
"5","00988A","主動統一全球創新","20.25","-1.21","-5.64","26W19","05/08","28.2","+2,545","+0.91","25.3","-1,831","-0.72","23.5","-3,036","-1.28"
"6","4967","十銓","277.5","-1.5","-0.54","26W19","05/08","2.17","-295","-1.34","1.91","+661","+3.58","1.63","+429","+2.7"
"7","00907","永豐優息存股","15.73","-0.57","-3.5","26W19","05/08","1.71","+3,733","+28","1.71","+3,733","+28","1.43","+2,847","+24.9"
"8","00991A","主動復華未來50","18.69","-0.53","-2.76","26W19","05/08","44.3","+14,031","+3.27","41.8","+12,666","+3.12","37.5","+12,598","+3.48"
"9","4513","福裕","15.45","+0.2","+1.31","26W19","05/08","4.85","-1","0","4.85","-1","0","4.75","0","0"
"10","4939","亞電","65.6","+5.9","+9.88","26W19","05/08","2.01","-446","-2.17","1.86","-410","-2.15","1.61","-368","-2.23"
"11","3234","光環","124","-1","-0.8","26W19","05/08","2.75","-1,956","-6.64","2.28","-660","-2.82","2.18","-654","-2.91"
"12","00685L","群益臺灣加權正2","266.85","-24.7","-8.47","26W19","05/08","0.5","+630","+14.3","0.5","+1,315","+35.5","0.5","+1,315","+35.5"
"13","00960","野村全球航運龍頭","17.55","-0.01","-0.06","26W19","05/08","0.91","+1,555","+20.7","0.91","+1,555","+20.7","0.91","+1,555","+20.7"
"14","3118","進階","33.65","-0.45","-1.32","26W19","05/08","0.95","+2","+0.02","0.58","0","0","0.39","0","0"
