"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"1","00715L","期街口布蘭特正2","53.6","+2.4","+4.69","26W21","05/22","48.9","+0.39","45.7","-1.13","43.6","-1.37"
"2","8093","保銳","18.7","+0.4","+2.19","26W21","05/22","47","0","47","0","44.3","0"
"3","4513","福裕","15.5","-0.9","-5.49","26W21","05/22","42.2","+0.01","42.2","+0.01","41.4","+0.01"
"4","4967","十銓","277.5","+8.5","+3.16","26W21","05/22","17.8","-2.97","16.9","-2.36","16","-1.36"
"5","00962","台新AI優息動能","14.43","-0.03","-0.21","26W21","05/22","25.5","+1.65","24.2","+0.29","20","+0.29"
"6","4939","亞電","60.2","+0.1","+0.17","26W21","05/22","19.4","-1.27","18","+0.11","15.4","0"
"7","1514","亞力","118","-1","-0.84","26W21","05/22","41.5","+0.2","36.7","-0.61","35.8","-0.01"
"8","3234","光環","109","-4","-3.54","26W21","05/22","25.3","-0.05","20.5","-0.03","19.6","-0.03"
"9","00916","國泰全球品牌50","27.28","-0.27","-0.98","26W21","05/22","18.2","+1.54","18.2","+1.54","13.9","+1.54"
"10","00920","富邦ESG綠色電力","25.05","-0.38","-1.49","26W21","05/22","7","+3.41","0","0","0","0"
"11","6805","富世達","1750","-5","-0.28","26W21","05/22","52.5","-0.65","46.1","-2.01","46.1","-0.57"
"12","00907","永豐優息存股","16.15","-0.01","-0.06","26W21","05/22","9.41","-0.43","9.41","-0.43","8.4","-0.43"
"13","00988A","主動統一全球創新","19.85","+0.03","+0.15","26W21","05/22","25","+4.22","23.3","+4.61","22.3","+4.71"
"14","00989B","台新美國非投等債","10.06","+0.03","+0.3","26W21","05/22","41","+2.42","39.9","+2.42","34","+1.06"
"15","6282","康舒","57.2","-1.3","-2.22","26W21","05/22","46.2","+2.43","44.9","+2.22","44.4","+2.53"
"16","3324","雙鴻","998","-12","-1.19","26W21","05/22","42.3","-1.67","36.4","-0.99","29.4","-1.87"
"17","6225","天瀚","23.1","-0.45","-1.91","26W21","05/22","56.5","0","54.1","0","50.7","0"
"18","6126","信音","41.55","+2.95","+7.64","26W21","05/22","34.7","+1.74","30.6","+0.9","28.6","-0.49"
"19","00983B","大華優利美公債20","15.59","+0.03","+0.19","26W21","05/22","45.6","+1.85","45.6","+1.85","45.6","+1.85"
"20","009810","玉山全球藍籌100","20.11","-0.14","-0.69","26W21","05/22","20.8","+2.83","13.7","-1.13","13.7","-1.13"
"21","2406","國碩","39.4","+3.55","+9.9","26W21","05/22","33.8","-0.86","32.3","-0.59","30","-1.35"
