"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"63","6509","聚和","46.65","0","0","05/13","+0.21","+2.03","+1.05","+2","+2.36","+2.59","-2.05","+0.13","+0.07","+1.9","+0.71","-0.72"
"64","6187","萬潤","1225","+5","+0.41","05/13","+0.1","+0.68","+0.85","+1.98","-1.42","-4.34","+9.47","+19.7","+19.3","+30.9","+27.6","+16.6"
"65","00717","富邦美國特別股","15.2","+0.05","+0.33","05/13","+0.64","+0.9","+1.31","+1.98","+2.99","+4.79","+7.57","+11.8","+15.4","+51.7","","+9.49"
"66","00930","永豐ESG低碳高息","21.48","-0.39","-1.78","05/13","-0.44","+0.07","+0.23","+1.92","+5.32","+14.8","+17.5","+24.2","+30.7","","","+23.3"
"67","00970B","新光BBB投等債20+","9.34","0","0","05/13","+0.44","+0.66","+1.35","+1.85","+2.39","+4.36","+6.61","+20.3","+58.1","","","+13.1"
"68","2428","興勤","203","+1.5","+0.74","05/13","+0.26","+0.95","+1.07","+1.84","+2.27","+2.18","+4.74","+4.64","+1.14","+4.05","+3.15","+5.4"
"69","2376","技嘉","313.5","-7.5","-2.34","05/13","+0.39","+0.85","+1.05","+1.84","+2.63","+6.44","+10.9","+3.23","+8.93","-6.33","-11.6","+7.19"
"70","4576","大銀微系統","248.5","-9.5","-3.68","05/13","-0.13","+0.44","+1.91","+1.84","-0.33","+0.65","+6.93","+7.36","+3.61","+5.78","","+6.57"
"71","00737","國泰AI機器人","36.96","-0.26","-0.7","05/13","+0.05","+0.69","+0.87","+1.81","+5.6","+8.48","+8.84","+10.7","+18.6","+65.2","","+10.5"
"72","4991","環宇-KY","700","-40","-5.41","05/13","+0.16","+0.98","+1.68","+1.8","+1.1","+1.77","+2.76","+4.8","+12.7","+8.97","-0.69","+1.05"
"73","4912","聯德控股-KY","104.5","+9.5","+10","05/13","+0.93","+0.89","+1.14","+1.79","+1.52","+2.23","+2.47","-2.08","-7.48","-2.89","-3.47","-1.94"
"74","3189","景碩","497.5","+3.5","+0.71","05/13","+0.14","-0.05","+0.77","+1.76","+1.25","+2.25","+1.49","+2.68","+7.63","+9.22","-2.81","-2.56"
"75","00956","中信日經高股息","12.59","+0.24","+1.94","05/13","+0.57","+0.92","+1.11","+1.76","+1.96","+1.51","+2.07","+10.2","+15.5","","","+2.12"
"76","2606","裕民","64.3","+0.4","+0.63","05/13","+0.43","+0.85","+1.01","+1.75","+2.28","+2.1","+3.51","+5.57","+5.66","+2.32","+9.89","+6.87"
"77","00900","富邦特選高股息30","17","-0.25","-1.45","05/13","+0.11","+0.45","+0.79","+1.74","+3.82","+7.5","+8.51","+15.5","+15.1","+22.7","","+13.7"
"78","6532","瑞耘","101.5","-2","-1.93","05/13","-0.31","-0.64","-1.45","+1.74","+0.45","+0.67","-0.48","+0.4","-1.71","+0.3","","-0.15"
"79","4571","鈞興-KY","191","-3","-1.55","05/13","+0.22","+0.56","+1.3","+1.73","+1.46","+1.46","+1.73","+2.11","-8.14","-5.58","","+1.78"
"80","4961","天鈺","173.5","-4","-2.25","05/13","-0.27","-0.19","-0.27","+1.73","+1.78","+0.6","+0.67","+2.48","-2.04","+1.38","","-0.04"
"81","6830","汎銓","746","-34","-4.36","05/13","+0.67","+0.52","+0.97","+1.73","+0.61","+0.29","+0.02","+5.75","+3.1","-0.63","","+3"
"82","2312","金寶","29.1","-0.35","-1.19","05/13","+0.18","-0.34","+1.34","+1.71","+1.31","-1.14","-2.29","-0.9","-9.76","-3.07","-5.89","+2.39"
