"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","00981A","主動統一台股增長","29.97","+0.28","+0.94","378,420","05/12","-5,723","-13,586","-27,162","-74,008","-56,125","+67,124","+140,988","+144,601","","+102,767"
"2","2337","旺宏","153","-6.5","-4.08","137,569","05/12","-3,964","-4,730","-21,753","-20,095","-39,308","-29,705","-36,928","+26,914","+90,876","+18,928"
"3","2317","鴻海","250","-2","-0.79","84,325","05/12","-977","-1,710","-5,580","-11,502","-12,266","-15,633","-17,399","-12,006","-12,624","-14,694"
"4","00680L","元大美債20正2","6.89","-0.05","-0.72","14,417","05/12","+53","-3,792","-6,851","-9,509","-8,647","-13,575","-90,932","-175,584","-200,467","-150,530"
"5","2892","第一金","29.4","-0.15","-0.51","41,174","05/12","+68","-81","-2,667","-5,970","+3,790","+4,034","+4,984","+11,573","+7,436","+4,009"
"6","3026","禾伸堂","330","+0.5","+0.15","2,669","05/12","-844","-3,722","-5,067","-5,331","-4,933","-236","+10,322","+10,157","+12,894","+9,996"
"7","1802","台玻","71.1","+1.2","+1.72","132,631","05/12","-643","+2,684","+668","-5,234","-1,268","-173","+11,588","+9,155","+45,613","+2,012"
"8","5521","工信","11.5","-0.6","-4.96","6,398","05/12","+182","+9","-5,390","-5,122","-4,720","-2,929","-11,797","+6,389","+3,364","-1,660"
"9","3714","富采","73.7","+5.8","+8.54","52,503","05/12","+2,039","+1,152","+1,058","-5,121","-1,686","+10,595","+19,259","+20,651","+24,783","+20,705"
"10","6285","啟碁","282","+23","+8.88","47,531","05/12","-1,203","-1,632","-3,998","-4,953","-3,558","-2,418","-5,549","+9,051","+11,857","+9,423"
"11","00953B","群益優選非投等債","9.55","0","0","28,475","05/12","-1,191","-684","-3,819","-4,544","+1,289","-2,898","+18,282","+57,738","+55,547","+29,490"
"12","00632R","元大台灣50反1","11.21","+0.05","+0.45","92,874","05/12","+3,129","-751","-5,334","-4,197","-2,669","+28,172","+44,789","+66,123","+167,458","+68,395"
"13","2489","瑞軒","41.8","-1.2","-2.79","35,037","05/12","-1,509","-1,476","-2,561","-4,173","+7,734","-7,354","+16,704","+41,509","+39,560","+42,788"
"14","4927","泰鼎-KY","52.8","-2.1","-3.83","11,683","05/12","-1,833","-1,957","-2,472","-3,968","-4,233","+7,085","+9,866","+10,149","+24,561","+5,033"
"15","00753L","中信中國50正2","10.92","+0.1","+0.92","11,714","05/12","+459","+406","+267","-3,611","-2,275","+1,992","+8,162","+4,984","-26,132","-1,264"
"16","8150","南茂","87","-4","-4.4","34,359","05/12","-878","-3,269","-3,524","-3,409","-5,383","+3,585","-1,477","+6,692","+11,018","+146"
"17","00665L","富邦恒生國企正2","10.37","+0.12","+1.17","13,707","05/12","-581","+299","+416","-3,392","+1,683","-3,872","+7,198","-5,779","-44,888","-14,527"
"18","2605","新興","33","-1.1","-3.23","6,222","05/12","-88","-502","-501","-3,368","-2,962","-2,697","+2,427","+629","+417","-495"
"19","8064","東捷","118.5","+5","+4.41","5,202","05/12","-406","-433","-819","-3,285","-1,435","-1,413","+4,197","+2,610","+3,484","+1,903"
"20","2455","全新","375","+15","+4.17","3,359","05/12","-533","-778","-1,394","-3,194","-69","-3,825","-2,534","+1,819","-3,483","+806"
"21","2484","希華","38.9","-0.7","-1.77","9,202","05/12","-392","-1,078","-1,628","-2,970","-2,700","+6,229","+9,442","+10,643","+10,116","+10,726"
"22","4967","十銓","285.5","+1","+0.35","11,402","05/12","-182","-773","-1,548","-2,859","-5,823","+786","+2,655","+1,673","+4,922","-3,392"
"23","6147","頎邦","196","-0.5","-0.25","31,804","05/12","-264","+1,282","-2,975","-2,822","+5,037","+7,338","+44,826","+43,564","+45,421","+44,586"
"24","3264","欣銓","228.5","+3","+1.33","11,200","05/12","-346","-446","-1,860","-2,778","-570","-7,625","-6,365","+329","+727","-8,709"
"25","8028","昇陽半導體","238.5","+4.5","+1.92","21,724","05/12","+373","+430","+459","-2,763","-3,086","-2,665","+1,559","+1,025","+2,290","+287"
"26","00688L","國泰20年美債正2","6.87","-0.06","-0.87","6,209","05/12","-374","-576","-683","-2,620","-2,330","-8,459","-49,712","-88,169","-114,478","-84,286"
"27","2886","兆豐金","39.2","-0.9","-2.24","23,346","05/12","+123","+118","+89","-2,543","-2,406","+4","-244","-166","-776","-116"
"28","6456","GIS-KY","67.8","+1.2","+1.8","9,763","05/12","-100","+382","+175","-2,372","-3,541","+7,866","+11,067","+11,437","+11,369","+10,893"
"29","6789","采鈺","594","-6","-1","10,082","05/12","+425","-753","-612","-2,363","-1,800","-2,121","-3,819","+3,321","+8,239","+569"
"30","2301","光寶科","234.5","+10.5","+4.69","91,946","05/12","-5,189","-1,916","-3,106","-2,336","-106","-1,799","-2,578","-9,300","+6,954","-4,368"
