"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"40","3450","聯鈞","395.5","-26.5","-6.28","05/15","-830","-2,892","-3,089","-3,206","-1,159","-2,988","-8,757","-8,419","+512","-8,774"
"41","5351","鈺創","87.5","-4","-4.37","05/15","-383","-278","-711","-3,134","-5,578","+3,876","+3,570","+159","+4,614","-3,932"
"42","5388","中磊","77.6","-0.1","-0.13","05/15","+242","-1,027","+67","-2,614","-3,229","-3,283","+4,755","+11,496","+8,520","+9,748"
"43","2481","強茂","117.5","+2","+1.73","05/15","-914","-2,000","-2,345","-2,539","-2,730","-5,170","-8,557","-18,920","-3,298","-29,901"
"44","2395","研華","459.5","-5.5","-1.18","05/15","-172","-2,284","-2,416","-2,362","-684","-3,861","+1,756","+12,780","+13,785","+9,938"
"45","8358","金居","389.5","-37.5","-8.78","05/15","-314","+529","+660","-2,338","-1,382","+663","-399","-4,442","-3,249","-1,886"
"46","6505","台塑化","51.3","-1.1","-2.1","05/15","-32","-498","-1,437","-2,278","-5,561","-8,485","+9,151","+4,483","-12,907","+4,436"
"47","3006","晶豪科","251","+13","+5.46","05/15","-451","-849","-1,901","-2,238","-2,132","-1,025","+1,167","-11,017","-3,442","-1,836"
"48","6509","聚和","45.85","-1.2","-2.55","05/15","-581","-1,851","-1,982","-1,991","-2,199","-2,208","+2,975","+2,968","+901","+2,955"
"49","00753L","中信中國50正2","10.45","-0.5","-4.57","05/15","-300","-300","-153","-1,989","-2,685","-2,945","-3,823","-1,133","-20,708","-5,201"
"50","3033","威健","47.9","+1.5","+3.23","05/15","+262","+357","-619","-1,967","-2,707","-6,841","-19,138","-15,867","+3,538","-8,547"
"51","2492","華新科","206","-14","-6.36","05/15","-1,026","-1,844","-1,576","-1,921","-2,092","-3,193","-4,675","-13,835","-8,080","-17,063"
"52","1304","台聚","12.25","-0.5","-3.92","05/15","+328","+570","-284","-1,910","-278","+4,218","+27,108","+30,321","+23,420","+27,297"
"53","6206","飛捷","130","-6.5","-4.76","05/15","-211","-1,341","-1,435","-1,900","-1,842","-2,267","-3,367","-5,291","+631","-5,545"
"54","2369","菱生","29.7","-0.55","-1.82","05/15","+214","-928","-894","-1,819","-3,549","-2,045","+130","-4,843","+4,132","-892"
"55","2357","華碩","641","-38","-5.6","05/15","-1,219","-1,148","-2,071","-1,763","+1,384","+4,747","+13,779","+49,878","+48,857","+28,838"
"56","6244","茂迪","27.55","-0.7","-2.48","05/15","-305","-523","-941","-1,729","-1,711","+9,455","+4,006","+16,063","+19,077","+11,453"
"57","3227","原相","220","-8","-3.51","05/15","+106","-664","-1,000","-1,719","-1,566","-2,334","-3,367","+55","+5,707","+1,074"
"58","2104","國際中橡","9.72","-0.22","-2.21","05/15","+300","+457","-1,679","-1,701","-1,717","-1,493","+2,303","+7,747","+6,924","+4,235"
"59","2520","冠德","30.9","-0.25","-0.8","05/15","-192","-419","-925","-1,650","-1,474","+543","+6,012","-29,883","+15,212","-3,561"
"60","2103","台橡","20.75","-1.25","-5.68","05/15","-58","-392","-1,486","-1,628","-935","+2,440","+6,135","-1,360","+6,984","+6,113"
"61","4904","遠傳","98.3","+0.2","+0.2","05/15","-36","-547","-1,280","-1,552","-698","+696","+6","-2,074","-8,593","-277"
"62","3529","力旺","3830","-90","-2.3","05/15","-290","-726","-800","-1,499","-1,689","-2,094","-739","+1,066","+2,365","+234"
