"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"239","8255","朋程","145.5","-0.5","-0.34","714","05/08","-83","-68","-222","-204","-45","-118","-86","-519","-146","-202"
"240","6117","迎廣","80.7","-4.6","-5.39","1,558","05/08","-40","-30","-144","-203","+108","+98","-589","-284","-395","-919"
"241","3543","州巧","39.85","+0.85","+2.18","1,708","05/08","+65","-6","-90","-202","-603","-1,743","-401","+3,749","+6,714","+3,459"
"242","5426","振發","17.75","-0.15","-0.84","369","05/08","-31","-124","-124","-201","-350","-696","-539","-1,348","-1,509","-898"
"243","6215","和椿","112","-0.5","-0.44","2,253","05/08","-94","-120","-321","-200","-131","-26","-482","+62","-465","-4"
"244","2520","冠德","30.05","+0.6","+2.04","1,561","05/08","-155","-255","-270","-198","-48","+124","-2,099","-1,147","-793","-4,077"
"245","4903","聯光通","43","-2.4","-5.29","3,172","05/08","-97","-96","-77","-197","-644","-315","+1,389","+4,286","+3,989","+733"
"246","5288","豐祥-KY","152","-1.5","-0.98","178","05/08","-1","-32","-163","-194","-273","+236","+408","+1,246","+1,332","+902"
"247","3230","錦明","34.2","+0.2","+0.59","583","05/08","-2","-2","-90","-191","-453","-1,071","-2,672","-6,873","-2,397","-5,802"
"248","6761","穩得","206","+4.5","+2.23","2,018","05/08","+4","-83","-21","-187","-412","+274","+923","+1,092","+2,837","+1,163"
"249","6830","汎銓","787","-87","-9.95","2,939","05/08","-212","-260","-379","-187","+99","-475","+1,481","+2,656","+2,913","+2,554"
"250","1314","中石化","7.14","-0.11","-1.52","21,973","05/08","+252","-86","-404","-185","-398","+24","+3,237","-17,991","+13,774","-1,483"
"251","2615","萬海","76.5","-1.7","-2.17","7,766","05/08","+200","+269","+154","-184","-341","+480","+350","+2,163","+12,361","+1"
"252","3356","奇偶","55.1","-1","-1.78","705","05/08","-42","-36","-76","-184","-16","+155","-81","-845","-1,221","-251"
"253","9908","大台北","29.45","0","0","268","05/08","-9","0","-19","-184","-209","-433","+227","+269","+271","+245"
"254","00679B","元大美債20年","26.71","-0.1","-0.37","29,836","05/08","-47","-38","-441","-183","-225","-972","-5,156","-8,018","-16,656","-9,447"
"255","2308","台達電","2200","-80","-3.51","11,802","05/08","-78","+63","-251","-183","+572","-101","-420","-1,482","+3,746","-2,890"
"256","2230","泰茂","33.85","-1.2","-3.42","3,409","05/08","-119","-149","-116","-182","-304","-455","-352","-1,081","-793","-1,115"
"257","3037","欣興","818","-78","-8.71","36,010","05/08","-468","+94","+356","-180","+4,976","+3,250","-3,812","+12,703","+12,702","+6,501"
"258","6167","久正","12.2","+0.05","+0.41","530","05/08","+32","+11","+67","-179","-163","-1,355","-53","-43","-63","-266"
"259","6425","易發","81.3","+0.5","+0.62","2,436","05/08","-28","-30","-79","-179","-356","-406","-462","-1,131","+870","-1,141"
"260","6669","緯穎","5200","+320","+6.56","4,061","05/08","+55","+3","-30","-179","+131","-484","+18","+730","-130","+410"
"261","1786","科妍","56.8","-0.8","-1.39","265","05/08","-2","+38","-1","-176","-110","-151","-718","-1,451","-3,910","-580"
"262","3062","建漢","26.8","+0.25","+0.94","16,460","05/08","-37","-41","+53","-174","-1,651","-1,287","-135","-2,326","+1,048","-1,676"
"263","4556","旭然","42.3","-1.05","-2.42","1,179","05/08","-204","-202","-224","-173","-354","-270","-140","-273","-541","-158"
"264","6561","是方","345","+10.5","+3.14","201","05/08","-9","-31","-39","-169","-50","+39","+30","+31","+69","-98"
"265","8011","台通","19.3","-0.35","-1.78","2,091","05/08","+51","+98","+125","-166","-406","-161","-748","-1,409","-1,335","-1,094"
"266","3583","辛耘","788","-9","-1.13","1,833","05/08","-31","-29","-250","-165","+236","-207","+46","+6","+397","+171"
"267","6179","亞通","23.7","-0.35","-1.46","956","05/08","+7","-26","-55","-165","-211","-931","+3,701","-2,024","+6,628","+1,318"
"268","6821","聯寶","51","-1.8","-3.41","661","05/08","-105","-156","-101","-163","-90","+218","+1,224","+1,200","+1,092","+1,279"
"269","8085","福華","12.3","-0.2","-1.6","596","05/08","0","-1","-157","-162","-235","-507","-1,117","-3,164","-6,559","-1,776"
"270","6168","宏齊","26.1","-0.85","-3.15","4,547","05/08","-27","-71","-148","-158","-258","-266","+1,940","+1,861","+1,912","+2,231"
"271","3438","類比科","64.8","-3.2","-4.71","1,183","05/08","-107","-125","-207","-157","-59","-73","-35","-167","-375","-130"
"272","6122","擎邦","49.25","-0.35","-0.71","168","05/08","-9","-15","-65","-157","-271","-450","-739","+125","-330","-77"
"273","2601","益航","4.91","-0.01","-0.2","1,804","05/08","0","-97","-97","-156","-325","-665","-2,220","-3,439","-6,424","-2,759"
"274","2613","中櫃","22.3","-0.35","-1.55","313","05/08","-7","-84","-140","-156","-207","-262","-309","-1,049","-127","-535"
"275","6170","統振","51.9","-0.1","-0.19","227","05/08","-108","-116","-114","-156","-154","-82","-71","-1,344","-1,325","-841"
"276","7750","新代","2545","-60","-2.3","457","05/08","-50","-78","-152","-156","-22","+300","","","",""
"277","1723","中碳","79.9","+1.2","+1.52","1,227","05/08","-54","-88","-99","-155","-232","-799","+420","+581","+609","+328"
"278","6588","東典光電","143","-6.5","-4.35","1,992","05/08","-21","+23","-130","-154","-102","+20","+648","","","+767"
"279","00983A","主動中信ARK創新","11.67","-0.15","-1.27","3,616","05/08","-6","-14","-62","-153","-233","-624","-968","-2,099","","-1,128"
"280","6435","大中","210.5","-11.5","-5.18","926","05/08","-21","-91","-94","-149","-173","-123","+7","+716","+208","+550"
"281","00633L","富邦上証正2","52.1","-0.75","-1.42","5,062","05/08","-45","+197","+470","-148","-304","-3,549","-6,571","-5,634","-19,947","-5,764"
"282","5009","榮剛","36.5","+0.4","+1.11","11,176","05/08","-354","-363","-541","-147","+1,676","+2,053","+1,980","+2,128","+440","+2,605"
"283","2061","風青","20.6","-0.55","-2.6","972","05/08","+77","-200","-60","-145","+564","+689","+715","+783","+878","+418"
"284","00637L","元大滬深300正2","21.49","-0.25","-1.15","25,238","05/08","+87","+2,094","-377","-144","-1,712","-22,231","-44,169","-42,676","-160,703","-22,884"
"285","2723","美食-KY","66.8","+0.5","+0.75","276","05/08","-29","-34","-61","-143","-138","-89","-292","-351","-342","-304"
"286","7734","印能科技","3630","-40","-1.09","88","05/08","-32","-38","-62","-143","-331","-14","+309","","","+747"
"287","4737","華廣","58.8","+0.3","+0.51","125","05/08","-56","-72","-84","-142","-116","-188","+106","+177","+234","+198"
"288","1808","潤隆","28.45","+0.05","+0.18","849","05/08","-12","-4","-12","-141","+336","+257","+113","+1,465","+97","+1,427"
"289","00965","元大航太防衛科技","26","-0.15","-0.57","3,856","05/08","-11","-1","-116","-140","-153","-467","-462","-2,203","+2,119","-357"
"290","2880","華南金","33.3","0","0","19,777","05/08","+57","+4","-12","-136","+610","+543","+676","+600","+219","+577"
"291","1324","地球","10.3","+0.1","+0.98","150","05/08","+1","-46","-85","-134","-134","-212","-323","-279","-806","-303"
"292","3176","基亞","33.05","-0.05","-0.15","407","05/08","-102","-121","-121","-134","+99","+217","-215","","","+44"
"293","1326","台化","46.95","-2.5","-5.06","42,320","05/08","+994","+1,050","+237","-133","-2,032","-4,168","-963","-6,592","-4,340","-6,110"
"294","2359","所羅門","119.5","-1","-0.83","1,773","05/08","-14","-57","-214","-133","+153","+234","-814","-1,174","-2,911","-768"
"295","4958","臻鼎-KY","401","-26","-6.09","43,761","05/08","-967","-8","-2,191","-133","+2,800","+4,249","+1,311","+18,661","+22,458","+18,006"
"296","00899","FT潔淨能源","26.07","-0.62","-2.32","624","05/08","-145","-132","-136","-132","-72","+5","-166","-136","-26","-106"
"297","2440","太空梭","16.75","-0.75","-4.29","1,341","05/08","-47","-43","-62","-132","+503","+681","+681","+681","+681","+681"
"298","4142","國光生","17.8","-0.15","-0.84","1,182","05/08","-62","-17","-29","-132","-110","+456","-377","+1,085","+2,862","-163"
"299","3324","雙鴻","1065","-5","-0.47","4,159","05/08","+41","+89","+166","-131","-216","-1,025","-1,297","+1,832","+135","+660"
"300","3712","永崴投控","20.65","-0.4","-1.9","605","05/08","-21","-31","-94","-131","-68","+240","-1,082","-2,619","-4,284","-928"
