"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","00683L","期元大美元指正2","20.79","+0.02","+0.1","05/12","0","0","88.5","27.3","4.98","7.45","2.74","2.46","1.92","2.78","","3.46"
"2","4915","致伸","71.1","-0.6","-0.84","05/12","79.6","79","77.6","71.2","66.2","58.3","62.6","58.4","51.5","43.7","33.5","58.7"
"3","2880","華南金","32.55","-0.7","-2.11","05/12","81.2","78.1","76.8","69","73.2","58.5","63.6","63.2","57.8","55.3","47","62"
"4","8464","億豐","334.5","-0.5","-0.15","05/12","73.7","75.3","74.2","77.6","78.5","75.1","75.9","76.2","71.5","67.2","58.3","73.9"
"5","2207","和泰車","470","-5.5","-1.16","05/12","63.2","73.7","73.1","71.6","70.8","69.7","68.4","70.1","70.4","68.2","61","68.3"
"6","5871","中租-KY","109.5","-2.5","-2.23","05/12","79.7","75","71.8","68.4","66.2","47.5","51.4","45.8","52.4","59","55.5","48"
"7","1590","亞德客-KY","1535","-15","-0.97","05/12","77.8","73","71.2","71.5","72.8","73.6","74.1","71.7","72.7","72.1","54","70.7"
"8","2912","統一超","226","-1.5","-0.66","05/12","64.7","72.3","69.6","67.1","69.6","63.8","54.5","58.4","60.3","63.6","67.4","55.3"
"9","5274","信驊","18005","+180","+1.01","05/12","62.5","63.5","69.2","68.6","64.1","62.6","60.4","61.5","53","48.8","39.4","60.2"
"10","2501","國建","22.4","-0.25","-1.1","05/12","77.9","69","69.1","44.4","55.1","38","33.9","35.6","33.9","28.9","27.2","34"
"11","9904","寶成","25.85","+0.05","+0.19","05/12","57.7","68.1","67.8","64.4","60","63.1","61","50.2","56.8","54","50.1","53.2"
"12","4904","遠傳","95.5","-0.7","-0.73","05/12","75.8","72.7","67.4","69.3","59.6","64.9","60.7","63.1","52.4","54.4","55.9","59.2"
"13","2006","東和鋼鐵","66.2","-1.5","-2.22","05/12","67.6","62.5","66.9","65","69.5","69","41.5","47.3","51.3","45.1","29.5","42.3"
"14","1102","亞泥","34.6","-0.05","-0.14","05/12","60.5","70.6","66.5","64.1","62.3","55.7","62.8","65","62.4","53.7","48.2","62"
"15","2330","台積電","2255","+20","+0.89","05/12","65.4","67.7","66.1","64.6","67.7","59.5","63.2","61.2","55.7","56.7","60","62.2"
