" "," ","#","股票代號/名稱","類別","20260417","0424","0430","0508","0515","0522"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","44","2344華邦電","半導體","-0.70","0.27","0.88","3.04","3.85","-2.56"," ","30","4.78"," ","69.64","125.00","11.00"," "
" "," ","45","3042晶技","電子零組件","5.93","0.73","-0.06","-1.28","-0.32","-0.23"," ","50","4.77"," ","65.84","176.00","16.00"," "
" "," ","46","3591艾笛森","光電","1.80","-1.64","0.37","1.38","0.80","2.05"," ","31","4.76"," ","52.80","26.75","0.75"," "
" "," ","47","1721三晃","化學","0.77","8.16","-2.01","1.34","-2.19","-1.32"," ","31","4.75"," ","42.17","29.00","-0.90"," "
" "," ","48","3305昇貿","其他電子","0.57","0.75","-1.22","1.54","3.66","-0.56"," ","30","4.74"," ","47.53","146.00","7.00"," "
" "," ","49","4722國精化","化學","-0.30","0.42","0.09","2.18","1.01","1.30"," ","31","4.70"," ","59.82","286.50","26.00"," "
" "," ","50","6715嘉基","電子零組件","0.71","-0.72","0.03","2.82","0.91","0.72"," ","10","4.47"," ","80.64","461.50","-15.50"," "
" "," ","51","2027大成鋼","鋼鐵","-0.68","-0.74","1.22","1.15","1.13","2.30"," ","31","4.38"," ","72.54","41.95","-0.40"," "
" "," ","52","5284jpp-KY","其他","2.92","-0.25","0.78","0.60","0.72","-0.51"," ","30","4.26"," ","58.13","410.00","19.00"," "
" "," ","53","2465麗臺","電腦週邊","1.47","1.94","-0.18","1.05","-0.18","0.15"," ","31","4.25"," ","36.27","85.90","2.80"," "
" "," ","54","6278台表科","光電","6.27","1.72","0.82","-0.39","-1.01","-3.16"," ","10","4.25"," ","69.74","245.00","22.00"," "
" "," ","55","3209全科","電子通路","1.32","0.61","0.35","1.01","1.11","-0.18"," ","30","4.22"," ","48.67","78.00","-1.10"," "
" "," ","56","3026禾伸堂","電子零組件","3.45","-0.24","-1.45","0.17","1.35","0.91"," ","30","4.19"," ","55.21","476.50","43.00"," "
" "," ","57","6282康舒","電子零組件","-0.74","0.34","0.19","0.68","1.42","2.27"," ","50","4.16"," ","47.77","57.40","3.80"," "
" "," ","58","2303聯電","半導體","1.27","0.98","-0.11","1.17","0.71","-0.12"," ","10","3.90"," ","78.73","114.00","-2.00"," "
" "," ","59","2438翔耀","光電","-0.02","0.00","0.01","-0.02","3.85","-0.01"," ","30","3.81"," ","58.52","22.00","0.00"," "
" "," ","60","6224聚鼎","電子零組件","1.70","0.11","-0.52","3.76","-1.14","-0.13"," ","31","3.78"," ","38.87","86.10","2.70"," "
" "," ","61","4919新唐","半導體","3.65","2.22","-0.24","-0.38","-3.94","2.38"," ","31","3.69"," ","66.90","199.50","18.00"," "
" "," ","62","8016矽創","半導體","0.15","0.44","-0.53","1.80","2.15","-0.40"," ","30","3.61"," ","45.07","292.00","-5.50"," "
" "," ","63","2428興勤","電子零組件","-0.33","0.18","0.00","0.45","1.57","1.74"," ","50","3.61"," ","64.34","242.50","12.50"," "
" "," ","64","8105凌巨","光電","1.64","0.52","-0.05","0.28","0.60","0.51"," ","30","3.50"," ","63.53","17.40","0.95"," "
" "," ","65","3231緯創","電腦週邊","0.69","2.18","0.53","1.26","-1.42","0.25"," ","31","3.49"," ","61.12","144.50","4.50"," "
" "," ","66","3024憶聲","光電","0.24","1.12","0.96","0.67","-0.37","0.78"," ","31","3.40"," ","50.87","17.60","0.45"," "
" "," ","67","2317鴻海","其他電子","0.13","0.77","0.26","1.63","0.17","0.35"," ","31","3.31"," ","69.77","250.00","2.50"," "
" "," ","68","3550聯穎","電子零組件","2.19","0.36","0.52","-1.80","0.29","1.73"," ","50","3.29"," ","44.34","21.75","0.85"," "
" "," ","69","2316楠梓電","電子零組件","-0.18","0.15","-0.45","1.26","0.28","2.18"," ","31","3.24"," ","66.76","153.50","2.50"," "
" "," ","70","1516川飛","其他","0.00","1.11","0.00","1.49","0.74","-0.11"," ","10","3.23"," ","63.10","20.75","-0.25"," "
" "," ","71","2355敬鵬","電子零組件","0.04","-3.40","1.47","2.06","1.64","1.35"," ","10","3.16"," ","48.67","65.20","0.20"," "
" "," ","72","3189景碩","半導體","-0.30","1.90","-0.81","-1.46","2.07","1.69"," ","30","3.09"," ","72.04","609.00","55.00"," "
" "," ","73","3011今皓","電子零組件","0.89","1.91","-0.09","-0.45","0.00","0.77"," ","50","3.03"," ","34.66","13.70","0.25"," "
" "," ","74","2406國碩","光電","0.01","0.75","0.34","3.21","-0.53","-0.75"," ","10","3.03"," ","36.42","31.75","0.85"," "
" "," ","75","3038全台","光電","0.88","0.53","0.64","0.28","0.43","0.19"," ","30","2.95"," ","42.39","23.15","0.60"," "
" "," ","76","6206飛捷","電腦週邊","-0.30","0.19","-0.29","0.29","3.43","-0.38"," ","30","2.94"," ","52.06","140.00","3.00"," "
" "," ","77","8150南茂","半導體","6.50","-1.21","-0.15","5.14","-6.23","-1.12"," ","31","2.93"," ","70.64","79.10","3.20"," "
" "," ","78","2408南亞科","半導體","-0.77","0.09","2.99","1.69","0.98","-2.10"," ","10","2.88"," ","81.06","310.50","17.50"," "
" "," ","79","2342茂矽","半導體","0.39","0.85","0.01","5.00","-4.56","1.07"," ","31","2.76"," ","40.58","41.40","0.95"," "
" "," ","80","4540全球傳動","電機","3.83","3.81","-0.34","-1.23","-4.19","0.86"," ","31","2.74"," ","41.03","72.60","3.10"," "
" "," ","81","2243宏旭-KY","汽車","-1.76","2.96","2.43","-0.21","-0.09","-0.64"," ","30","2.69"," ","54.06","22.80","0.80"," "
" "," ","82","9105泰金寶-DR","存託憑證","0.72","-0.16","0.17","-0.21","-0.20","2.33"," ","50","2.65"," ","32.48","6.75","0.61"," "
" "," ","83","2312金寶","其他電子","0.87","-2.37","0.01","-0.13","0.81","3.46"," ","50","2.65"," ","51.85","33.10","3.00"," "
" "," ","84","6116彩晶","光電","1.05","-0.30","-0.24","1.33","0.23","0.57"," ","31","2.64"," ","48.10","11.85","1.05"," "
" "," ","85","2388威盛","半導體","1.24","0.99","-0.43","-0.90","-0.42","2.12"," ","50","2.60"," ","69.74","88.00","2.00"," "
" "," ","86","3022威強電","電腦週邊","0.81","0.41","-0.26","1.27","-0.03","0.39"," ","31","2.59"," ","59.29","71.60","1.70"," "
" "," ","87","6831邁科","電腦週邊","-0.45","1.77","-1.72","-2.20","4.60","0.59"," ","30","2.59"," ","62.62","786.00","5.00"," "
" "," ","88","3043科風","其他電子","0.03","2.02","0.41","0.00","-0.06","0.16"," ","31","2.56"," ","19.56","21.40","0.15"," "
