"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"392","7714","創泓科技","櫃","05/11","","129.5","-2","-1.52","97","12.5","131.5","131.5","131.5","129","1.9","20.5","4.9","","","","",""
"393","6605","帝寶","市","05/11","","129","-1","-0.77","297","38.4","129","131.5","131.5","128.5","2.31","9.23","1.07","","","","",""
"394","3016","嘉晶","市","05/11","","128.5","+11.5","+9.83","5,498","687","128.5","121","128.5","119","8.12","313","7.57","","","","",""
"395","7631","聚賢研發-創","市","05/11","","128.5","+5","+4.05","108","13.7","128.5","123.5","131.5","122","7.69","19.6","3.08","","","","",""
"396","3088","艾訊","櫃","05/11","","128","+3.5","+2.81","2,313","295","124.5","127","131","122","7.23","22.6","2.71","","","","",""
"397","6192","巨路","市","05/11","","128","+4","+3.23","794","101","128","125","129","125","3.23","12.7","1.64","","","","",""
"398","00757","統一FANG+","市","05/11","","127.85","+2.95","+2.36","4,855","619","127.85","127.05","127.95","127.05","0.72","","0.9969","","","","",""
"399","6214","精誠","市","05/11","","127","+1.5","+1.2","932","118","127","128","128","125","2.39","16.1","1.9","","","","",""
"400","1514","亞力","市","05/11","","126.5","+3","+2.43","9,838","1,230","126.5","125","127","122.5","3.64","38.3","5.41","","","","",""
"401","3535","晶彩科","市","05/11","","126","-2.5","-1.95","3,702","466","126","126","129","122.5","5.06","315","8.94","","","","",""
"402","1537","廣隆","市","05/11","","125.5","+3","+2.45","369","46.2","125.5","123","126","123","2.45","15.8","2.34","","","","",""
"403","7842","天能綠電","櫃","05/11","","125.5","+17.5","+16.2","612","72.1","","119","127.5","108","18.1","31.3","4.23","","","","",""
"404","4736","泰博","市","05/11","","125","-1","-0.79","275","34.3","125","125","125.5","124","1.19","8.27","1.22","","","","",""
"405","6735","美達科技","櫃","05/11","","125","-1.5","-1.19","338","42.5","126.5","126.5","128","122","4.74","379","6.03","","","","",""
"406","3689","湧德","櫃","05/11","","124.5","-1.5","-1.19","3,647","453","126","126.5","126.5","122","3.57","16.5","2.31","","","","",""
"407","1736","喬山","市","05/11","","124","-1","-0.8","576","71.4","124","126","126","123","2.4","13.7","2.74","","","","",""
"408","1580","新麥","櫃","05/11","","123.5","-1","-0.8","82","10.1","124.5","122.5","124.5","122.5","1.61","9.85","1.9","","","","",""
"409","2316","楠梓電","市","05/11","","123.5","+11","+9.78","6,313","770","123.5","116","123.5","115.5","7.11","9.23","1.78","","","","",""
"410","02001L","富邦蘋果正二N","市","05/11","","123","+4.6","+3.89","46","5.65","123","120","124.1","119.8","3.63","","1.007","","","","",""
"411","2359","所羅門","市","05/11","","122.5","+3","+2.51","2,171","267","122.5","121","124.5","119","4.6","99.6","3.64","","","","",""
"412","6791","虎門科技","櫃","05/11","","122","+2","+1.67","155","19.2","120","124.5","127.5","120","6.25","29.3","5.21","","","","",""
"413","3708","上緯投控","市","05/11","","121.5","+3","+2.53","1,704","206","121.5","119","124.5","118","5.49","3.23","0.64","","","","",""
"414","4951","精拓科","櫃","05/11","","121.5","-2.5","-2.02","647","78.9","124","119","127","119","6.45","20.3","4.2","","","","",""
"415","4107","邦特","櫃","05/11","","121","+4","+3.42","301","36.3","117","118","121.5","118","2.99","15.6","2.32","","","","",""
"416","4968","立積","市","05/11","","121","+1.5","+1.26","1,237","150","121","121","123.5","119.5","3.35","40.9","3.98","","","","",""
"417","6261","久元","櫃","05/11","","121","+0.5","+0.41","8,336","1,012","120.5","121.5","124","118","4.98","29.2","2.38","","","","",""
"418","6629","泰金-KY","櫃","05/11","","121","+2","+1.68","33","3.99","119","118","122","117.5","3.78","18.7","2.72","","","","",""
"419","6279","胡連","櫃","05/11","","120.5","-3.5","-2.82","1,916","232","124","122","123.5","120","2.82","12.9","1.53","","","","",""
"420","8436","大江","櫃","05/11","","120.5","-1.5","-1.23","921","111","122","122.5","123","119","3.28","12.8","1.64","","","","",""
"421","9942","茂順","市","05/11","","120.5","-1","-0.82","171","20.7","120.5","122.5","122.5","120","2.06","14.8","2.34","","","","",""
"422","2464","盟立","市","05/11","","120","-2","-1.64","30,282","3,574","120","120.5","123","114","7.38","","4.93","","","","",""
"423","3679","新至陞","市","05/11","","120","-0.5","-0.41","73","8.8","120","120.5","120.5","119.5","0.83","14.1","1.61","","","","",""
"424","9939","宏全","市","05/11","","120","+8.5","+7.62","4,939","575","120","113","121","113","7.17","13.2","1.77","","","","",""
"425","2476","鉅祥","市","05/11","","119.5","+7.5","+6.7","8,542","1,006","119.5","116","122","111.5","9.38","27.4","2.81","","","","",""
"426","6215","和椿","市","05/11","","119.5","+7.5","+6.7","7,214","857","119.5","115.5","122","114.5","6.7","57.5","6.16","","","","",""
"427","6574","霈方","櫃","05/11","","119.5","+0.5","+0.42","135","15.9","119","119.5","119.5","113","5.46","17.5","2.94","","","","",""
"428","6703","軒郁","櫃","05/11","","119.5","+2.5","+2.14","142","16.7","117","116","120","115.5","3.85","12.1","3.03","","","","",""
"429","6423","億而得","櫃","05/11","","119","+5","+4.39","474","56.7","114","118.5","124","116","7.02","205","7.39","","","","",""
"430","4953","緯軟","櫃","05/11","","118.5","-2.5","-2.07","507","60.3","121","121.5","121.5","118","2.89","12.8","1.99","","","","",""
"431","8109","博大","櫃","05/11","","118","-1.5","-1.26","176","20.9","119.5","118","120.5","117","2.93","18.6","3.38","","","","",""
