"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00993A","主動安聯台灣","12.9","-0.24","-1.83","05/08","+3","+7,254","12.2","0.78","0","0","0","0","-1","-644","-3.78","-0.07","-1","-171","-1","-0.02"
"1108","幸福","14.55","-0.05","-0.34","05/08","+3","+63","10.9","0.02","0","0","0","0","0","0","0","0","+3","+52","8.96","0.01"
"1110","東泥","15","-0.1","-0.66","05/08","+3","+174","44.6","0.03","0","0","0","0","-1","-5","-3.98","0","+3","+171","43.9","0.03"
"1201","味全","12.4","+0.05","+0.4","05/08","+3","+169","12.4","0.03","0","0","0","0","+1","+3","0.75","0","+3","+174","12.8","0.03"
"1232","大統益","148","0","0","05/08","+3","+40","11.3","0.02","0","0","0","0","-5","-11","-2.14","-0.01","+2","+37","13.8","0.02"
"1234","黑松","35.2","-0.05","-0.14","05/08","+3","+87","17.5","0.02","0","0","0","0","0","0","0","0","+3","+87","17.6","0.02"
"1256","鮮活果汁-KY","176","+8","+4.76","05/08","+3","+43","11.2","0.12","0","0","0","0","-1","-4","-1.7","-0.01","+3","+40","10.4","0.11"
"1324","地球","10.3","+0.1","+0.98","05/08","+3","+66","13.7","0.09","0","0","0","0","0","0","0","0","+3","+66","13.7","0.09"
"1414","東和","16.2","-0.4","-2.41","05/08","+3","+202","18.3","0.1","0","0","0","0","-1","-1","-0.3","0","+3","+213","19.3","0.11"
"1416","廣豐","11.3","0","0","05/08","+3","+60","10.5","0.03","0","0","0","0","0","0","0","0","+3","+61","10.7","0.03"
"1417","嘉裕","8.71","-0.06","-0.68","05/08","+3","+54","14.4","0.03","0","0","0","0","0","0","0","0","+3","+53","14.1","0.03"
"1423","利華","40.85","-0.2","-0.49","05/08","+3","+32","26.7","0.03","0","0","0","0","-1","-2","-11.3","0","+5","+48","15.8","0.05"
"1437","勤益控","29","-0.1","-0.34","05/08","+3","+48","11.8","0.02","0","0","0","0","0","0","0","0","+3","+48","11.8","0.02"
"1438","三地開發","20.45","+0.35","+1.74","05/08","+3","+59","5.5","0.05","0","0","0","0","+1","+5","0.7","0","+3","+67","6.24","0.06"
"1439","雋揚","26.85","+0.45","+1.7","05/08","+3","+18","26.7","0.02","0","0","0","0","+2","+2","5.29","0","+3","+20","29.8","0.02"
"1445","大宇","12.7","-0.05","-0.39","05/08","+3","+42","17.5","0.03","0","0","0","0","-1","-1","-7.18","0","+5","+49","15.7","0.04"
"1512","瑞利","7.35","+0.07","+0.96","05/08","+3","+36","12.4","0.04","0","0","0","0","-1","-1","-2.08","0","+3","+51","17.7","0.05"
"1563","巧新","43.9","+0.35","+0.8","05/08","+3","+1,386","34.5","0.6","0","0","0","0","0","0","0","0","+3","+1,393","34.7","0.6"
"1590","亞德客-KY","1505","+15","+1.01","05/08","+3","+572","14.2","0.29","+4","+34","0.66","0.02","-2","-38","-1.27","-0.02","+3","+568","14.1","0.28"
"1608","華榮","34","-0.3","-0.87","05/08","+3","+3,919","22.9","0.62","-3","-94","-0.55","-0.01","-1","-114","-2.27","-0.02","+3","+3,744","21.8","0.59"
"1611","中電","11.9","0","0","05/08","+3","+213","12.1","0.07","0","0","0","0","-1","-11","-1.76","0","+3","+212","12","0.07"
"1709","和益","18.65","+0.15","+0.81","05/08","+3","+347","24.7","0.07","0","0","0","0","-1","-5","-1.05","0","+3","+359","25.6","0.08"
"1805","寶徠","10.75","0","0","05/08","+3","+57","13.9","0.04","0","0","0","0","-1","-4","-4.01","0","+3","+62","15.2","0.05"
"2007","燁興","7.37","-0.01","-0.14","05/08","+3","+273","23.7","0.05","0","0","0","0","+2","+10","1.43","0","+3","+277","24","0.05"
"2012","春雨","15.1","0","0","05/08","+3","+82","37.1","0.03","0","0","0","0","-1","-2","-4.22","0","+3","+81","36.6","0.03"
"2030","彰源","16.4","0","0","05/08","+3","+1,162","43","0.41","0","0","0","0","-1","-1","-0.17","0","+3","+1,148","42.5","0.41"
"2065","世豐","30.1","+1.2","+4.15","05/08","+3","+30","9.3","0.05","0","0","0","0","+1","0","0.26","0","+3","+30","9.43","0.05"
"2109","華豐","14","0","0","05/08","+3","+100","11.6","0.04","0","0","0","0","0","0","0","0","+3","+92","10.7","0.03"
