"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"901","2923","鼎固-KY","22.65","-2.35","-9.4","26W19","05/08","173","+27","0","173","+19","0","173","+19","0"
"902","1470","大統新創","22.6","+0.2","+0.89","26W19","05/08","6.97","+27","+0.04","6.64","+27","+0.04","6.11","+27","+0.04"
"903","5533","皇鼎","13.75","-0.25","-1.79","26W19","05/08","21.6","+96.6","+0.04","20.9","+96.6","+0.05","20.1","+76.6","+0.04"
"904","6171","大城地產","23.3","-0.95","-3.92","26W19","05/08","8.51","+54","+0.06","8.3","+58","+0.07","7.93","+48","+0.06"
"905","2910","統領","21.6","-0.45","-2.04","26W19","05/08","16.9","+14","+0.01","16.5","+14","+0.01","16.3","+14","+0.01"
"906","00707R","期元大S&P日圓反1","32.2","0","0","26W19","05/08","0.46","-28","-0.6","0.46","-28","-0.6","0.46","-28","-0.6"
"907","5903","全家","188.5","-0.5","-0.26","26W19","05/08","20.2","+6","0","20.1","+6","0","20","0","0"
"908","4726","永昕","26.6","-0.75","-2.74","26W19","05/08","11.2","+59.2","+0.05","10.8","+75","+0.07","10.3","0","0"
"909","1451","年興","16.5","-0.3","-1.79","26W19","05/08","11.7","-398","-0.34","11.5","+958","+0.84","11.2","+51","+0.05"
"910","5478","智冠","104","0","0","26W19","05/08","12.2","0","0","12","0","0","11.4","0","0"
"911","8463","潤泰材","21.8","-0.6","-2.68","26W19","05/08","12","-23","-0.02","11.8","-24","-0.02","11.4","-23","-0.02"
"912","2524","京城","34.1","-2.15","-5.93","26W19","05/08","33.7","+3","0","33.6","+3","0","33.5","+3","0"
"913","00723B","群益投資級科技債","30.86","-0.16","-0.52","26W19","05/08","152","-440","-0.03","152","+211","+0.01","152","+1,173","+0.08"
"914","3522","御嵿","11.5","-0.2","-1.71","26W19","05/08","5.82","+40.4","+0.07","5.54","+40.4","+0.07","5.45","+40.4","+0.07"
