"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","3450","聯鈞","410","+32.5","+8.61","05/08","+6.43","+8.54","+6.51","+7.66","+1.72","+11.5","+19.3","+15.3","+8.22","+14.8","-18","+16.4"
"2","00909","國泰數位支付服務","47.52","-1.15","-2.36","05/08","+0.82","+2.06","+2.77","+7.64","+13.1","+20.5","+26.4","+26.8","+43.6","+33.6","","+35.4"
"3","8042","金山電","84.1","-0.9","-1.06","05/08","+3.23","+3.08","+6.81","+6.74","+6.67","+6.87","+7.6","+8.74","+7.99","+7.46","+2.52","+10.1"
"4","3481","群創","29.4","-0.35","-1.18","05/08","+1.21","+3.55","+4.53","+6.49","+6.22","+4.88","+8.31","+2.21","+0.24","+0.05","-24.1","+4.13"
"5","4906","正文","40","+1.3","+3.36","05/08","+3.86","+5.22","+5.11","+5.56","+5.38","-0.35","-3.7","-2.69","-10.4","-6.24","+1.03","-2.83"
"6","00737","國泰AI機器人","36.84","+0.2","+0.55","05/08","+0.15","+0.95","+2.47","+4.81","+6.39","+7.24","+7.98","+13.2","+17.7","+64.6","","+9.6"
"7","3006","晶豪科","202","+5.5","+2.8","05/08","+2.12","+2.63","+4.02","+4.78","+5.1","+3.92","+4.61","+10.3","+18.7","+22.6","+23","+4.01"
"8","00930","永豐ESG低碳高息","21.51","+0.15","+0.7","05/08","+0.12","+1.65","+2.46","+4.69","+5.24","+14.9","+18","+23.4","+30.4","","","+22.5"
"9","00984B","大華優利美A債15","16.25","-0.05","-0.31","05/08","+0.98","+2.06","+3.36","+4.65","+6.66","+15.6","+20","+18.4","","","","+20.4"
"10","00983A","主動中信ARK創新","11.67","-0.15","-1.27","05/08","-0.3","+0.95","+0.91","+4.43","+5.04","+8.33","+9.49","+9.66","","","","+8.89"
"11","00989A","主動摩根美國科技","16.87","-0.08","-0.47","05/08","-0.17","-0.15","+0.02","+4.42","+12.4","+29.2","+37.3","+47.8","","","","+45.5"
"12","3033","威健","43.85","+0.95","+2.21","05/08","+1.63","+0.86","+3.32","+4.35","+5.39","+9","+13.2","+12.5","+7.94","+9.5","+12.2","+10.8"
"13","6182","合晶","56.9","+1.3","+2.34","05/08","+0.08","+0.54","+2.04","+4.33","+3.24","+7.6","+6.19","+7.55","+2.79","+2.56","+4.77","+7.12"
"14","00888","永豐台灣ESG","29.39","-0.69","-2.29","05/08","-0.21","-0.13","+0.66","+4.02","+7.49","+6.36","+6.59","+7.1","+9.59","+22.2","","+6.92"
"15","5388","中磊","85.1","+4.8","+5.98","05/08","+2.64","+3.49","+3.42","+3.98","+4.09","+5.62","+0.61","-5.78","-2.09","-14","-12.3","-6.31"
"16","4973","廣穎","99.6","+4.1","+4.29","05/08","+0.79","+0.41","+2.82","+3.76","+3.51","-1.97","+2.57","+3.28","+2.24","+1.4","+3.15","+2.95"
"17","00915","凱基優選高股息30","26.49","+0.28","+1.07","05/08","+0.45","+1.72","+2.68","+3.72","+4.05","+7.07","+7.93","+10.4","+20.4","-2.43","","+10.7"
"18","00731","復華富時高息低波","75.55","+0.85","+1.14","05/08","+1.17","+2.83","+3.2","+3.64","+3.15","+5.91","+9.21","+20","+45.3","+59.6","","+17.8"
"19","5425","台半","73","+1.5","+2.1","05/08","+1.5","+1.41","+3.12","+3.62","+3.92","+3.46","+3.6","+8.18","+3.5","-0.19","-3.53","+7.38"
"20","2492","華新科","156","-4","-2.5","05/08","-0.06","+1.26","+1.61","+3.56","+2.97","+6.32","+6.17","+6.64","+7.4","+3.08","-2.4","+9.15"
"21","00955","中信日本商社","15.59","-0.39","-2.44","05/08","+0.04","-0.02","+1.03","+3.56","+3.84","+2.74","+2.64","+1.62","+2.07","","","+2.66"
"22","00401A","主動摩根台灣鑫收","12.55","-0.18","-1.41","05/08","-0.05","+0.88","+0.87","+3.49","+1.81","","","","","","",""
"23","6165","浪凡","52","+0.6","+1.17","05/08","+3.08","+2.66","+3.81","+3.43","+12.5","+14.6","+13.9","+7.45","+12.3","+15.8","+16.1","+12.6"
"24","3236","千如","34","+1.4","+4.29","05/08","+1.85","+2.89","+2.7","+3.4","+1.9","+2.56","-0.22","+2.69","+1.43","-1.7","+1.68","+2.43"
"25","8033","雷虎","159","+7.5","+4.95","05/08","+1.72","+1.77","+1.8","+3.37","+2.8","+6.25","+8.31","+7.06","+6.69","+5.73","+7.11","+8.22"
"26","6197","佳必琪","218.5","-13","-5.62","05/08","+0.59","+0.41","+0.38","+3.27","+3.76","+2.88","+6.53","+6.93","+5.28","-0.33","+6.72","+4.59"
"27","2406","國碩","33","-1.9","-5.44","05/08","-0.38","+1.56","+1.93","+3.14","+4","+3.76","+5.57","+10","+10","+10.7","+4.13","+7.41"
"28","8227","巨有科技","219","+15","+7.35","05/08","+0.74","+2.07","+1.9","+3.12","+2.13","+1.68","+3.21","-0.82","-0.1","-1","","+1.82"
