"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"117","00897","富邦基因免疫生技","9.79","+0.04","+0.41","05/11","+60.7","-7.02","+33.1","+25.4","+26","+39","+28","+24.7","+21.1","+15.4","","+25.9"
"118","2701","萬企","10.7","0","0","05/11","-16.1","+12","+10.4","+25","+14.8","+20.6","+9.29","+4.06","+1.43","+0.21","+0.06","+6.01"
"119","4137","麗豐-KY","107","-0.5","-0.47","05/11","+11.5","+20.4","+30.2","+24.9","+12.9","-1.28","-7.15","-2.58","-0.64","-2.77","-1.04","-1.11"
"120","2850","新產","136","+3.5","+2.64","05/11","+30.5","+23.4","+28.4","+24.7","+9.69","+10.8","+15.1","+3.56","+2.03","+0.06","+2.25","+5.36"
"121","009817","國泰日本不動產","9.2","-0.05","-0.54","05/11","+10.6","+11.5","+34.7","+24.7","+19.7","+23.2","+22.6","","","","",""
"122","2913","農林","11.3","+0.05","+0.44","05/11","+46.4","+21.6","+33.2","+24.7","+12.6","+2.37","-0.45","-3.32","-5.81","-0.48","-0.4","-2.66"
"123","2450","神腦","30.1","+0.2","+0.67","05/11","+13.1","+27.4","+33.6","+24.6","+10.8","+8.71","+5.63","+2.01","-10.4","-4.9","-5.73","+3.09"
"124","0061","元大寶滬深","25.17","+0.35","+1.41","05/11","+69.5","+59.2","+45","+24.6","+20","+5.73","+4.39","+15","+12.5","+1.7","+5.03","+9.77"
"125","6918","愛派司","79.2","+4.8","+6.45","05/11","+29.8","+34.8","+31.1","+24.6","-2.89","+6.26","+6.16","+0.37","","","","+1.72"
"126","00792B","群益A級公司債","31.68","+0.05","+0.16","05/11","+35.6","+23.2","+16.6","+24.5","+11.3","+5","-1.38","+0.3","+1.76","+65.5","","+1.26"
"127","3046","建碁","52.4","+1.8","+3.56","05/11","+40.6","+27.8","+26.6","+24.5","+23.8","+14.4","+3.33","+2.47","+2.37","0","+0.02","+1.35"
"128","1457","宜進","14.45","-0.05","-0.34","05/11","+3.52","+14.1","+14.6","+24.5","+13.8","+14","+3.07","+1.57","+0.69","+0.83","+0.09","+1.5"
"129","9905","大華","21.3","0","0","05/11","+2.48","+25.4","+18.1","+24.4","+14","+9.19","+2.85","+1.84","-0.64","-1.72","-1.74","+2.54"
"130","3015","全漢","51.1","+0.4","+0.79","05/11","+4.05","+10.2","+22","+24.4","+27.1","+21.9","+11.5","-1.98","+0.07","-0.8","-0.45","+3.69"
"131","00731","復華富時高息低波","75.4","-0.15","-0.2","05/11","+1.02","+22.9","+31.1","+24.4","+10.6","+10.4","+5.47","+6.37","+6.98","+2.55","","+8.07"
