"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","3481","群創","37.5","+2","+5.63","05/13","+11,708","+22,713","-92,335","-100,277","-97,236","-85,496","-101,220","+436,396","+564,602","+291,150"
"2","2887","台新新光金","23.15","+0.15","+0.65","05/13","-8,327","-15,488","-19,772","-33,245","-50,146","-53,832","+115,911","+160,118","-903,220","-156"
"3","2317","鴻海","251","+1","+0.4","05/13","-6,324","-7,269","-14,458","-26,658","-45,764","-39,138","+14,307","+60,422","+6,078","+50,103"
"4","2881","富邦金","94.7","+1","+1.07","05/13","-5,871","-21,156","-26,165","-26,342","-37,312","-15,488","+98,881","+66,093","+215,321","+69,595"
"5","2301","光寶科","211.5","-23","-9.81","05/13","+1,220","+104","-15,105","-24,371","-29,365","-25,835","+17,143","-56,550","+7,731","+22,292"
"6","2027","大成鋼","38.1","-1.6","-4.03","05/13","-4,358","-8,265","-19,923","-23,306","-29,846","-11,309","+42,425","+96,633","+100,796","+62,884"
"7","2356","英業達","52.8","+4.1","+8.42","05/13","-1,384","-4,136","-5,921","-20,943","-42,053","-67,801","-68,321","-21,699","-90,211","-36,321"
"8","2882","國泰金","77.3","+0.9","+1.18","05/13","-1,974","-1,123","-11,114","-20,337","-32,362","+35,705","+124,074","-120,976","+193,917","+53,439"
"9","0056","元大高股息","45.15","-0.43","-0.94","05/13","-65","-17,604","-20,203","-19,896","-36,968","-12,407","+40,296","+64,338","+80,370","-20,817"
"10","2312","金寶","29.1","-0.35","-1.19","05/13","-12,263","-13,944","-17,740","-19,077","-4,485","+29,654","+25,476","+6,222","+69,542","-40,080"
"11","00900","富邦特選高股息30","17","-0.25","-1.45","05/13","-2,855","-4,787","-6,620","-14,505","-11,521","-9,351","+15,536","-34,283","+8,359","-5,928"
"12","2014","中鴻","17.95","0","0","05/13","-2,349","-2,084","-5,238","-9,563","-14,539","-18,667","-25,155","-19,297","+735","-13,412"
"13","6116","彩晶","11.25","+0.6","+5.63","05/13","-602","-5,889","-7,731","-8,661","-8,481","-18,517","+12,146","+115,061","+96,158","+118,290"
"14","00712","復華富時不動產","8.94","-0.03","-0.33","05/13","0","0","-1,381","-7,415","-7,415","-20,467","-569","-28,599","-33,693","-1,097"
"15","00937B","群益ESG投等債20+","14.8","+0.02","+0.14","05/13","0","0","0","-6,907","-8,212","-16,796","+10,818","-43,747","-74,764","-29,048"
"16","00680L","元大美債20正2","6.83","-0.06","-0.87","05/13","-1,791","-4,230","-4,420","-6,253","-6,304","-8,992","-41,595","-88,312","-104,074","-66,571"
"17","6282","康舒","51.7","-4.3","-7.68","05/13","-1,511","-2,867","-4,932","-5,564","-4,755","+747","+4,077","+2,562","+8,012","-19,550"
"18","00878","國泰永續高股息","27.95","-0.18","-0.64","05/13","0","-1,653","-596","-5,359","-3,189","-11,762","+11,645","-16,102","-41,921","+9,115"
"19","6285","啟碁","270.5","-11.5","-4.08","05/13","-2,785","-3,800","-5,076","-5,134","-2,380","-3,099","+1,413","+5,409","+1,211","-1,779"
"20","2603","長榮","210","-4","-1.87","05/13","-1,628","-3,984","-4,581","-5,113","-4,289","+17,217","-2,841","+755","+34,284","-14,929"
"21","00919","群益台灣精選高息","25.55","-0.18","-0.7","05/13","+2,531","-1,850","-2,350","-4,969","+3,414","-12,391","+52,145","-74,553","-19,150","-46,616"
"22","2408","南亞科","321","0","0","05/13","-330","-2,459","-2,849","-4,883","-14,988","-7,325","+20,662","+21,907","-50,202","+20,790"
"23","2382","廣達","340.5","+0.5","+0.15","05/13","+551","+341","-3,448","-4,401","-1,722","+4,309","-645","+4,224","-6,847","-18,254"
"24","00955","中信日本商社","16.68","+0.62","+3.86","05/13","0","-4","-4","-3,851","+2,572","+2,647","-3,836","+11,149","+16,285","+7,520"
"25","2426","鼎元","68","-1.9","-2.72","05/13","-288","-438","-1,098","-3,743","+303","+598","+3,065","+5,934","-303","+5,739"
"26","2363","矽統","59.9","-3.3","-5.22","05/13","-850","-3,532","-3,373","-3,333","-4,510","-4,552","-11,976","-15,056","+18,111","-12,793"
"27","0052","富邦科技","56.15","-0.75","-1.32","05/13","-13","-13","-13","-3,314","-2,668","-4,416","-6,792","+24,368","+23,240","+12,559"
"28","5351","鈺創","87","+3.2","+3.82","05/13","-433","-356","-2,856","-3,190","-4,109","+4,395","+3,848","-6,171","+5,012","-3,654"
"29","6005","群益證","32","+0.3","+0.95","05/13","-701","-839","-3,542","-2,874","+3,847","+33,005","+44,492","+35,783","-29,196","+34,138"
"30","00934","中信成長高股息","25.68","-0.35","-1.34","05/13","-485","-1,434","-1,924","-2,788","-2,982","-2,604","+1,766","+2,255","-1,070","+2,255"
"31","2542","興富發","42.7","+1.6","+3.89","05/13","-2,066","-2,776","-2,612","-2,503","+6,244","+12,706","+18,226","+3,653","+50,347","+12,212"
"32","3033","威健","42.95","-1.5","-3.37","05/13","-976","-963","-2,324","-2,443","-4,517","-8,029","-19,495","-15,938","+3,041","-8,904"
"33","2376","技嘉","313.5","-7.5","-2.34","05/13","+790","-48","-1,562","-2,428","-2,283","-8,597","-18,717","+22,952","+4,389","+8,859"
"34","00400A","主動國泰動能高息","13.95","-0.19","-1.34","05/13","-2,470","-2,370","-2,270","-2,400","-2,179","+7,123","","","",""
"35","00687B","國泰20年美債","27.64","-0.04","-0.14","05/13","-944","-944","-1,444","-2,344","-3,037","-3,684","-2,218","-6,536","-56,512","+1,663"
