排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
727,3022,威強電,市,05/18,,67.6,0.3,0.45,597,40.1,67.3,67.3,68.2,66.1,3.12,19.1,1.04,,,,,
728,9930,中聯資源,市,05/18,,67.6,-0.9,-1.31,238,16.1,68.5,68.5,68.5,67.5,1.46,14.3,2.43,,,,,
729,2643,捷迅,櫃,05/18,,67.5,1.0,1.5,23,1.55,66.5,66.4,67.5,66.0,2.26,13.1,1.16,,,,,
730,3530,晶相光,市,05/18,,67.5,0.9,1.35,211,14.0,66.6,66.6,67.8,65.0,4.2,33.4,2.1,,,,,
731,00733,富邦臺灣中小,市,05/18,,67.2,0.5,0.75,818,54.2,66.7,66.1,67.4,65.15,3.37,,0.991,,,,,
732,3054,立萬利,市,05/18,,67.2,0.6,0.9,166,11.2,66.6,67.4,68.5,66.5,3.0,19.8,4.04,,,,,
733,6456,GIS-KY,市,05/18,,67.2,0.5,0.75,3999,267.0,66.7,66.7,67.7,65.3,3.6,,0.74,,,,,
734,6590,普鴻,櫃,05/18,,67.2,0.0,0.0,3,0.21,67.2,67.2,67.4,67.2,0.3,13.0,2.54,,,,,
735,6150,撼訊,櫃,05/18,,66.9,-1.5,-2.19,764,50.9,68.4,67.4,67.6,65.3,3.36,16.5,2.03,,,,,
736,6546,正基,櫃,05/18,,66.7,-0.1,-0.15,276,18.4,66.8,66.6,68.0,65.3,4.04,25.0,2.29,,,,,
737,6612,奈米醫材,櫃,05/18,,66.7,-0.2,-0.3,39,2.56,66.9,66.6,67.1,66.1,1.49,74.9,1.73,,,,,
738,9927,泰銘,市,05/18,,66.7,-0.3,-0.45,108,7.27,67.0,67.1,67.4,66.6,1.19,13.6,1.54,,,,,
739,6637,醫影,櫃,05/18,,66.4,0.6,0.91,34,2.26,65.8,66.8,66.8,65.8,1.52,9.87,1.55,,,,,
740,2364,倫飛,市,05/18,,66.3,-0.6,-0.9,173,11.5,66.9,66.9,67.3,65.5,2.69,17.0,4.14,,,,,
741,2459,敦吉,市,05/18,,66.2,0.4,0.61,135,8.9,65.8,65.7,66.3,65.2,1.67,12.7,1.22,,,,,
742,5309,系統電,櫃,05/18,,66.0,1.1,1.69,6286,406.0,64.9,64.3,66.8,61.5,8.17,287.0,2.9,,,,,
743,7704,明遠精密,櫃,05/18,,66.0,-3.8,-5.44,359,23.9,69.8,68.6,68.6,65.5,4.44,29.1,1.98,,,,,
744,3332,幸康,櫃,05/18,,65.8,1.3,2.02,50,3.26,64.5,67.8,67.8,64.2,5.58,16.8,1.72,,,,,
745,2070,精湛,櫃,05/18,,65.7,0.5,0.77,680,44.8,65.2,64.6,67.4,63.0,6.75,31.9,2.41,,,,,
746,6689,伊雲谷,市,05/18,,65.5,0.2,0.31,94,6.13,65.3,65.3,65.5,64.5,1.53,28.9,1.47,,,,,
747,6844,諾貝兒,櫃,05/18,,65.3,0.3,0.46,13,0.86,65.0,64.9,65.3,64.3,1.54,25.1,0.79,,,,,
748,2732,六角,櫃,05/18,,65.2,-0.6,-0.91,33,2.11,65.8,65.0,65.2,64.5,1.06,34.0,1.65,,,,,
749,5314,世紀*,櫃,05/18,,65.2,-2.1,-3.12,3686,244.0,67.3,66.3,68.3,65.1,4.75,12.6,10.32,,,,,
750,6617,共信-KY,櫃,05/18,,65.0,2.7,4.33,218,14.0,62.3,62.3,65.7,62.3,5.46,,3.15,,,,,
751,1802,台玻,市,05/18,,64.8,-0.2,-0.31,45175,2875.0,65.0,64.3,65.2,61.8,5.23,498.0,3.96,,,,,
752,2006,東和鋼鐵,市,05/18,,64.8,-0.2,-0.31,1650,107.0,65.0,65.4,65.4,64.7,1.08,9.77,1.46,,,,,
753,2496,卓越,市,05/18,,64.8,0.0,0.0,9,0.58,64.8,64.8,64.8,64.3,0.77,10.1,1.44,,,,,
754,5203,訊連,市,05/18,,64.8,0.9,1.41,189,12.2,63.9,63.6,65.0,63.4,2.5,17.6,1.07,,,,,
755,2636,台驊控股,市,05/18,,64.6,-0.7,-1.07,591,38.1,65.3,65.3,65.3,64.3,1.53,9.46,0.9,,,,,
756,2891B,中信金乙特,市,05/18,,64.4,-0.1,-0.16,30,1.95,64.5,64.5,64.5,64.4,0.16,,,,,,,
757,2367,燿華,市,05/18,,64.3,2.5,4.05,69999,4480.0,61.8,61.3,65.5,60.5,8.09,,3.57,,,,,
758,3141,晶宏,櫃,05/18,,64.3,-1.2,-1.83,2270,145.0,65.5,64.1,65.2,62.6,3.97,63.0,1.8,,,,,
759,00851,台新全球AI,市,05/18,,64.2,-0.6,-0.93,14,0.88,64.8,64.0,64.2,64.0,0.31,,0.9686,,,,,
760,00770,國泰北美科技,市,05/18,,64.0,-0.65,-1.01,1050,67.0,64.65,64.1,64.15,63.6,0.85,,0.9924,,,,,
761,2402,毅嘉,市,05/18,,64.0,0.1,0.16,5153,324.0,63.9,63.2,64.0,61.2,4.38,31.4,2.77,,,,,
762,2881A,富邦特,市,05/18,,64.0,0.0,0.0,42,2.68,64.0,64.0,64.0,63.9,0.16,,,,,,,
763,8924,大田,櫃,05/18,,63.9,-0.3,-0.47,47,3.03,64.2,63.6,64.0,63.6,0.62,13.3,1.35,,,,,
