"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"1","00981A","主動統一台股增長","市","05/11","","29.69","+0.78","+2.7","356,650","10,481","29.69","28.9","29.73","28.89","2.91","","0.996","","","","",""
"2","2337","旺宏","市","05/11","","159.5","+6.5","+4.25","149,222","23,850","159.5","161","162.5","156","4.25","","6.24","","","","",""
"3","00632R","元大台灣50反1","市","05/11","","11.16","-0.03","-0.27","54,415","608","11.16","11.21","11.23","11.13","0.89","","0.9991","","","","",""
"4","00680L","元大美債20正2","市","05/11","","6.94","+0.01","+0.14","21,518","149","6.94","6.93","6.95","6.92","0.43","","0.997","","","","",""
"5","2317","鴻海","市","05/11","","252","+2","+0.8","63,064","15,968","252","256.5","258","251","2.8","18.5","1.98","","","","",""
"6","6147","頎邦","櫃","05/11","","196.5","-1.5","-0.76","66,530","13,324","198","191","211.5","187","12.4","57.3","3.12","","","","",""
"7","2892","第一金","市","05/11","","29.55","+0.05","+0.17","38,171","1,128","29.55","29.5","29.75","29.25","1.69","15.8","1.45","","","","",""
"8","5521","工信","市","05/11","","12.1","+0.55","+4.76","5,265","63.1","12.1","11.65","12.15","11.65","4.33","23.3","1.06","","","","",""
"9","2408","南亞科","市","05/11","","301","+27","+9.85","108,987","32,695","301","300.5","301","296","1.82","26.9","4.84","","","","",""
"10","2206","三陽工業","市","05/11","","58.1","+0.1","+0.17","618","35.9","58.1","58.1","58.2","58","0.34","10.1","1.72","","","","",""
"11","3026","禾伸堂","市","05/11","","329.5","-0.5","-0.15","31,293","10,475","329.5","329","351.5","311","12.3","42.5","5.64","","","","",""
"12","3714","富采","市","05/11","","67.9","-3.2","-4.5","41,901","2,820","67.9","68.8","69.6","64.6","7.03","","1.2","","","","",""
"13","1802","台玻","市","05/11","","69.9","+1","+1.45","78,048","5,405","69.9","69","70.2","67.7","3.63","","4.27","","","","",""
"14","8064","東捷","櫃","05/11","","113.5","+10","+9.66","3,425","377","103.5","105","113.5","103.5","9.66","83.5","5.81","","","","",""
"15","8028","昇陽半導體","市","05/11","","234","+8","+3.54","6,507","1,512","234","227.5","236","226","4.42","53.5","8.03","","","","",""
"16","6285","啟碁","市","05/11","","259","+11.5","+4.65","26,744","6,950","259","253","266.5","250.5","6.46","37.9","3.58","","","","",""
"17","2605","新興","市","05/11","","34.1","+1.05","+3.18","9,083","300","34.1","33.05","34.65","31.65","9.08","23.5","1.14","","","","",""
"18","2328","廣宇","市","05/11","","54.7","+2.9","+5.6","19,872","1,082","54.7","53","55.2","52.8","4.63","35.1","1.9","","","","",""
"19","6789","采鈺","市","05/11","","600","-3","-0.5","10,383","6,263","600","603","616","587","4.81","128","10.09","","","","",""
"20","2886","兆豐金","市","05/11","","40.1","-0.1","-0.25","20,511","825","40.1","40.2","40.5","40","1.24","17","1.52","","","","",""
"21","2484","希華","市","05/11","","39.6","-2.2","-5.26","10,558","419","39.6","41.8","41.8","38.2","8.61","52.8","1.54","","","","",""
"22","2231","為升","市","05/11","","109","-7","-6.03","1,551","170","109","115","115.5","107.5","6.9","","4.4","","","","",""
"23","6456","GIS-KY","市","05/11","","66.6","+1.1","+1.68","6,520","429","66.6","65.4","67.9","63.9","6.11","","0.74","","","","",""
"24","4967","十銓","市","05/11","","284.5","-13.5","-4.53","21,393","6,074","284.5","288.5","290","278","4.03","7.28","3.41","","","","",""
"25","2883","凱基金","市","05/11","","22.8","-0.1","-0.44","41,099","943","22.8","22.9","23.1","22.8","1.31","13.1","1.29","","","","",""
"26","3535","晶彩科","市","05/11","","126","-2.5","-1.95","3,702","466","126","126","129","122.5","5.06","315","8.94","","","","",""
"27","1409","新纖","市","05/11","","17.2","+0.4","+2.38","10,998","189","17.2","16.9","17.3","16.8","2.98","14.5","0.67","","","","",""
"28","00753L","中信中國50正2","市","05/11","","10.82","-0.05","-0.46","13,708","148","10.82","10.85","10.89","10.76","1.2","","0.9899","","","","",""
"29","00688L","國泰20年美債正2","市","05/11","","6.93","+0.01","+0.14","5,592","38.7","6.93","6.92","6.94","6.92","0.29","","0.9977","","","","",""
"30","3264","欣銓","櫃","05/11","","225.5","+1.5","+0.67","8,377","1,872","224","220","228.5","216.5","5.36","33.8","5.28","","","","",""
"31","9105","泰金寶-DR","市","05/11","","5.8","+0.12","+2.11","17,640","102","5.8","5.75","5.85","5.7","2.64","","","","","","",""
"32","2371","大同","市","05/11","","30.55","0","0","12,684","386","30.55","30.7","30.7","30.2","1.64","","1.35","","","","",""
"33","6239","力成","市","05/11","","225.5","+3.5","+1.58","15,004","3,403","225.5","225.5","231","223","3.6","26.8","2.85","","","","",""
"34","00953B","群益優選非投等債","市","05/11","","9.55","-0.01","-0.1","35,607","340","9.55","9.55","9.56","9.54","0.21","","0.9995","","","","",""
"35","2441","超豐","市","05/11","","92.4","+1.9","+2.1","5,851","540","92.4","91","93.7","90.4","3.65","19.8","2.08","","","","",""
"36","2455","全新","市","05/11","","360","+23","+6.82","3,315","1,198","360","360","369.5","347","6.68","113","18.15","","","","",""
"37","00919","群益台灣精選高息","市","05/11","","25.75","+0.28","+1.1","132,363","3,397","25.75","25.56","25.77","25.51","1.02","","0.9961","","","","",""
"38","8150","南茂","市","05/11","","91","-1.7","-1.83","51,675","4,788","91","95","97.9","90.3","8.2","130","2.65","","","","",""
"39","3090","日電貿","市","05/11","","116.5","+3","+2.64","12,703","1,471","116.5","114","119","110.5","7.49","23.8","1.9","","","","",""
"40","0052","富邦科技","市","05/11","","56.95","-0.15","-0.26","30,943","1,762","56.95","56.75","57.1","56.5","1.05","","1.0048","","","","",""
"41","8046","南電","市","05/11","","908","+54","+6.32","13,747","12,287","908","857","918","857","7.14","192","12.56","","","","",""
"42","2618","長榮航","市","05/11","","35.85","+0.2","+0.56","23,645","847","35.85","35.9","36","35.7","0.84","7.41","1.4","","","","",""
"43","6165","浪凡","市","05/11","","51.8","-0.2","-0.38","1,078","56.5","51.8","52.8","53.5","51.5","3.85","12.9","2.48","","","","",""
"44","1597","直得","市","05/11","","182","+9","+5.2","2,049","370","182","176","184","173","6.36","154","6.63","","","","",""
"45","2303","聯電","市","05/11","","95","+3.7","+4.05","178,723","16,921","95","94.7","96.3","92","4.71","23.8","2.94","","","","",""
"46","2454","聯發科","市","05/11","","3880","+250","+6.89","8,691","33,138","3880","3575","3985","3565","11.6","58.6","15.46","","","","",""
"47","2610","華航","市","05/11","","19.15","+0.6","+3.23","64,896","1,239","19.15","18.7","19.25","18.65","3.23","7.42","1.14","","","","",""
"48","3289","宜特","櫃","05/11","","181.5","+6","+3.42","5,325","966","175.5","177","186.5","172","8.26","37.7","3.36","","","","",""
"49","0056","元大高股息","市","05/11","","45.76","+0.91","+2.03","70,902","3,219","45.76","45.04","45.79","44.85","2.1","","1.0002","","","","",""
"50","2027","大成鋼","市","05/11","","39.95","+0.35","+0.88","30,077","1,204","39.95","40","40.45","39.5","2.4","13.9","1.25","","","","",""
"51","2474","可成","市","05/11","","208","+3","+1.46","4,001","826","208","205","208.5","203.5","2.44","18.4","0.86","","","","",""
"52","8131","福懋科","市","05/11","","67.5","+1.6","+2.43","7,462","510","67.5","67.9","69.6","67.1","3.79","34.3","2.37","","","","",""
"53","2451","創見","市","05/11","","343.5","+31","+9.92","14,541","4,949","343.5","333","343.5","332.5","3.52","11.1","5.65","","","","",""
"54","4989","榮科","市","05/11","","94.6","-0.1","-0.11","7,416","703","94.6","95.5","96.9","92.8","4.33","","8.85","","","","",""
"55","2489","瑞軒","市","05/11","","43","+1.4","+3.37","25,669","1,101","43","42","43.95","41.6","5.65","35.2","1.96","","","","",""
"56","6205","詮欣","市","05/11","","86.1","+1.2","+1.41","3,336","281","86.1","83.2","87.5","81","7.66","51.9","2.74","","","","",""
"57","6679","鈺太","櫃","05/11","","327","-4","-1.21","815","265","331","325","332","315","5.14","38.7","3.02","","","","",""
"58","1727","中華化","市","05/11","","76.3","+4","+5.53","8,600","651","76.3","72.8","77.6","72.8","6.64","1908","4.66","","","","",""
"59","1304","台聚","市","05/11","","13.05","+0.35","+2.76","4,518","59","13.05","12.8","13.2","12.8","3.15","","0.8","","","","",""
"60","4958","臻鼎-KY","市","05/11","","412","+11","+2.74","41,454","17,113","412","405","424.5","397","6.86","59.6","3.56","","","","",""
"61","9907","統一實","市","05/11","","17","-0.1","-0.58","4,379","74.5","17","17.15","17.15","16.9","1.46","15","1.21","","","","",""
"62","8021","尖點","市","05/11","","429","+28","+6.98","2,029","835","429","401","429","393","8.98","156","12.64","","","","",""
"63","3455","由田","櫃","05/11","","286","+26","+10","908","247","260","258","286","254.5","12.1","107","6.67","","","","",""
"64","1528","恩德","市","05/11","","26.15","-0.4","-1.51","5,384","142","26.15","26.5","26.9","26.1","3.01","","2.32","","","","",""
"65","2402","毅嘉","市","05/11","","69","+1","+1.47","4,910","336","69","68","69.6","67","3.82","27.9","2.87","","","","",""
"66","1309","台達化","市","05/11","","16.9","+0.05","+0.3","5,215","88.7","16.9","17.05","17.4","16.8","3.56","","1.17","","","","",""
"67","2399","映泰","市","05/11","","44.8","+2.5","+5.91","25,679","1,142","44.8","42.3","45.4","41.4","9.46","299","3.62","","","","",""
"68","2417","圓剛","市","05/11","","51","+0.6","+1.19","3,300","168","51","50.7","52","49.3","5.36","","2.4","","","","",""
"69","2401","凌陽","市","05/11","","25.65","+0.35","+1.38","8,348","215","25.65","25.55","26.25","25.25","3.95","","1.84","","","","",""
"70","3563","牧德","市","05/11","","807","+5","+0.62","1,072","870","807","810","825","792","4.11","51.5","9.91","","","","",""
"71","6412","群電","市","05/11","","93.6","+7.6","+8.84","5,494","504","93.6","87","94","87","8.14","18","2.59","","","","",""
"72","6234","高僑","櫃","05/11","","54","-3.8","-6.57","3,271","178","57.8","55.5","56","53.7","3.98","1080","1.95","","","","",""
"73","2338","光罩","市","05/11","","50","-1.5","-2.91","7,673","387","50","51.5","51.8","49.65","4.17","","3.24","","","","",""
"74","6197","佳必琪","市","05/11","","229","+10.5","+4.81","3,579","817","229","227.5","234","220.5","6.18","22.3","6.12","","","","",""
"75","00738U","期元大道瓊白銀","市","05/11","","64.95","+0.4","+0.62","12,096","790","64.95","64.55","66.05","64.4","2.56","","0.9994","","","","",""
"76","6153","嘉聯益","市","05/11","","18.05","-0.3","-1.63","5,056","92.5","18.05","18.7","19.05","18","5.72","","1.26","","","","",""
"77","4566","時碩工業","市","05/11","","68.3","+1.1","+1.64","945","64.4","68.3","68","69.4","67.4","2.98","50.2","1.52","","","","",""
"78","1708","東鹼","市","05/11","","40.15","+2.95","+7.93","6,248","248","40.15","38.65","40.4","38.55","4.97","12.2","1.35","","","","",""
"79","6217","中探針","櫃","05/11","","282","+16","+6.02","1,614","439","266","266","282","261","7.89","","11.05","","","","",""
"80","6672","騰輝電子-KY","市","05/11","","209","+1","+0.48","5,448","1,112","209","208","211","197","6.73","37.8","4.02","","","","",""
"81","3011","今皓","市","05/11","","13.75","+0.3","+2.23","601","8.23","13.75","13.6","13.85","13.3","4.09","","1.3","","","","",""
"82","3711","日月光投控","市","05/11","","537","+21","+4.07","22,625","12,026","537","526","546","513","6.4","57.3","6.77","","","","",""
"83","00650L","復華香港正2","市","05/11","","17.96","-0.04","-0.22","2,497","44.8","17.96","18","18.02","17.85","0.94","","0.9895","","","","",""
"84","00955","中信日本商社","櫃","05/11","","15.66","+0.07","+0.45","7,607","119","15.59","15.75","15.86","15.59","1.73","","0.9949","","","","",""
"85","4971","IET-KY","櫃","05/11","","723","+35","+5.09","418","295","688","718","723","675","6.98","142","13.81","","","","",""
"86","2855","統一證","市","05/11","","43.7","+3.7","+9.25","20,967","911","43.7","40.7","44","40.7","8.25","14.6","1.78","","","","",""
"87","00693U","期街口S&P黃豆","市","05/11","","22.55","+0.47","+2.13","2,236","50.3","22.55","22.43","22.57","22.42","0.68","","0.9982","","","","",""
"88","9958","世紀鋼","市","05/11","","103.5","+0.5","+0.49","1,057","109","103.5","104.5","104.5","102.5","1.94","15.8","2.3","","","","",""
"89","009819","中信數據及電力","市","05/11","","10.11","-0.01","-0.1","28,321","287","10.11","10.16","10.19","10.1","0.89","","0.999","","","","",""
"90","2204","中華","市","05/11","","54.1","-0.3","-0.55","1,224","66.3","54.1","54.5","54.5","53.9","1.1","9.89","0.79","","","","",""
"91","3693","營邦","櫃","05/11","","582","-21","-3.48","2,665","1,533","603","575","591","555","5.97","37.5","4.8","","","","",""
"92","3163","波若威","櫃","05/11","","1040","+30","+2.97","779","797","1010","1030","1050","1000","4.95","120","26.24","","","","",""
"93","3013","晟銘電","市","05/11","","112","+5","+4.67","6,561","736","112","111.5","115","110","4.67","24.6","4.18","","","","",""
"94","2881","富邦金","市","05/11","","95.5","-1.2","-1.24","22,798","2,192","95.5","96.7","96.7","95.5","1.24","11.4","1.52","","","","",""
"95","2603","長榮","市","05/11","","214","+2.5","+1.18","9,248","1,980","214","213.5","215","212.5","1.18","6.76","0.82","","","","",""
"96","00918","大華優利高填息30","市","05/11","","25.38","+0.28","+1.12","30,947","784","25.38","25.28","25.4","25.15","1","","0.9957","","","","",""
"97","3152","璟德","櫃","05/11","","175.5","+1.5","+0.86","1,752","301","174","174","176","167.5","4.89","18.8","2.93","","","","",""
"98","3498","陽程","櫃","05/11","","102.5","+9","+9.63","1,460","150","93.5","102.5","102.5","102.5","0","214","2.76","","","","",""
"99","4540","全球傳動","市","05/11","","69.5","+0.9","+1.31","9,586","663","69.5","68.8","70.2","67","4.66","","2.32","","","","",""
"100","4961","天鈺","市","05/11","","170.5","+0.5","+0.29","2,067","350","170.5","171.5","173","164","5.29","20.6","1.16","","","","",""
"101","2353","宏碁","市","05/11","","28.8","+1","+3.6","46,873","1,339","28.8","28.2","29.1","27.75","4.86","22.2","1.19","","","","",""
"102","8040","九暘","櫃","05/11","","78","+0.2","+0.26","1,606","126","77.8","77","80.2","76.1","5.27","","3.06","","","","",""
"103","4991","環宇-KY","櫃","05/11","","686","+42","+6.52","1,450","968","644","629","708","615","14.4","4573","24.08","","","","",""
"104","8074","鉅橡","櫃","05/11","","83","+0.9","+1.1","4,626","379","82.1","83.3","84.4","79.2","6.33","61.5","4.23","","","","",""
"105","2515","中工","市","05/11","","13.2","+0.1","+0.76","3,416","45.1","13.2","13.15","13.35","13.05","2.29","33","0.94","","","","",""
"106","5481","新華","櫃","05/11","","20.6","0","0","79","1.62","20.6","20.7","21.3","20.5","3.88","","1.16","","","","",""
"107","6505","台塑化","市","05/11","","54","+1","+1.89","9,350","503","54","53.5","54.4","53.3","2.08","19.4","1.37","","","","",""
"108","2897","王道銀行","市","05/11","","10.25","+0.1","+0.99","6,641","68","10.25","10.1","10.35","10.1","2.46","16.8","0.7","","","","",""
"109","1402","遠東新","市","05/11","","26.35","+0.25","+0.96","10,765","284","26.35","26.15","26.5","26.1","1.53","17","0.61","","","","",""
"110","2472","立隆電","市","05/11","","225","+3.5","+1.58","16,592","3,633","225","219","228","203.5","11.1","25.8","4.08","","","","",""
"111","8096","擎亞","櫃","05/11","","98.3","+2.4","+2.5","24,110","2,367","95.9","96.5","104.5","92","13","110","5.51","","","","",""
"112","3030","德律","市","05/11","","397","+7.5","+1.93","1,707","670","397","397.5","398","386","3.08","34.4","8.96","","","","",""
"113","00635U","期元大S&P黃金","市","05/11","","48.92","-0.48","-0.97","8,523","418","48.92","49.07","49.33","48.89","0.89","","1.0002","","","","",""
"114","6278","台表科","市","05/11","","215.5","+14.5","+7.21","39,508","8,214","215.5","209","221","190","15.4","24.6","2.8","","","","",""
"115","6176","瑞儀","市","05/11","","104","-0.5","-0.48","6,020","623","104","104.5","105","102.5","2.39","11.1","1.33","","","","",""
"116","00993A","主動安聯台灣","市","05/11","","13.31","+0.41","+3.18","22,527","298","13.31","13","13.35","12.99","2.79","","0.9963","","","","",""
"117","2340","台亞","市","05/11","","37.35","+0.05","+0.13","8,732","330","37.35","36.8","38.7","36.8","5.09","","2.58","","","","",""
"118","3105","穩懋","櫃","05/11","","526","+33.5","+6.8","25,293","13,102","492.5","500","538","493.5","9.04","132","5.37","","","","",""
"119","00676R","富邦臺灣加權反1","市","05/11","","6.15","-0.01","-0.16","5,226","32.2","6.15","6.19","6.19","6.13","0.97","","0.9984","","","","",""
"120","00401A","主動摩根台灣鑫收","市","05/11","","12.81","+0.26","+2.07","16,638","211","12.81","12.55","12.82","12.55","2.15","","1.0039","","","","",""
"121","3189","景碩","市","05/11","","503","+45","+9.83","26,644","13,020","503","475","503","468","7.64","126","6.14","","","","",""
"122","6861","睿生光電","市","05/11","","389","+13","+3.46","435","167","389","381","389","379","2.66","101","11.11","","","","",""
"123","2492","華新科","市","05/11","","171.5","+15.5","+9.94","30,311","5,063","171.5","158.5","171.5","151.5","12.8","32.9","1.55","","","","",""
"124","6531","愛普*","市","05/11","","962","+87","+9.94","2,886","2,701","962","875","962","875","9.94","97.9","13.26","","","","",""
"125","8936","國統","櫃","05/11","","50.6","-1.4","-2.69","3,117","158","52","51.7","51.8","50.4","2.69","12.4","1.86","","","","",""
"126","1312","國喬","市","05/11","","11.8","+0.2","+1.72","6,031","72.3","11.8","11.8","12.25","11.8","3.88","","0.46","","","","",""
"127","1314","中石化","市","05/11","","7.09","-0.05","-0.7","20,804","148","7.09","7.14","7.19","7.07","1.68","","0.35","","","","",""
"128","6443","元晶","市","05/11","","41.4","+1.45","+3.63","4,247","173","41.4","40.5","41.4","40","3.5","","5.83","","","","",""
"129","6191","精成科","市","05/11","","94.8","-0.7","-0.73","6,698","634","94.8","96","96.7","94","2.83","14.8","1.71","","","","",""
"130","4927","泰鼎-KY","市","05/11","","54.9","+0.5","+0.92","7,684","418","54.9","54.4","55.6","53.5","3.86","","2.48","","","","",""
"131","8070","長華*","市","05/11","","48.25","+0.05","+0.1","2,644","127","48.25","48.7","48.8","47.8","2.07","46","1.92","","","","",""
"132","00686R","群益臺灣加權反1","市","05/11","","1.11","-0.01","-0.89","1,905","2.11","1.11","1.12","1.12","1.1","1.79","","1","","","","",""
"133","3543","州巧","市","05/11","","38.6","-1.25","-3.14","1,484","57.4","38.6","39.85","39.85","38.25","4.02","","1.41","","","","",""
"134","2614","東森","市","05/11","","20","-0.1","-0.5","1,284","25.7","20","20.1","20.25","19.9","1.74","10.1","1.52","","","","",""
"135","8299","群聯","櫃","05/11","","2670","+240","+9.88","1,794","4,789","2430","2670","2670","2670","0","25.9","7.96","","","","",""
"136","6190","萬泰科","櫃","05/11","","80.9","+1","+1.25","11,496","918","79.9","80.6","81.5","77.2","5.38","36.9","3.76","","","","",""
"137","6664","群翊","櫃","05/11","","439.5","-3.5","-0.79","1,369","603","443","443","450","431","4.29","29.2","6.29","","","","",""
"138","3059","華晶科","市","05/11","","40.15","+0.8","+2.03","2,718","109","40.15","39.85","40.5","39.4","2.8","32.4","1.23","","","","",""
"139","3362","先進光","櫃","05/11","","102","-2.5","-2.39","1,716","176","104.5","105","108.5","102","6.22","","3.94","","","","",""
"140","6163","華電網","櫃","05/11","","60.4","+3.2","+5.59","4,034","240","57.2","57.9","61","56.1","8.57","80.5","3.07","","","","",""
"141","6603","富強鑫","櫃","05/11","","23.9","-0.3","-1.24","1,175","28.1","24.2","24.2","24.2","23.8","1.65","39.2","1.54","","","","",""
"142","2330","台積電","市","05/11","","2235","-55","-2.4","46,173","104,026","2235","2265","2275","2235","1.75","33.7","10.69","","","","",""
"143","6187","萬潤","櫃","05/11","","1110","+40","+3.74","2,758","3,107","1070","1145","1160","1100","5.61","72.9","15.73","","","","",""
"144","2033","佳大","市","05/11","","15.1","-0.1","-0.66","287","4.33","15.1","15.2","15.2","14.95","1.64","47.2","1.14","","","","",""
"145","6168","宏齊","市","05/11","","26.5","+0.4","+1.53","2,151","57","26.5","26.35","27","26.25","2.87","530","1.81","","","","",""
"146","4939","亞電","櫃","05/11","","40.1","-1.4","-3.37","3,095","126","41.5","41.75","42.4","40","5.78","","2.75","","","","",""
"147","8147","正淩","櫃","05/11","","169.5","+15","+9.71","1,869","311","154.5","160","169.5","159.5","6.47","55","4.74","","","","",""
"148","00637L","元大滬深300正2","市","05/11","","21.9","+0.41","+1.91","24,549","533","21.9","21.5","21.92","21.41","2.37","","0.9892","","","","",""
"149","2542","興富發","市","05/11","","41.65","+1.65","+4.12","17,642","727","41.65","40.2","41.75","40.2","3.87","19.8","1.67","","","","",""
"150","2236","百達-KY","市","05/11","","142.5","+7.5","+5.56","1,063","149","142.5","137.5","144","136","5.93","","3.99","","","","",""
"151","2467","志聖","市","05/11","","590","+53","+9.87","3,671","2,123","590","542","590","542","8.94","78.4","11.07","","","","",""
