排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
187,2645,長榮航太,164.0,2.5,1.55,05/28,-135,-68,-138,-376,-507,-169.0,-2235.0,2230.0,3604.0,1551.0
188,3402,漢科,146.0,-8.0,-5.19,05/28,-105,-270,-316,-375,-323,345.0,637.0,1295.0,1542.0,1272.0
189,6173,信昌電,219.5,-6.5,-2.88,05/28,-9,-152,-152,-361,-449,-230.0,-2001.0,-3799.0,-891.0,-5057.0
190,3026,禾伸堂,605.0,-3.0,-0.49,05/28,-22,-422,-392,-360,-1229,680.0,721.0,-1484.0,1418.0,-1335.0
191,3041,揚智,25.4,-0.5,-1.93,05/28,-148,-144,-410,-358,-179,166.0,-1601.0,-170.0,-1080.0,-561.0
192,009813,貝萊德標普卓越50,11.26,-0.04,-0.35,05/28,0,0,0,-352,-352,-1660.0,-1787.0,-4071.0,,-1511.0
193,3060,銘異,28.7,-1.1,-3.69,05/28,77,-384,-510,-349,-401,-393.0,-1641.0,-164.0,883.0,-2179.0
194,6742,澤米,57.0,-0.3,-0.52,05/28,-37,-187,-284,-348,-77,-165.0,-832.0,-1146.0,-567.0,-1002.0
195,3491,昇達科,2000.0,-80.0,-3.85,05/28,-56,-176,-259,-342,50,243.0,-76.0,-2912.0,-607.0,-493.0
196,2009,第一銅,38.8,-0.9,-2.27,05/28,-165,-267,-294,-339,-511,-1423.0,-2904.0,-4347.0,-1540.0,-2577.0
197,3059,華晶科,41.85,0.3,0.72,05/28,-72,-730,-731,-339,3879,3849.0,1121.0,10053.0,8125.0,9465.0
198,3413,京鼎,318.0,3.5,1.11,05/28,-121,-417,-399,-339,-308,800.0,-2339.0,3493.0,6321.0,921.0
199,00996A,主動兆豐台灣豐收,15.03,-0.51,-3.28,05/28,0,0,0,-333,-333,1200.0,,,,
200,8464,億豐,308.5,2.5,0.82,05/28,0,-196,-191,-333,-461,-878.0,-9001.0,-4344.0,799.0,-8129.0
201,3563,牧德,816.0,-26.0,-3.09,05/28,31,-59,-69,-332,-309,-308.0,-815.0,-692.0,1845.0,-430.0
202,5522,遠雄,72.0,0.8,1.12,05/28,-68,-475,-498,-331,-470,418.0,3890.0,-16905.0,-13304.0,-1424.0
203,5351,鈺創,82.6,0.0,0.0,05/28,-125,320,406,-325,-2076,-6080.0,1119.0,1749.0,1808.0,-5625.0
