"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00696B","富邦美債20年","28.15","-0.12","-0.42","26W21","05/20","+53","+622,549","43.1","90.7","0","0","0","0","+1","+2,835","34.2","0.41","+19","+279,250","46.2","40.7"
"00717","富邦美國特別股","14.9","-0.08","-0.53","26W21","05/20","+47","+21,520","58.3","15.4","0","0","0","0","+2","+137","4.86","0.1","+12","+10,986","76.7","7.87"
"00857B","永豐20年美公債","22.61","-0.09","-0.4","26W21","05/20","+28","+147,964","42.5","24.9","0","0","0","0","+1","+1,603","30.9","0.27","+28","+147,437","42.4","24.8"
"00733","富邦臺灣中小","67","+0.7","+1.06","26W21","05/20","+21","+27,933","17.1","38","0","0","0","0","+14","+25,529","22.9","34.7","+36","+85,894","36.5","117"
"00931B","統一美債20年","13.07","-0.07","-0.53","26W21","05/20","+18","+243,766","53.1","11","0","0","0","0","+1","+495","3.36","0.02","+18","+278,491","60.7","12.6"
"6234","高僑","43.85","-3.6","-7.59","26W21","05/20","+18","+6,758","3.15","6.73","0","0","0","0","-3","-426","-1.05","-0.42","+2","+757","3.34","0.75"
"006205","富邦上証","41.32","+0.4","+0.98","26W21","05/20","+15","+4,053","9.12","4","0","0","0","0","+3","+1,761","22.2","1.74","+15","+8,214","18.5","8.1"
"910322","康師傅-DR","24.7","+0.05","+0.2","26W21","05/20","+15","+834","64.3","3.94","0","0","0","0","0","0","0","0","+15","+834","64.3","3.94"
"00710B","復華彭博非投等債","18.86","-0.01","-0.05","26W21","05/20","+13","+1,940","15.3","1.06","0","0","0","0","-1","-69","-9.76","-0.04","+20","+22,702","57.2","12.4"
"00746B","富邦A級公司債","34.83","-0.18","-0.51","26W21","05/20","+13","+35,500","53.5","1.43","0","0","0","0","-13","-34,730","-52.3","-1.4","-2","-362","-4.25","-0.01"
"00763U","期街口道瓊銅","33.11","-0.45","-1.34","26W21","05/20","+12","+7,588","10.7","13.9","0","0","0","0","-1","-712","-27.8","-1.31","-1","-693","-27","-1.27"
"00902","中信電池及儲能","15.92","-0.07","-0.44","26W21","05/20","+11","+35,520","24.5","14.8","0","0","0","0","+2","+3,508","18.2","1.46","+11","+69,298","47.8","28.9"
"9933","中鼎","38.75","+1.4","+3.75","26W21","05/20","+11","+58,575","16.2","6.51","+1","+329","2.36","0.04","+1","+1,083","7.77","0.12","+11","+59,577","16.5","6.62"
"00897","富邦基因免疫生技","9.44","+0.01","+0.11","26W21","05/20","+10","+11,651","31.2","7.59","0","0","0","0","-1","-249","-14.7","-0.16","+23","+31,389","33.8","20.4"
"00901","永豐智能車供應鏈","39.26","-0.16","-0.41","26W21","05/20","+10","+3,842","16","5.88","0","0","0","0","-1","-78","-2.83","-0.12","+10","+3,279","13.6","5.02"
"00943","兆豐電子高息等權","19.84","+0.18","+0.92","26W21","05/20","+10","+10,988","52.8","25.6","0","0","0","0","-6","-2,609","-23.9","-6.08","+11","+9,724","45.2","22.7"
"009817","國泰日本不動產","8.92","-0.07","-0.78","26W21","05/20","+10","+31,863","18.5","11.2","0","0","0","0","+7","+12,191","13.1","4.29","+8","+31,906","28.5","11.2"
"00984B","大華優利美A債15","16.02","-0.09","-0.56","26W21","05/20","+10","+73,715","40.6","40.4","0","0","0","0","+1","+1,965","23","1.08","+3","+20,962","53.6","11.5"
"2379","瑞昱","567","+12","+2.16","26W21","05/20","+10","+41,172","22.4","7.99","-6","-6,620","-5.37","-1.28","+1","+48","0.37","0.01","+10","+24,817","13.5","4.81"
"00885","富邦越南","19.1","-0.22","-1.14","26W21","05/20","+9","+52,364","24.9","7.94","0","0","0","0","+8","+41,242","21.9","6.26","+8","+93,514","49.7","14.2"
"00915","凱基優選高股息30","27","+0.17","+0.63","26W21","05/20","+9","+60,843","17.2","9.92","0","0","0","0","+63","+952,443","45.2","155","+63","+1,106,395","52.5","180"
"2301","光寶科","204","-2.5","-1.21","26W21","05/20","+9","+194,464","15.1","8.39","+1","+449","0.62","0.02","+1","+86","0.12","0","+9","+155,345","12.1","6.71"
"2438","翔耀","21.5","-0.15","-0.69","26W21","05/20","+9","+676","7.34","0.95","0","0","0","0","+1","0","0","0","+9","+678","7.36","0.95"
"2867","三商壽","7.7","-0.05","-0.65","26W21","05/20","+9","+119,091","33.9","2.02","0","0","0","0","+3","+6,178","5.98","0.1","+9","+124,813","35.6","2.12"
"2886","兆豐金","40.3","-0.35","-0.86","26W21","05/20","+9","+166,199","16.2","1.12","+1","+221","0.18","0","-4","-7,111","-1.66","-0.05","+4","+40,534","9.44","0.27"
"00655L","國泰中國A50正2","35.63","+0.16","+0.45","26W21","05/20","+8","+3,480","6.89","4.8","0","0","0","0","-1","-283","-7.21","-0.39","+16","+28,087","20","38.8"
"00714","群益道瓊美國地產","21.38","+0.08","+0.38","26W21","05/20","+8","+1,505","26.8","6.82","0","0","0","0","-2","-415","-31","-1.88","+20","+3,904","21.6","17.7"
"00740B","富邦全球投等債","37.83","-0.22","-0.58","26W21","05/20","+8","+48,341","47.2","2.32","0","0","0","0","-12","-86,007","-38.5","-4.13","+1","+102","1.97","0"
"00755B","群益投資級公用債","31.9","-0.18","-0.56","26W21","05/20","+8","+1,430","23","0.51","-3","-1,238","-40.1","-0.44","+3","+142","4.59","0.05","-3","-42","-1.37","-0.01"
"00772B","中信高評級公司債","32.93","-0.16","-0.48","26W21","05/20","+8","+51,452","45.9","1.49","0","0","0","0","+1","+1,934","15.8","0.06","+39","+181,131","36.8","5.23"
"00773B","中信優先金融債","35.15","-0.16","-0.45","26W21","05/20","+8","+16,303","38.2","0.64","0","0","0","0","+1","+1,206","27.8","0.05","+29","+38,451","22.7","1.5"
"00908","富邦入息REITs+","14.18","-0.04","-0.28","26W21","05/20","+8","+2,600","34.4","7.04","0","0","0","0","-1","-241","-39","-0.65","+7","+1,977","30.9","5.36"
"00923","群益台ESG低碳50","36.52","-0.22","-0.6","26W21","05/20","+8","+38,876","16.8","4.58","0","0","0","0","-1","-270","-2.59","-0.03","+7","+112,087","52.8","13.2"
"00948B","中信優息投資級債","9.26","-0.05","-0.54","26W21","05/20","+8","+158,009","46.8","4.02","0","0","0","0","+1","+4,930","14.6","0.13","+43","+1,463,275","55.8","37.2"
"00950B","凱基A級公司債","13.82","-0.07","-0.5","26W21","05/20","+8","+78,993","38.9","1.94","0","0","0","0","-11","-65,994","-13.7","-1.62","+2","+14,817","29.4","0.36"
"00959B","大華投等美債15Y+","9.2","-0.06","-0.65","26W21","05/20","+8","+26,600","38.1","4.7","0","0","0","0","+3","+5,888","21.9","1.04","+3","+15,053","56.1","2.66"
"009813","貝萊德標普卓越50","11.28","-0.04","-0.35","26W21","05/20","+8","+36,554","17.4","8.14","0","0","0","0","+7","+103,758","55.2","23.1","+7","+140,281","74.7","31.2"
"2453","凌群","54.7","+0.2","+0.37","26W21","05/20","+8","+1,219","8.79","1.22","0","0","0","0","0","0","0","0","+8","+1,224","8.82","1.22"
"2881C","富邦金丙特","51.2","0","0","26W21","05/20","+8","+146","2.53","0.04","0","0","0","0","0","0","0","0","+8","+146","2.53","0.04"
"6570","維田","44.9","+1.1","+2.51","26W21","05/20","+8","+219","4.38","0.59","0","0","0","0","0","0","0","0","+8","+229","4.57","0.62"
"6908","宏碁遊戲-創","38.1","-0.1","-0.26","26W21","05/20","+8","+73","6.38","0.2","0","0","0","0","0","0","0","0","+6","+79","12.3","0.21"
"006207","復華滬深","33.18","+0.19","+0.58","26W21","05/20","+7","+528","6.19","2.36","0","0","0","0","-1","-16","-1.88","-0.07","+15","+3,112","15.7","13.9"
"006208","富邦台50","214.1","-1.55","-0.72","26W21","05/20","+7","+18,616","10.9","1.01","0","0","0","0","+7","+26,159","15.3","1.42","+7","+44,739","26.1","2.43"
"00647L","元大S&P500正2","130.05","-0.95","-0.73","26W21","05/20","+7","+58","1.38","0.9","0","0","0","0","+5","+1,024","41.1","16","+7","+1,334","31.7","20.8"
"00701","國泰股利精選30","31.93","-0.21","-0.65","26W21","05/20","+7","+6,092","16.3","3.35","0","0","0","0","+20","+34,897","27","19.2","+20","+49,243","38.2","27.1"
"00757","統一FANG+","126.35","-0.25","-0.2","26W21","05/20","+7","+17,114","20.2","5.76","0","0","0","0","+7","+27,897","32.9","9.39","+7","+45,011","53.1","15.2"
"00770","國泰北美科技","63.4","+0.05","+0.08","26W21","05/20","+7","+6,507","26.3","7.84","0","0","0","0","+7","+5,707","23","6.88","+7","+12,214","49.3","14.7"
"00858","永豐美國500大","35.33","-0.03","-0.08","26W21","05/20","+7","+4,629","15.3","3.81","0","0","0","0","+7","+10,636","35.2","8.76","+7","+15,265","50.5","12.6"
"00895","富邦未來車","48.4","-0.28","-0.58","26W21","05/20","+7","+3,956","14.5","2.55","0","0","0","0","+13","+10,075","20.1","6.48","+24","+22,755","25.2","14.6"
"00900","富邦特選高股息30","16.54","+0.06","+0.36","26W21","05/20","+7","+154,472","29.3","8.51","0","0","0","0","+7","+211,167","40.1","11.6","+7","+374,139","71.1","20.6"
