"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"3706","神達","86.8","+0.6","+0.7","26W20","05/11","-1","-1,073","-5.02","-0.08","+3","+333","0.22","0.03","-1","-228","-1.07","-0.02","-1","-1,272","-5.95","-0.1"
"4105","東洋","75.2","-0.2","-0.27","26W20","05/11","-14","-16,484","-30.8","-6.63","+3","+1,890","21.4","0.76","-8","-1,780","-5.37","-0.72","-14","-16,385","-30.6","-6.59"
"4746","台耀","55.5","+1.2","+2.21","26W20","05/11","+1","+275","22.4","0.23","+3","+1,779","13.3","1.48","-1","-2","-0.17","0","+3","+1,631","12.2","1.36"
"4966","譜瑞-KY","735","+66","+9.87","26W20","05/11","-1","-868","-12.1","-1.1","+3","+1,464","4.78","1.85","+2","+564","2.79","0.71","+2","+2,234","11","2.83"
"5269","祥碩","1390","-20","-1.42","26W20","05/11","-1","-36","-0.97","-0.05","+3","+135","0.64","0.18","-1","-18","-0.48","-0.02","+3","+1,159","5.52","1.55"
"5274","信驊","17825","+870","+5.13","26W20","05/11","+1","+42","12.4","0.11","+3","+228","5.82","0.6","+2","+3","0.13","0.01","+1","+54","16.1","0.14"
"5439","高技","391","+3","+0.77","26W20","05/11","-4","-7,409","-6.47","-7.97","+3","+3,164","4.75","3.4","+3","+240","0.36","0.26","+1","+154","3.13","0.17"
"5534","長虹","79.4","+1","+1.28","26W20","05/11","+1","+183","25.6","0.06","+3","+1,746","23.9","0.55","+3","+31","0.42","0.01","+1","+303","42.3","0.1"
"6138","茂達","285","+24.5","+9.4","26W20","05/11","+2","+1,521","15.9","2.01","+3","+58","0.47","0.08","+2","+77","0.81","0.1","+2","+1,609","16.8","2.13"
"6670","復盛應用","262.5","+8.5","+3.35","26W20","05/11","+1","+188","39.9","0.14","+3","+440","12.8","0.32","+1","+10","2.12","0.01","+1","+231","49","0.17"
"6768","志強-KY","92","+4.5","+5.14","26W20","05/11","+1","+170","10.7","0.08","+3","+1,676","17.2","0.84","+2","+51","0.79","0.03","+3","+1,311","13.5","0.66"
"7769","鴻勁","6380","+580","+10","26W20","05/11","-1","-33","-2.24","-0.02","+3","+458","3.35","0.25","-1","0","0","0","-1","-20","-1.32","-0.01"
"8155","博智","420","-24","-5.41","26W20","05/11","-3","-4,467","-8.64","-7.36","+3","+2,260","4.37","3.72","-5","-998","-1.01","-1.64","-3","-2,478","-4.79","-4.08"
"8261","富鼎","135","+9","+7.14","26W20","05/11","-3","-4,964","-11.2","-4.18","+3","+107","0.24","0.09","+2","+230","0.67","0.19","-3","-4,684","-10.6","-3.94"
"9802","鈺齊-KY","83.1","+2.7","+3.36","26W20","05/11","+1","+299","15.2","0.15","+3","+1,970","17.1","0.98","-1","-4","-0.18","0","+3","+1,720","14.9","0.86"
"9907","統一實","17","-0.1","-0.58","26W20","05/11","-6","-34,921","-40.5","-2.21","+3","+3,703","8.77","0.23","-4","-132","-0.21","-0.01","-6","-33,914","-39.3","-2.15"
"9938","百和","45.25","+0.45","+1","26W20","05/11","+1","+403","18.9","0.14","+3","+4,307","21.4","1.45","-1","-1","-0.05","0","+1","+570","26.7","0.19"
