" "," ","#","股票代號/名稱","類別","20260410","0417","0424","0430","0508","0515"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","1","3450聯鈞","半導體","7.35","5.16","-2.11","-3.58","3.92","7.73"," ","50","18.47"," ","49.06","395.50","-26.50"," "
" "," ","2","1597直得","電機","1.94","5.58","-1.75","2.91","3.63","0.14"," ","30","12.45"," ","61.89","179.50","-0.50"," "
" "," ","3","2492華新科","電子零組件","-0.29","2.97","-0.25","-0.05","4.24","5.43"," ","50","12.05"," ","68.65","206.00","-14.00"," "
" "," ","4","2464盟立","其他電子","-0.69","0.92","8.53","4.92","-1.70","-0.89"," ","31","11.09"," ","45.58","126.50","11.50"," "
" "," ","5","3057喬鼎","電腦週邊","0.00","8.63","0.00","0.00","1.02","1.23"," ","50","10.88"," ","33.16","18.40","-0.70"," "
" "," ","6","8028昇陽半導體","半導體","7.55","-7.62","9.28","-2.05","-2.85","5.74"," ","31","10.05"," ","51.69","287.50","26.00"," "
" "," ","7","3033威健","電子通路","-0.01","1.24","1.28","1.05","3.28","2.49"," ","30","9.33"," ","42.08","47.90","1.50"," "
" "," ","8","3048益登","電子通路","-0.47","0.38","0.29","0.30","1.18","7.57"," ","50","9.25"," ","54.67","56.10","5.10"," "
" "," ","9","3026禾伸堂","電子零組件","5.41","3.45","-0.24","-1.45","0.17","1.35"," ","50","8.69"," ","54.30","327.00","-30.50"," "
" "," ","10","3481群創","光電","1.21","0.51","-2.01","-0.57","6.63","2.81"," ","30","8.58"," ","50.09","36.10","0.70"," "
" "," ","11","2481強茂","半導體","3.10","4.27","-5.94","-2.26","0.86","8.03"," ","50","8.06"," ","65.66","117.50","2.00"," "
" "," ","12","4916事欣科","電腦週邊","0.31","4.81","2.59","-1.46","0.70","0.88"," ","50","7.83"," ","36.22","67.70","0.80"," "
" "," ","13","8438昶昕","綠能","2.97","0.86","1.86","0.41","-0.61","2.30"," ","31","7.79"," ","82.90","93.40","-7.60"," "
" "," ","14","2376技嘉","電腦週邊","1.31","2.49","1.20","-0.04","1.85","0.71"," ","30","7.52"," ","70.08","326.50","-0.50"," "
" "," ","15","3661世芯-KY","半導體","0.21","0.75","3.34","0.67","2.31","0.20"," ","30","7.48"," ","39.49","4605.00","-225.00"," "
" "," ","16","2233宇隆","汽車","0.08","0.21","0.29","2.17","5.57","-0.94"," ","30","7.38"," ","59.91","295.00","12.50"," "
" "," ","17","8261富鼎","半導體","1.67","2.20","1.05","-0.95","-0.35","3.73"," ","50","7.35"," ","48.87","134.50","-1.50"," "
" "," ","18","3016嘉晶","半導體","0.03","0.87","2.79","1.53","1.88","0.23"," ","30","7.33"," ","79.50","111.00","-12.00"," "
" "," ","19","2476鉅祥","電子零組件","2.65","1.11","2.72","0.15","0.59","-0.05"," ","30","7.17"," ","61.15","115.00","-4.00"," "
" "," ","20","2344華邦電","半導體","-0.26","-0.70","0.27","0.88","3.04","3.85"," ","50","7.08"," ","72.20","129.50","-4.50"," "
" "," ","21","6278台表科","光電","-0.42","6.27","1.72","0.82","-0.39","-1.01"," ","10","6.99"," ","72.90","220.50","-5.50"," "
" "," ","22","5284jpp-KY","其他","2.16","2.92","-0.25","0.78","0.60","0.72"," ","31","6.93"," ","58.64","376.50","-9.50"," "
" "," ","23","2327國巨*","電子零組件","1.45","3.61","-0.51","0.44","1.38","0.24"," ","30","6.61"," ","73.81","455.50","-6.50"," "
" "," ","24","6706惠特","光電","3.85","4.12","-5.58","5.27","1.94","-3.12"," ","10","6.48"," ","33.52","158.50","-5.50"," "
" "," ","25","6414樺漢","電腦週邊","-0.27","2.01","2.14","0.03","1.65","0.90"," ","30","6.46"," ","66.05","319.50","-35.50"," "
" "," ","26","2049上銀","電機","0.99","0.58","2.97","0.04","0.21","1.61"," ","50","6.40"," ","70.83","392.50","18.00"," "
" "," ","27","3042晶技","電子零組件","1.35","5.93","0.73","-0.06","-1.28","-0.32"," ","31","6.35"," ","66.07","144.00","-5.50"," "
" "," ","28","8210勤誠","電腦週邊","-1.14","3.28","2.04","-0.44","0.99","1.49"," ","50","6.22"," ","73.23","1410.00","-50.00"," "
" "," ","29","3305昇貿","其他電子","0.71","0.57","0.75","-1.22","1.54","3.66"," ","50","6.01"," ","48.09","138.50","12.50"," "
" "," ","30","6658聯策","其他電子","3.68","-1.51","0.21","1.33","2.18","0.05"," ","30","5.94"," ","44.42","194.00","1.00"," "
" "," ","31","2478大毅","電子零組件","-0.42","3.76","0.59","-0.93","1.41","1.13"," ","30","5.54"," ","59.18","83.50","1.40"," "
" "," ","32","1721三晃","化學","-0.54","0.77","8.16","-2.01","1.34","-2.19"," ","30","5.53"," ","43.49","31.40","-1.10"," "
" "," ","33","6443元晶","光電","-1.06","5.23","0.74","0.73","0.73","-0.91"," ","20","5.46"," ","18.63","38.20","-1.60"," "
" "," ","34","2351順德","半導體","0.77","0.35","1.19","-0.10","1.12","1.79"," ","50","5.12"," ","73.84","180.00","-2.00"," "
" "," ","35","3006晶豪科","半導體","-4.93","0.03","-0.94","1.19","2.53","7.22"," ","50","5.10"," ","60.83","251.00","13.00"," "
" "," ","36","6672騰輝電子-KY","電子零組件","6.25","-5.63","-2.88","3.07","5.59","-1.43"," ","30","4.97"," ","32.27","181.50","-13.50"," "
" "," ","37","8150南茂","半導體","0.83","6.50","-1.21","-0.15","5.14","-6.23"," ","30","4.88"," ","71.76","80.90","-3.00"," "
" "," ","38","4764雙鍵","化學","2.40","4.13","-0.87","-0.97","0.48","-0.30"," ","30","4.87"," ","78.90","291.50","-18.50"," "
" "," ","39","2356英業達","電腦週邊","0.42","0.69","0.95","0.15","0.97","1.66"," ","50","4.84"," ","72.74","52.20","-1.00"," "
" "," ","40","3209全科","電子通路","0.38","1.32","0.61","0.35","1.01","1.11"," ","50","4.78"," ","48.85","68.00","4.50"," "
" "," ","41","2363矽統","半導體","0.09","0.31","1.16","-0.56","0.34","3.40"," ","50","4.74"," ","37.05","60.50","-2.50"," "
" "," ","42","2406國碩","光電","0.59","0.01","0.75","0.34","3.21","-0.53"," ","30","4.37"," ","37.17","30.85","-0.95"," "
" "," ","43","2243宏旭-KY","汽車","0.95","-1.76","2.96","2.43","-0.21","-0.09"," ","31","4.28"," ","54.70","21.20","0.20"," "
" "," ","44","8114振樺電","電腦週邊","-1.06","-0.21","1.04","-1.74","0.34","5.88"," ","50","4.25"," ","50.83","216.00","-24.00"," "
" "," ","45","2408南亞科","半導體","-0.74","-0.77","0.09","2.99","1.69","0.98"," ","10","4.24"," ","83.16","311.50","-29.50"," "
" "," ","46","2303聯電","半導體","0.19","1.27","0.98","-0.11","1.17","0.71"," ","30","4.21"," ","78.85","110.00","2.00"," "
" "," ","47","6209今國光","光電","1.19","1.06","1.19","-1.11","3.97","-2.11"," ","30","4.19"," ","48.81","67.00","-1.30"," "
" "," ","48","6206飛捷","電腦週邊","0.83","-0.30","0.19","-0.29","0.29","3.43"," ","50","4.15"," ","52.44","130.00","-6.50"," "
" "," ","49","8105凌巨","光電","1.09","1.64","0.52","-0.05","0.28","0.60"," ","50","4.08"," ","63.02","15.70","-0.30"," "
" "," ","50","2465麗臺","電腦週邊","-0.13","1.47","1.94","-0.18","1.05","-0.18"," ","30","3.97"," ","36.12","77.30","-5.30"," "
" "," ","51","3583辛耘","半導體","3.19","1.93","-1.01","-1.01","-0.72","1.55"," ","50","3.93"," ","61.42","888.00","-41.00"," "
" "," ","52","6449鈺邦","電子零組件","-0.02","-0.04","0.14","-0.38","1.01","3.21"," ","50","3.92"," ","75.37","263.00","23.50"," "
" "," ","53","6224聚鼎","電子零組件","0.00","1.70","0.11","-0.52","3.76","-1.14"," ","30","3.91"," ","39.00","71.70","-1.90"," "
" "," ","54","3413京鼎","半導體","0.25","3.25","0.01","-1.69","-0.57","2.66"," ","50","3.91"," ","44.56","325.50","4.50"," "
" "," ","55","6205詮欣","電子零組件","0.38","1.48","2.03","6.90","-6.54","-0.35"," ","31","3.90"," ","48.22","76.80","-2.50"," "
" "," ","56","3231緯創","電腦週邊","0.63","0.69","2.18","0.53","1.26","-1.42"," ","30","3.87"," ","60.87","135.50","-2.50"," "
" "," ","57","8103瀚荃","電子零組件","2.41","1.34","-1.04","3.33","-0.45","-2.05"," ","10","3.54"," ","51.37","103.00","-4.00"," "
" "," ","58","8016矽創","半導體","-0.50","0.15","0.44","-0.53","1.80","2.15"," ","50","3.51"," ","45.47","274.00","-20.50"," "
" "," ","59","4722國精化","化學","-0.04","-0.30","0.42","0.09","2.18","1.01"," ","30","3.36"," ","58.52","264.50","6.50"," "
" "," ","60","6831邁科","電腦週邊","1.31","-0.45","1.77","-1.72","-2.20","4.60"," ","31","3.31"," ","62.03","725.00","3.00"," "
" "," ","61","8021尖點","其他電子","4.23","0.82","-1.22","-1.51","0.16","0.82"," ","50","3.30"," ","51.13","441.50","-49.00"," "
" "," ","62","1516川飛","其他","-0.20","0.00","1.11","0.00","1.49","0.74"," ","30","3.14"," ","63.21","21.90","0.10"," "
" "," ","63","3704合勤控","通信網路","0.54","0.80","0.81","0.10","0.06","0.79"," ","31","3.10"," ","57.55","38.20","1.50"," "
" "," ","64","1809中釉","玻璃","0.40","-0.29","0.46","-0.36","1.81","1.05"," ","30","3.07"," ","54.75","38.60","-0.65"," "
" "," ","65","2030彰源","鋼鐵","0.37","0.38","0.34","0.12","0.10","1.68"," ","31","2.99"," ","46.64","17.30","-0.65"," "
" "," ","66","2438翔耀","光電","-0.84","-0.02","0.00","0.01","-0.02","3.85"," ","31","2.98"," ","58.53","20.65","-0.55"," "
" "," ","67","2027大成鋼","鋼鐵","0.90","-0.68","-0.74","1.22","1.15","1.13"," ","10","2.98"," ","70.24","39.85","0.05"," "
" "," ","68","2317鴻海","其他電子","-0.01","0.13","0.77","0.26","1.63","0.17"," ","30","2.95"," ","69.42","248.50","4.00"," "
" "," ","69","2497怡利電","汽車","0.71","0.52","1.78","0.08","0.23","-0.40"," ","30","2.92"," ","68.23","57.60","0.50"," "
" "," ","70","2355敬鵬","電子零組件","1.06","0.04","-3.40","1.47","2.06","1.64"," ","30","2.87"," ","47.32","52.50","-1.40"," "
" "," ","71","5234達興材料","光電","1.92","0.21","1.76","-0.48","-0.92","0.37"," ","31","2.86"," ","66.60","399.00","-19.00"," "
