"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"93","6120","達運","12.6","-0.35","-2.7","05/15","52.3","55.4","53.4","48.3","39.7","37.7","31.5","29.4","30.2","25.7","18.5","30.8"
"94","2395","研華","459.5","-5.5","-1.18","05/15","45.4","48.9","53.3","56.5","47.7","44.6","43.6","50.4","58.1","66.2","68.7","46.4"
"95","6720","久昌","158.5","-3","-1.86","05/15","53.4","51","53.2","39.6","36.4","34.6","26.8","23.3","22.6","","","24.2"
"96","5388","中磊","77.6","-0.1","-0.13","05/15","35.7","49","53.1","43.8","33.5","31.8","36.4","40.1","39.8","35.7","29.5","39.8"
"97","1303","南亞","85.3","0","0","05/15","54.5","51.9","52.8","48.8","41.3","36.5","34.8","31.4","31.8","36.2","40.3","31.7"
"98","2454","聯發科","3260","-145","-4.26","05/15","49.8","51.1","52.7","57.9","53.3","46.6","52.5","50.3","51.3","50.8","48.6","49.9"
"99","6112","邁達特","41.9","-0.45","-1.06","05/15","53.5","53.1","52.2","46.5","42.7","33.6","29.4","30.8","21.8","20.3","18.6","29.6"
"100","1326","台化","44.45","-0.5","-1.11","05/15","52.5","51.6","51.9","43.4","43.1","37.3","36.2","35.4","36","39.8","43.6","34.7"
"101","1614","三洋電","31","-0.15","-0.48","05/15","64.2","56.9","51.8","35.2","29.7","28","29.9","23.8","19","18.5","12.7","25.1"
"102","00756B","群益投等新興公債","31.35","-0.18","-0.57","05/15","47.5","60.1","51.7","48.8","34.6","20.7","19.7","3.06","2.28","9.47","","3.14"
"103","2548","華固","126.5","0","0","05/15","63.9","47.3","51.7","51.8","47.1","45.6","32","30.7","33.1","35.6","34.2","32.3"
"104","3036","文曄","270","-1.5","-0.55","05/15","45","48.9","51.6","51","53","50.1","49.2","53.3","50.4","41.2","36.8","48.1"
"105","4588","玖鼎電力","54.7","-1.1","-1.97","05/15","57.6","50.3","51.6","50.2","39.5","33.2","36.4","27.2","23.5","","","28"
"106","6164","華興","11.75","-0.1","-0.84","05/15","46.6","47.7","51.6","43.2","29.9","27.2","23.1","19.3","18.6","20.8","14.6","23.1"
"107","9945","潤泰新","23","-0.15","-0.65","05/15","44.9","48.7","51.4","48.6","44.2","43.9","23.2","15.9","7.39","1.76","0.7","24.9"
"108","9927","泰銘","67","-1.2","-1.76","05/15","66","54.4","51.4","46.1","39.4","39.6","19.5","11.2","3.76","0.37","0.13","18.5"
"109","2362","藍天","38.6","-0.5","-1.28","05/15","63.3","41","51.3","43.2","34.5","36.2","36.4","36.3","36.7","26.3","25.9","37.8"
"110","2515","中工","12.25","-0.65","-5.04","05/15","46.9","57.5","51.2","50.9","45.6","47.5","35.9","37.9","33.6","27.5","20.9","35.9"
