"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","3624","光頡","76.2","+3","+4.1","05/15","+5.18","+5.1","+5.89","+8.22","+7.71","+8.12","+9.78","+8.22","+8.4","+11.1","+7.15","+9.19"
"2","009820","元大納斯達克精選","10.15","+0.11","+1.1","05/15","+2.04","+3.83","+5.04","+8.07","+8.86","","","","","","",""
"3","2481","強茂","117.5","+2","+1.73","05/15","-0.47","+0.32","+1.03","+7.37","+8.28","+5.88","+11","+15.5","+15.7","+18.3","+1.39","+22"
"4","3048","益登","56.1","+5.1","+10","05/15","+1.39","+4.41","+4.68","+7.17","+8.36","+9.66","+10.9","+10.9","+5.3","+8.7","+8.59","+11.2"
"5","8147","正淩","189","+7","+3.85","05/15","+1.61","+3.55","+3.55","+7.12","+6.74","+4.15","+4.7","+4.01","+4.52","+3.95","+4.2","+3.78"
"6","00859B","群益0-1年美債","40.91","-0.05","-0.12","05/15","+2.25","+2.92","+3.17","+5.86","+7.25","+11.4","+31.3","+61.2","+58.7","+72.2","","+55"
"7","3006","晶豪科","251","+13","+5.46","05/15","+1.8","+3.98","+4.23","+5.55","+10.3","+10.2","+10.3","+18","+23.9","+26.8","+28.6","+9.56"
"8","3498","陽程","149","+13.5","+9.96","05/15","+1.17","+1.57","+4.13","+5.4","+2.63","+6.13","+11.5","+9.84","+8.07","+9.15","+11.3","+8"
"9","00984B","大華優利美A債15","16.19","-0.08","-0.49","05/15","-0.01","+1.52","+2.03","+4.91","+10","+18.4","+27.5","+24.2","+29.8","","","+27.3"
"10","4540","全球傳動","70.9","+6.4","+9.92","05/15","+3.98","+4.13","+4.13","+4.81","+0.64","+6.74","+12.1","+10.7","+9.73","+10.4","","+10.6"
"11","6173","信昌電","155","-17","-9.88","05/15","-0.04","+0.12","+0.54","+4.67","+7.61","+9.97","+12.8","+14.8","+13.6","+14.4","+14.6","+15.5"
"12","4966","譜瑞-KY","800","-19","-2.32","05/15","+0.96","+1.23","+2.19","+4.53","+5.96","+4.39","+0.56","-10.2","-16","-35.2","-15","-5.54"
"13","8390","金益鼎","119.5","+8.5","+7.66","05/15","+0.84","+1.15","+1.25","+4.2","+4.97","+4.96","+5.43","+12.3","+4.71","+5.12","+5.11","+6.02"
"14","2492","華新科","206","-14","-6.36","05/15","+0.39","+2.13","+3.05","+4.13","+7.69","+8.49","+10.6","+11.9","+11.4","+7.38","+1.94","+13.3"
"15","00733","富邦臺灣中小","66.7","-2.35","-3.4","05/15","-0.19","-0.07","-0.02","+3.99","+7.18","+12.5","+26.1","+36.7","+47.6","+23.6","","+36.3"
"16","4739","康普","96.3","-5.2","-5.12","05/15","-0.17","+0.04","+1.02","+3.94","+2.69","-1.54","-0.2","+1.8","+6.1","+8.14","+6.99","+1.98"
"17","6215","和椿","130.5","+11.5","+9.66","05/15","+2.07","+2.48","+2.36","+3.88","+3.17","+3.85","+4.06","+4.83","+0.23","-1.73","+0.01","+4.63"
"18","8069","元太","210","-16","-7.08","05/15","+0.11","+0.84","+2.23","+3.79","+4.03","+3.13","+3.57","+2.7","+2.77","+3.86","+2.63","+1.79"
"19","00875","國泰網路資安","42.92","+0.02","+0.05","05/15","+2.33","+3.48","+3.48","+3.76","+3.57","+4.48","+11.6","+16.2","+44.6","+170","","+14.9"
"20","00983A","主動中信ARK創新","11.59","-0.12","-1.02","05/15","+0.02","+0.15","+1.96","+3.75","+8.57","+11.9","+12.6","+13.4","","","","+13.4"
"21","3305","昇貿","138.5","+12.5","+9.92","05/15","+1.96","+1.34","+0.16","+3.75","+4.99","+5.92","+7.73","+7.81","+1.04","+5.26","+0.99","+7.2"
