"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"233","5443","均豪","125.5","-2.5","-1.95","3,523","05/13","+34","+28","+49","+11","+32","+22","+75","-21","-47","+71"
"234","6134","萬旭","32.05","-1.05","-3.17","943","05/13","0","0","+5","+11","+8","-3","-14","-51","+18","-14"
"235","6188","廣明","83","-2.6","-3.04","1,671","05/13","+10","+16","+15","+11","+8","+8","+2","-30","-107","-5"
"236","6895","宏碩系統","157.5","-2","-1.25","65","05/13","0","+1","+1","+11","+11","+11","-94","-276","+10","-158"
"237","00664R","國泰臺灣加權反1","1.83","+0.01","+0.55","15,256","05/13","-12","-14","-20","+10","-58","-83","-159","-177","-262","-52"
"238","00708L","期元大S&P黃金正2","97.6","-0.5","-0.51","1,960","05/13","-2","+9","+7","+10","-4","+22","-88","+146","+59","-198"
"239","00955","中信日本商社","16.68","+0.62","+3.86","18,775","05/13","+7","+9","+10","+10","+13","+6","-1,254","+11","+20","+10"
"240","2020","美亞","22.1","+0.05","+0.23","556","05/13","0","+10","+10","+10","+10","+10","+7","+7","+4","+7"
"241","3034","聯詠","486.5","-0.5","-0.1","5,613","05/13","-12","-5","-23","+10","+12","+16","+7","-48","-325","-9"
"242","3221","台嘉碩","42.25","-1.55","-3.54","5,400","05/13","-4","-2","-7","+10","+7","-48","+93","+111","+123","+113"
"243","4561","健椿","47.5","-2.7","-5.38","520","05/13","-17","-36","-16","+10","+19","+21","-28","-49","-59","-8"
"244","5284","jpp-KY","394","+12","+3.14","4,149","05/13","+9","+10","+10","+10","+17","+25","-29","-62","+11","-54"
"245","6516","勤崴國際","57.2","-0.6","-1.04","258","05/13","+10","+10","+10","+10","+10","+10","+10","+9","+6","+10"
"246","6584","南俊國際","679","-2","-0.29","1,876","05/13","-6","-9","-3","+10","-22","+16","-360","-372","-12","-216"
"247","6669","緯穎","5580","-210","-3.63","2,928","05/13","0","+3","+7","+10","+4","+17","-26","-86","-81","-51"
"248","1762","中化生","37.95","+3.45","+10","830","05/13","+8","+10","+8","+9","+13","+11","+13","-15","+12","+3"
