"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"217","00632R","元大台灣50反1","11.66","+0.19","+1.66","05/19","0","0","0","0","0","-0.06","-0.06","0","0","0","-0.2","-0.06"
"218","00633L","富邦上証正2","50.9","-0.6","-1.17","05/19","0","0","0","0","0","0","0","0","0","0","0","0"
"219","00634R","富邦上証反1","3.12","+0.02","+0.65","05/19","0","0","0","0","0","0","0","0","0","0","-2.37","0"
"220","00635U","期元大S&P黃金","47.55","-0.07","-0.15","05/19","0","0","0","0","0","0","0","0","-0.86","0","0","0"
"221","00636","國泰中國A50","28.23","-0.13","-0.46","05/19","0","0","0","0","0","0","0","0","-0.14","+0.86","+0.62","0"
"222","00636K","國泰中國A50+U","8.98","-0.02","-0.22","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"223","00637L","元大滬深300正2","21.03","-0.26","-1.22","05/19","0","0","0","0","0","0","0","0","-0.05","-0.55","-0.06","0"
"224","00638R","元大滬深300反1","6.67","+0.04","+0.6","05/19","0","0","0","0","0","0","0","0","0","0","0","0"
"225","00639","富邦深100","17.57","-0.14","-0.79","05/19","0","0","0","0","0","0","0","0","-0.36","-0.36","-0.47","0"
"226","00640L","富邦日本正2","97.05","+0.5","+0.52","05/19","0","0","0","0","0","0","0","0","0","0","0","0"
"227","00641R","富邦日本反1","3.95","0","0","05/19","0","0","0","0","0","0","0","0","0","0","0","0"
"228","00642U","期元大S&P石油","32.59","-0.03","-0.09","05/19","0","0","0","0","0","0","0","0","0","0","-0.24","0"
"229","00643","群益深証中小","20.12","-0.01","-0.05","05/19","0","0","0","0","0","0","0","0","0","0","-1.06","0"
"230","00643K","群益深証中小+R","4.37","0","0","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"231","00645","富邦日本","54.1","+0.15","+0.28","05/19","0","0","0","0","0","0","0","0","0","+0.39","+0.32","0"
"232","00647L","元大S&P500正2","131","+0.65","+0.5","05/19","0","0","0","0","0","0","0","0","0","0","0","0"
"233","00648R","元大S&P500反1","4.06","-0.01","-0.25","05/19","0","0","0","0","0","0","0","0","0","0","0","0"
"234","00650L","復華香港正2","17.33","+0.08","+0.46","05/19","0","0","0","0","0","0","0","0","0","0","0","0"
"235","00651R","復華香港反1","5.23","-0.01","-0.19","05/19","0","0","0","0","0","0","0","0","0","0","0","0"
"236","00652","富邦印度","32.32","+0.33","+1.03","05/19","0","0","0","0","0","0","0","0","0","-0.35","0","0"
"237","00653L","富邦印度正2","45.46","+1.01","+2.27","05/19","0","0","0","0","0","0","0","0","0","-0.11","0","0"
