"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"212","0055","元大MSCI金融","33.45","-0.55","-1.62","05/12","0","0","0","0","0","0","0","0","-0.12","0","0","0"
"213","0057","富邦摩台","288.85","+0.5","+0.17","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"214","0061","元大寶滬深","25.3","+0.13","+0.52","05/12","0","0","0","0","0","0","0","-2.85","-1.32","-0.31","-0.4","-3.94"
"215","006203","元大MSCI台灣","177.45","+0.7","+0.4","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"216","006204","永豐臺灣加權","210.35","+0.85","+0.41","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"217","006205","富邦上証","42.15","+0.33","+0.79","05/12","0","0","0","0","0","0","-1.92","-1","-0.45","-0.38","-1","-1.34"
"218","006206","元大上證50","38.26","+0.44","+1.16","05/12","0","0","0","0","0","0","0","0","0","0","-0.03","0"
"219","006207","復華滬深","33.95","+0.21","+0.62","05/12","0","0","0","0","0","0","0","0","0","0","+0.03","0"
"220","006208","富邦台50","224.55","+0.1","+0.04","05/12","0","0","0","0","0","0","-0.14","-0.05","+0.2","+0.15","+0.12","-0.09"
"221","00625K","富邦上証+R","9.07","+0.05","+0.55","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"222","00631L","元大台灣50正2","32.52","-0.14","-0.43","05/12","0","0","0","0","0","-0.04","-0.14","-0.13","-0.12","-0.09","-0.05","-0.13"
"223","00632R","元大台灣50反1","11.21","+0.05","+0.45","05/12","0","0","0","0","0","-0.06","-0.02","0","0","0","0","-0.02"
"224","00633L","富邦上証正2","54.3","+1.2","+2.26","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"225","00634R","富邦上証反1","3.01","-0.03","-0.99","05/12","0","0","0","0","0","0","0","0","0","0","-0.02","0"
"226","00635U","期元大S&P黃金","49.45","+0.53","+1.08","05/12","0","0","0","0","0","0","0","0","-0.17","0","0","0"
"227","00636","國泰中國A50","29.03","+0.36","+1.26","05/12","0","0","0","0","0","0","0","0","-0.04","+0.07","+0.01","0"
"228","00636K","國泰中國A50+U","9.13","+0.04","+0.44","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"229","00637L","元大滬深300正2","22.36","+0.46","+2.1","05/12","0","0","0","0","0","0","0","0","0","-0.01","0","0"
"230","00638R","元大滬深300反1","6.43","-0.1","-1.53","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"231","00639","富邦深100","17.95","+0.07","+0.39","05/12","0","0","0","0","0","0","0","0","-0.12","-0.03","-0.01","0"
"232","00640L","富邦日本正2","98.5","+1.95","+2.02","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"233","00641R","富邦日本反1","3.92","-0.04","-1.01","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"234","00642U","期元大S&P石油","30.02","-0.22","-0.73","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"235","00643","群益深証中小","20.53","-0.1","-0.48","05/12","0","0","0","0","0","0","0","0","0","0","-0.03","0"
"236","00643K","群益深証中小+R","4.43","0","0","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"237","00645","富邦日本","54.55","+0.55","+1.02","05/12","0","0","0","0","0","0","0","0","0","+0.03","+0.02","0"
"238","00647L","元大S&P500正2","131.2","+0.7","+0.54","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"239","00648R","元大S&P500反1","4.05","0","0","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"240","00650L","復華香港正2","18.2","+0.24","+1.34","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"241","00651R","復華香港反1","5.05","-0.05","-0.98","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"242","00652","富邦印度","32.17","-0.53","-1.62","05/12","0","0","0","0","0","0","0","0","0","-0.08","0","0"
"243","00653L","富邦印度正2","44.9","-1.12","-2.43","05/12","0","0","0","0","0","0","0","0","0","-0.01","0","0"
"244","00654R","富邦印度反1","6.9","+0.06","+0.88","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"245","00655L","國泰中國A50正2","37.8","+0.8","+2.16","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"246","00656R","國泰中國A50反1","5.7","-0.05","-0.87","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
