"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","00717","富邦美國特別股","15.14","+0.06","+0.4","05/08","+91.3","+89.6","+83.9","+85.5","+87.3","+82.6","+69.1","+63.6","+53.3","+41.2","","+64.2"
"2","8482","商億-KY","50","0","0","05/08","+100","+99.3","+73.1","+72.2","+35.7","+57","+14.3","+4.83","-14","-0.56","","+7.29"
"3","00943","兆豐電子高息等權","18.86","+0.08","+0.43","05/08","+46.3","+79.7","+73.7","+70.9","+72.1","+65.3","+47","+27.8","+15.4","","","+33.5"
"4","00746B","富邦A級公司債","35.28","-0.17","-0.48","05/08","+70.3","+69.2","+76.6","+70.3","+69.3","+63.2","+51.1","+57.2","+56.7","+44.2","","+54.8"
"5","2849","安泰銀","14.1","+0.15","+1.08","05/08","+70.3","+64.7","+72.8","+68.3","+45.3","+59.6","+13.8","+7.71","+2.19","+0.6","-2.8","+10.1"
"6","2910","統領","22.85","0","0","05/08","+80.2","+64.2","+67.7","+63","+36.6","+41","+11.8","+7.53","+2.14","+1.69","+0.99","+10.5"
"7","00942B","台新美A公司債20+","14.26","-0.05","-0.35","05/08","+56.6","+70","+66.4","+60.4","+58.9","+55.6","+79.1","+65","+53.5","","","+68.5"
"8","9937","全國","57.1","+0.3","+0.53","05/08","+82.8","+75.1","+79","+56.6","+35.8","+44.7","+0.52","+0.23","+0.11","-3.12","-8.07","+0.93"
"9","2923","鼎固-KY","28.25","+1.25","+4.63","05/08","+75.3","+58.7","+59.1","+53.6","+42.4","+57","+17.2","+10.3","+4.41","+3.36","+3.78","+14"
"10","7734","印能科技","3630","-40","-1.09","05/08","+51.3","+27.8","+45.8","+53.3","+6.7","+4.75","+1.58","+1.56","+0.69","","","+1.68"
"11","00740B","富邦全球投等債","38.48","-0.16","-0.41","05/08","+37","+53.1","+50.4","+53.1","+48.3","+42.2","+29.2","+38.9","+29.6","+14.6","","+33.7"
