"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"96","00753L","中信中國50正2","9.11","-0.13","-1.41","26W20","05/15","48.3","-0.35","43.1","-0.86","40.4","-0.86"
"97","2603","長榮","226","+3","+1.35","26W20","05/15","67.6","+0.36","66.1","+0.41","64.4","+0.4"
"98","00648R","元大S&P500反1","4.1","+0.02","+0.49","26W20","05/15","43.5","-0.14","40.2","+0.35","36.4","-0.88"
"99","00928","中信上櫃ESG30","35.42","-0.03","-0.08","26W20","05/15","39.8","+3.01","31.1","-5.74","31.1","-3.07"
"100","00930","永豐ESG低碳高息","23.72","+0.09","+0.38","26W20","05/15","14.4","+1.22","13.6","+0.72","12.5","+1.35"
"101","7723","築間","22.6","-0.2","-0.88","26W20","05/15","55.3","+0.01","48.4","+0.01","46.5","+0.01"
"102","00864B","中信美國公債0-1","45.99","+0.08","+0.17","26W20","05/15","32.5","-27.8","30.9","-28.4","28","-28.8"
"103","6151","晉倫","41.85","+2.45","+6.22","26W20","05/15","32.2","+0.89","27.1","-0.5","21","-2.12"
"104","3406","玉晶光","693","+16","+2.36","26W20","05/15","49.9","+0.13","45.6","-0.45","39.3","-0.39"
"105","00981D","主動中信非投等債","10.36","+0.03","+0.29","26W20","05/15","42.7","-1.46","38.5","-1.52","35.4","-1.77"
"106","00403A","主動統一升級50","9.99","-0.05","-0.5","26W20","05/15","10.8","","9.33","","7.38",""
"107","3550","聯穎","28.6","+0.15","+0.53","26W20","05/15","40.1","-0.52","38.1","+0.81","36.5","0"
"108","5309","系統電","66.6","-1","-1.48","26W20","05/15","38.1","+0.81","36.5","+1.37","34.5","+0.87"
"109","4111","濟生","29.8","-0.15","-0.5","26W20","05/15","37.9","+0.15","34.6","+0.15","28","+1.83"
"110","00632R","元大台灣50反1","10.83","+0.01","+0.09","26W20","05/15","36.6","-0.58","31.7","-1.05","28.5","-1.11"
"111","1503","士電","215","-2","-0.92","26W20","05/15","73.6","+0.05","72.6","-0.21","71.9","-0.05"
"112","00932","兆豐永續高息等權","17.43","0","0","26W20","05/15","12","-3.09","11.6","-3.52","11","-3.57"
"113","3491","昇達科","1680","+45","+2.75","26W20","05/15","24.9","+0.8","14.4","-0.11","11.7","-0.3"
"114","2440","太空梭","17.25","+0.2","+1.17","26W20","05/15","68.8","+0.51","67.4","+0.05","67.4","+0.05"
"115","1513","中興電","164","-0.5","-0.3","26W20","05/15","40.9","-0.77","39","-0.85","37.7","-0.49"
"116","9958","世紀鋼","111.5","+0.5","+0.45","26W20","05/15","51.9","-0.28","47.9","-0.05","46.8","+0.29"
"117","4526","東台","39.25","+1.25","+3.29","26W20","05/15","44.4","-0.85","41.1","-0.78","38.7","-1.44"
"118","2342","茂矽","39.7","+0.85","+2.19","26W20","05/15","37.8","-4.17","36.5","-3.73","34.2","-3.78"
"119","00964","中信亞太高股息","14.19","+0.12","+0.85","26W20","05/15","21.4","+0.85","14.2","-1.45","11.3","-1.47"
"120","00892","富邦台灣半導體","42.03","+0.54","+1.3","26W20","05/15","14.9","+0.63","13","+0.36","11.3","+0.02"
"121","6104","創惟","98.6","-1.4","-1.4","26W20","05/15","14.4","+1.28","9.84","+0.46","8.89","+0.46"
"122","2457","飛宏","28.8","-0.7","-2.37","26W20","05/15","27.2","-0.18","26","-0.14","24.1","-0.31"
"123","1718","中纖","9.05","+0.15","+1.69","26W20","05/15","53","+0.18","51.4","+0.21","50","+0.36"
"124","006203","元大MSCI台灣","181.05","-2.45","-1.34","26W20","05/15","71","+0.54","71","+0.54","61.2","+0.54"
"125","3289","宜特","152","-5.5","-3.49","26W20","05/15","20.3","+1.12","17.1","+1.01","10.5","-1.23"
"126","3376","新日興","203.5","-8","-3.78","26W20","05/15","43","-4.04","39.8","-4.37","38.9","-2.5"
"127","3481","群創","46.95","+3.65","+8.43","26W20","05/15","47.8","+2.82","46.3","+2.88","45.2","+2.87"
"128","00981T","平衡凱基雙核收息","11.99","-0.03","-0.25","26W20","05/15","29.1","-1.73","22.9","-2.14","21.2","-1.09"
"129","2103","台橡","22.15","+1.1","+5.23","26W20","05/15","51.3","+0.96","50.5","+1.46","48.6","+0.72"
"130","1786","科妍","56.7","-0.2","-0.35","26W20","05/15","46.1","+0.03","44.4","+0.03","43.1","+0.03"
"131","00877","復華中國5G","42.1","-0.22","-0.52","26W20","05/15","13.9","-0.71","10.3","-1.27","6.98","-1.88"
"132","8011","台通","17.95","+0.1","+0.56","26W20","05/15","29.1","-0.19","27","-1.08","25.4","+0.02"
"133","00830","國泰費城半導體","87.1","0","0","26W20","05/15","23.1","-0.7","22.3","-0.79","20.8","-1.05"
"134","009800","中信NASDAQ","12.67","-0.04","-0.31","26W20","05/15","19.5","-0.25","19","+0.28","17.5","+0.26"
"135","3653","健策","3620","-180","-4.74","26W20","05/15","63.6","+0.4","61.3","+0.57","57.5","+0.05"
"136","2337","旺宏","140","+5","+3.7","26W20","05/15","50.5","-0.31","49","-0.36","48","-0.49"
"137","8936","國統","55.2","+0.3","+0.55","26W20","05/15","29.4","-0.46","27.5","-0.68","24.6","-0.04"
"138","6670","復盛應用","282","+0.5","+0.18","26W20","05/15","71.3","+0.94","65.1","-0.55","61.8","+0.04"
"139","6125","廣運","59.9","+0.4","+0.67","26W20","05/15","33.9","+0.53","31.8","+0.02","30.8","-0.37"
"140","6944","兆聯實業","937","+29","+3.19","26W20","05/15","41.1","-1.95","34.7","-1.11","32.4","+0.1"
"141","6609","瀧澤科","41.7","-1.3","-3.02","26W20","05/15","55.5","+0.09","54.5","+0.05","53.4","+0.03"
"142","1611","中電","13.3","-0.25","-1.85","26W20","05/15","50.1","+0.01","48.6","+0.23","45.7","-0.05"
"143","2618","長榮航","37.7","+0.45","+1.21","26W20","05/15","71.4","+0.16","70.1","+0.22","69.2","+0.21"
"144","2031","新光鋼","41.85","+0.2","+0.48","26W20","05/15","51.8","-0.39","49.9","-0.62","49.3","-0.39"
"145","9941","裕融","87.7","+1.3","+1.5","26W20","05/15","66.5","-0.44","65.2","-0.55","64.3","-0.87"
"146","2357","華碩","784","-12","-1.51","26W20","05/15","69.2","+0.79","66.6","+1.07","62.4","+0.45"
"147","8096","擎亞","121","+3","+2.54","26W20","05/15","44.5","-0.6","43.1","-0.55","41.9","+1.4"
"148","00958B","永豐ESG銀行債15+","9.29","+0.03","+0.32","26W20","05/15","23.6","+0.97","23.2","+1.09","21.4","+1.1"
"149","9951","皇田","52.6","-0.3","-0.57","26W20","05/15","42.9","+0.88","37.3","0","37.3","0"
"150","4919","新唐","172.5","+13.5","+8.49","26W20","05/15","63.7","-3.71","61.8","-3.37","60.5","-3.59"
"151","6657","華安","32.95","-2.05","-5.86","26W20","05/15","28.9","+0.73","24.3","0","21","0"
"152","009812","野村日本東證","11.84","-0.03","-0.25","26W20","05/15","30.4","-0.9","27.8","-0.45","25.2","-2.26"
"153","6214","精誠","142","-1.5","-1.05","26W20","05/15","52.9","+0.21","48.9","-0.03","46.3","-0.02"
"154","4534","慶騰","30","-1.5","-4.76","26W20","05/15","28","0","27.3","0","26.4","0"
"155","00684R","期元大美元指反1","15.1","0","0","26W20","05/15","77.9","+0.73","70.1","+0.73","50.5","+0.74"
"156","3022","威強電","86.2","+1.2","+1.41","26W20","05/15","55.7","-0.1","54.5","-0.86","52","-0.89"
"157","00783","富邦中証500","28.6","+0.29","+1.02","26W20","05/15","26.4","-0.01","13.5","-0.32","13.5","-0.32"
"158","8454","富邦媒","396","-43.5","-9.9","26W20","05/15","77","-0.21","76.2","+0.49","75.5","+0.48"
