"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"1","00715L","期街口布蘭特正2","53.6","+2.4","+4.69","26W19","05/08","47.7","-6.18","44.1","-5.54","42.9","-5.82"
"2","8093","保銳","18.7","+0.4","+2.19","26W19","05/08","47","0","47","0","44.3","0"
"3","4513","福裕","15.5","-0.9","-5.49","26W19","05/08","42.4","0","42.4","0","41.6","0"
"4","4967","十銓","277.5","+8.5","+3.16","26W19","05/08","23.9","-0.87","21.1","+0.27","18","+0.08"
"5","00962","台新AI優息動能","14.43","-0.03","-0.21","26W19","05/08","26.4","+1.13","24.8","-0.43","18.9","-2.39"
"6","4939","亞電","60.2","+0.1","+0.17","26W19","05/08","20.5","-0.45","19","-0.42","16.4","-0.37"
"7","1514","亞力","118","-1","-0.84","26W19","05/08","42.2","-0.55","39","+0.32","37.1","-0.59"
"8","3234","光環","109","-4","-3.54","26W19","05/08","24.7","-1.75","20.4","-0.59","19.6","-0.59"
"9","00916","國泰全球品牌50","27.28","-0.27","-0.98","26W19","05/08","17.3","+2.8","17.3","+2.8","11.6","+1.29"
"10","00920","富邦ESG綠色電力","25.05","-0.38","-1.49","26W19","05/08","13.5","-2.21","13.5","-2.21","8.81","-1.86"
"11","6805","富世達","1750","-5","-0.28","26W19","05/08","54","-3.17","49.1","-1.99","49.1","-0.54"
"12","00907","永豐優息存股","16.15","-0.01","-0.06","26W19","05/08","9.11","+2.03","9.11","+2.03","7.64","+1.55"
"13","00988A","主動統一全球創新","19.85","+0.03","+0.15","26W19","05/08","18","-1.44","16.2","-1.57","15","-1.55"
"14","00989B","台新美國非投等債","10.06","+0.03","+0.3","26W19","05/08","34.6","+3.11","33.5","+3.11","29","+4.59"
"15","6282","康舒","57.2","-1.3","-2.22","26W19","05/08","42.1","+0.61","41.2","+0.6","40","+0.59"
"16","3324","雙鴻","998","-12","-1.19","26W19","05/08","43","-2.6","39.2","-0.32","33.2","-2.36"
"17","6225","天瀚","23.1","-0.45","-1.91","26W19","05/08","56.5","0","54.1","0","50.7","0"
"18","6126","信音","41.55","+2.95","+7.64","26W19","05/08","32.1","+0.58","29.5","+0.06","28.2","-0.01"
"19","00983B","大華優利美公債20","15.59","+0.03","+0.19","26W19","05/08","43.6","+0.8","43.6","+3.26","43.6","+3.26"
"20","009810","玉山全球藍籌100","20.11","-0.14","-0.69","26W19","05/08","17.7","-0.62","14.5","-3.79","14.5","+0.83"
"21","2406","國碩","39.4","+3.55","+9.9","26W19","05/08","34.6","+3.32","32.9","+3.52","31.2","+3.53"
"22","6806","森崴能源","4.48","-0.49","-9.86","26W19","05/08","55.6","+0.05","55.2","+0.1","55.2","+0.41"
"23","4739","康普","123.5","-1.5","-1.2","26W19","05/08","35.1","+1.3","31","+0.46","29.5","-0.27"
"24","8112","至上","95.5","+2.9","+3.13","26W19","05/08","44.7","-0.08","43.7","+0.05","42","-0.33"
"25","00991A","主動復華未來50","18.59","-0.04","-0.21","26W19","05/08","18.8","-0.32","17.8","-0.33","15.9","-0.24"
"26","00647L","元大S&P500正2","127.8","-1.6","-1.24","26W19","05/08","19.3","+0.06","19.3","+0.06","19.3","+0.06"
"27","00642U","期元大S&P石油","29.08","+0.77","+2.72","26W19","05/08","41.9","-5.28","41.4","-5.4","39.8","-6.41"
"28","6485","點序","85","-3.4","-3.85","26W19","05/08","19.6","-0.09","18.2","-0.09","18.2","-0.09"
"29","5475","德宏","238","-7","-2.86","26W19","05/08","36.8","-2.5","35.2","-1.92","32.3","-1.82"
"30","3131","弘塑","3035","-70","-2.25","26W19","05/08","40.2","+1","37.9","+2.94","28.7","-0.02"
"31","009809","富邦淨零ESG50","16.51","+0.01","+0.06","26W19","05/08","25.2","+2.84","23.1","+0.79","20.6","+0.79"
"32","4442","竣邦-KY","53.7","-0.3","-0.56","26W19","05/08","70.6","0","56","0","39.3","0"
"33","3290","東浦","63.6","+5.7","+9.84","26W19","05/08","52.1","+0.34","47.6","+0.32","45.5","+0.32"
"34","00852L","國泰美國道瓊正2","31.99","-0.83","-2.53","26W19","05/08","57.1","+16.5","49.9","+9.31","49.9","+9.31"
"35","3231","緯創","152.5","-5.5","-3.48","26W19","05/08","60.3","+1.32","58.9","+1.31","57.9","+1.26"
"36","3260","威剛","394.5","+4.5","+1.15","26W19","05/08","35.2","-2.8","34.2","-1.76","31.7","-2.1"
"37","8043","蜜望實","191.5","-7.5","-3.77","26W19","05/08","57.9","-0.62","57.9","-0.62","57.9","-0.62"
"38","3312","弘憶股","57.8","-1.6","-2.69","26W19","05/08","44.8","-0.15","44","-0.09","44","-0.09"
"39","3615","安可","50.5","-3.3","-6.13","26W19","05/08","31.6","-2.46","29.6","-1.62","28.2","-1.62"
"40","00984B","大華優利美A債15","16.34","+0.02","+0.12","26W19","05/08","35.4","+3.17","31.3","+2.14","28.5","+2.13"
"41","1528","恩德","25.2","-0.1","-0.4","26W19","05/08","33.3","-0.59","32.6","+0.9","30.8","-0.39"
"42","4720","德淵","23.35","-0.35","-1.48","26W19","05/08","39.6","-0.02","38.4","-1.22","36.8","-0.45"
"43","2399","映泰","46.15","+2","+4.53","26W19","05/08","23.8","-2.84","22.2","-3.26","19.6","-2.34"
"44","6418","詠昇","31.85","+0.8","+2.58","26W19","05/08","48.7","0","46.8","0","46.8","0"
"45","3118","進階","30.95","-0.15","-0.48","26W19","05/08","29.2","+0.01","17.8","0","12","0"
"46","00972","野村日本動能高息","19.25","-0.1","-0.52","26W19","05/08","25.8","-3.75","22.6","-0.57","22.6","-0.57"
"47","3706","神達","86.5","+0.4","+0.46","26W19","05/08","51.3","+0.62","50.5","+0.61","49.9","+0.62"
"48","8088","品安","57.7","+0.2","+0.35","26W19","05/08","14.9","-0.93","14.9","-0.93","14.9","-0.93"
"49","6934","心誠鎂","70.7","+1.3","+1.87","26W19","05/08","62.7","+0.02","60.5","+0.02","55.5","0"
"50","3043","科風","22.4","-0.45","-1.97","26W19","05/08","13.8","0","13.8","0","11.4","0"
"51","00980B","台新特選IG債10+","9.51","+0.02","+0.21","26W19","05/08","39.2","-0.49","38.1","-0.49","38.1","-0.49"
"52","7610","聯友金屬-創","1555","-170","-9.86","26W19","05/08","36.6","-0.58","33.9","+0.75","30.3","+2.6"
"53","00656R","國泰中國A50反1","5.94","+0.02","+0.34","26W19","05/08","58.7","-0.25","51.7","+3.1","42.7","-1.09"
"54","6870","騰雲","300","-13.5","-4.31","26W19","05/08","60.5","+2.77","52","0","52","0"
"55","00681R","元大美債20反1","21.25","+0.02","+0.09","26W19","05/08","91.7","+0.14","91.7","+0.14","79.5","-12.1"
"56","6265","方土昶","57.7","+1.4","+2.49","26W19","05/08","42.8","-2.87","41.1","-4.57","38","-2.23"
"57","2468","華經","40.05","-1.2","-2.91","26W19","05/08","50","0","50","0","50","0"
"58","2349","錸德","12.95","-0.1","-0.77","26W19","05/08","23.2","+0.12","20.9","+0.02","18.8","+0.04"
"59","6409","旭隼","846","-9","-1.05","26W19","05/08","52.4","-0.87","43.1","+0.58","35.7","-0.41"
"60","6148","驊宏資","35.05","+0.55","+1.59","26W19","05/08","36.8","+0.14","33.7","0","33.7","0"
"61","2474","可成","205.5","+1","+0.49","26W19","05/08","76","+0.11","73.5","-0.67","72.2","+0.06"
"62","3285","微端","37.65","+3.4","+9.93","26W19","05/08","57.2","+0.01","55.7","+0.01","48.7","0"
"63","2912","統一超","229","+1.5","+0.66","26W19","05/08","82.6","+0.01","80.3","+0.02","79.5","+0.01"
"64","3011","今皓","14.05","+0.1","+0.72","26W19","05/08","29.3","-0.99","27.8","-0.43","25.6","-0.41"
"65","3338","泰碩","73.4","-0.3","-0.41","26W19","05/08","26.1","+0.2","24.4","+0.07","21.4","0"
"66","00960","野村全球航運龍頭","17.75","+0.26","+1.49","26W19","05/08","12.2","+2.16","12.2","+2.16","12.2","+2.16"
"67","3147","大綜","318","-2","-0.62","26W19","05/08","51.3","+0.06","49.8","+0.06","47.7","0"
"68","1608","華榮","33.55","-0.1","-0.3","26W19","05/08","63.4","+0.6","62.4","+0.74","61.1","+0.61"
"69","6207","雷科","125","-9.5","-7.06","26W19","05/08","15.2","-0.4","14.3","+0.36","13.2","+1.42"
"70","00851","台新全球AI","68.65","-0.35","-0.51","26W19","05/08","25.6","0","25.6","0","25.6","0"
"71","8354","冠好","16.5","0","0","26W19","05/08","56.9","-0.02","52.5","0","46","-0.03"
"72","8437","大地-KY","10.5","0","0","26W19","05/08","32.4","+0.26","29.4","+0.2","25.4","+0.16"
"73","8921","沈氏","18.3","+0.1","+0.55","26W19","05/08","76.5","0","67.9","0","62.1","0"
"74","00957B","兆豐US優選投等債","13.5","+0.02","+0.15","26W19","05/08","46.8","-0.5","45.2","-0.56","42.8","-0.28"
"75","3008","大立光","4165","+35","+0.85","26W19","05/08","49.8","-1.48","45.8","-1.4","43.8","-2.15"
"76","3689","湧德","113.5","-1.5","-1.3","26W19","05/08","18.1","-7.9","16.7","-6.23","12.6","-3.39"
"77","2421","建準","142","-3","-2.07","26W19","05/08","49.4","-1.24","44.4","-1.98","42.8","-1.33"
"78","6026","福邦證","16.55","-0.15","-0.9","26W19","05/08","46.9","+1.48","45","+2.03","42.5","+1.8"
