"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"188","2354","鴻準","59.4","+0.4","+0.68","22,400","05/15","+513","-1,382","-622","-367","+2,186","+2,059","-47","-7,353","+3,625","-3,367"
"189","9944","新麗","17","-0.1","-0.58","229","05/15","+3","+4","-339","-365","-354","-370","-376","-39","-904","-314"
"190","3059","華晶科","42.2","+2.3","+5.76","27,390","05/15","-9","-257","-206","-364","-183","+225","-821","-249","-906","-535"
"191","009801","中信美國創新科技","12.23","+0.01","+0.08","980","05/15","-3","-3","-5","-355","-41","-43","-133","-695","-1,210","-814"
"192","6944","兆聯實業","897","-16","-1.75","736","05/15","-47","-47","-110","-350","-177","-233","+384","","","+320"
"193","1402","遠東新","26.45","-0.3","-1.12","25,008","05/15","+215","+66","+26","-346","-1,189","-1,644","+7,915","+6,462","+7,677","+7,209"
"194","00955","中信日本商社","16.49","-0.12","-0.72","9,968","05/15","-150","-218","-179","-345","-1,030","-905","-3,562","+935","-1,988","+337"
"195","1449","佳和","12.4","-0.5","-3.88","1,711","05/15","-17","-26","+24","-345","-345","-513","-38","-1,124","-73","-802"
"196","6278","台表科","220.5","-5.5","-2.43","43,440","05/15","-35","-843","-1,290","-344","-1,403","+1,479","+16,251","+15,944","+16,703","+15,211"
"197","5607","遠雄港","47.7","-1.05","-2.15","670","05/15","-110","-117","-157","-343","-256","-209","+74","-359","-222","+3"
"198","3416","融程電","163","-5.5","-3.26","541","05/15","-68","-64","-136","-342","-4","+25","-262","-302","+549","-302"
"199","3207","耀勝","62.9","+5.6","+9.77","774","05/15","-232","-241","-300","-341","-725","-1,299","-1,049","-33","-2,269","-23"
"200","9907","統一實","16.1","-0.3","-1.83","7,651","05/15","+34","-165","-56","-340","-1,117","-1,185","-898","-3,301","-3,958","-2,242"
"201","3702","大聯大","110","-1","-0.9","8,843","05/15","-163","-18","+742","-334","+1,852","+684","+2,212","+1,655","+3,094","-793"
"202","6727","亞泰金屬","557","+39","+7.53","5,075","05/15","-73","-12","-116","-334","+1,619","+2,588","+4,247","","",""
"203","00923","群益台ESG低碳50","37.68","-0.56","-1.46","4,027","05/15","-17","-21","-107","-325","-156","-293","-995","+460","+34","+443"
"204","00922","國泰台灣領袖50","35.8","-0.45","-1.24","10,739","05/15","-22","-21","-110","-323","+24","-775","+363","-823","-521","+85"
"205","1305","華夏","12.5","-0.15","-1.19","3,002","05/15","-42","-381","-411","-315","-1,561","-901","+3,409","+3,415","+4,955","+3,522"
"206","6166","凌華","112","+0.5","+0.45","6,078","05/15","+216","-905","-750","-310","+481","+558","+2,182","+1,335","+1,546","+1,423"
"207","5284","jpp-KY","376.5","-9.5","-2.46","1,909","05/15","-142","-175","-78","-308","+77","-114","+724","+303","+1,111","+241"
