"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"119","3030","德律","市","05/12","","408","+11","+2.77","1,406","565","397","399.5","410","391","4.79","35.3","9.21","","","","",""
"120","4958","臻鼎-KY","市","05/12","","407","-5","-1.21","40,078","16,737","412","417","434","406","6.8","58.9","3.51","","","","",""
"121","6472","保瑞","市","05/12","","404","-4.5","-1.1","2,834","1,128","408.5","403.5","413","388.5","6","16.9","3.34","","","","",""
"122","3211","順達","櫃","05/12","","402","-1","-0.25","16,611","6,823","403","415","430","399","7.69","40.1","7.13","","","","",""
"123","7795","長廣","市","05/12","","400","+36","+9.89","1,030","402","364","367.5","400","361","10.7","177","11.21","","","","",""
"124","3526","凡甲","櫃","05/12","","391.5","+3.5","+0.9","1,117","434","388","387","395","380","3.87","22.4","7.18","","","","",""
"125","3587","閎康","櫃","05/12","","385.5","+35","+9.99","6,270","2,407","350.5","378","385.5","372","3.85","63.2","5.3","","","","",""
"126","5284","jpp-KY","市","05/12","","382","+15","+4.09","2,793","1,044","367","367","389","357","8.72","31.7","5.46","","","","",""
"127","6121","新普","櫃","05/12","","382","-12","-3.05","1,692","649","394","391.5","391.5","378","3.43","12.5","1.84","","","","",""
"128","4728","雙美","櫃","05/12","","381","0","0","8","3.15","381","380.5","381","380","0.26","28.6","12.83","","","","",""
"129","5439","高技","櫃","05/12","","381","-10","-2.56","5,265","2,055","391","389.5","404","381","5.88","27.7","8.98","","","","",""
"130","2455","全新","市","05/12","","375","+15","+4.17","3,359","1,237","360","375","375","361.5","3.75","118","18.91","","","","",""
"131","4766","南寶","市","05/12","","373.5","-5.5","-1.45","2,011","768","379","385","396.5","371.5","6.6","18.4","3.26","","","","",""
"132","2049","上銀","市","05/12","","367.5","+16.5","+4.7","13,843","5,012","351","355","370.5","349.5","5.98","80.1","3.46","","","","",""
"133","6414","樺漢","市","05/12","","362","+3","+0.84","1,788","639","359","361.5","362","351","3.06","15.6","1.9","","","","",""
"134","2451","創見","市","05/12","","351","+7.5","+2.18","15,721","5,506","343.5","352","360","342.5","5.09","11.3","5.77","","","","",""
