排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,6641,基士德-KY,18.15,0.15,0.83,07/02,-96.0,-91.3,-89.1,-80.7,-58.0,-39.3,-12.9,-5.44,-6.27,-5.55,,-5.44
2,910322,康師傅-DR,20.6,0.4,1.98,07/02,0.0,-65.9,-80.7,-77.9,-53.2,-70.6,-37.9,-7.0,-9.94,-1.98,-0.71,-7.0
3,020025,統一亞洲半導體N,42.65,-2.39,-5.31,07/02,-47.8,-73.9,-68.3,-71.1,-77.4,-50.8,-19.0,-16.2,-13.4,26.6,,-16.2
4,00984D,主動聯博全球非投,10.09,0.0,0.0,07/02,-71.7,-74.8,-73.3,-67.6,-63.2,-53.7,-56.8,,,,,
5,009824,群益美國科技巨頭,10.04,-0.1,-0.99,07/02,-37.4,7.88,0.26,-61.5,,,,,,,,
6,00763U,期街口道瓊銅,32.71,0.01,0.03,07/02,2.35,-61.2,-63.9,-60.6,-31.2,-5.78,26.8,2.79,-3.62,-4.08,,2.79
7,2010,春源,21.2,-0.5,-2.3,07/02,-54.2,-56.7,-55.2,-59.7,-37.9,-17.1,-13.7,-3.79,-2.83,0.23,0.26,-3.79
8,00927,群益半導體收益,42.83,0.35,0.82,07/02,-69.5,-72.9,-63.7,-58.6,-47.7,-33.6,-17.1,-18.4,-6.17,-11.7,,-18.4
9,009823,群益S&P500,10.22,0.03,0.29,07/02,-21.6,-11.3,-13.8,-55.5,,,,,,,,
10,2704,國賓,43.85,0.05,0.11,07/02,10.7,-47.1,-58.0,-54.3,-19.8,0.39,-2.03,-9.11,-18.1,-2.58,-0.55,-9.11
11,00961,FT臺灣永續高息,12.68,0.04,0.32,07/02,-79.2,-68.3,-54.8,-53.5,-41.0,-46.8,-19.4,-11.8,-9.06,,,-11.8
12,00407A,主動凱基台灣,10.01,0.06,0.6,07/02,2.81,15.2,13.8,-53.2,,,,,,,,
13,00997A,主動群益美國增長,13.99,-0.57,-3.91,07/02,-81.4,-49.6,-41.4,-52.8,-49.2,-23.3,,,,,,
14,00888,永豐台灣ESG,37.76,-0.27,-0.71,07/02,-75.6,-64.4,-56.3,-52.2,-39.1,-26.3,-14.0,-13.9,-8.11,8.59,,-13.9
15,6605,帝寶,133.0,-1.0,-0.75,07/02,-31.0,-37.0,-52.9,-48.8,-35.4,-17.4,-15.6,-9.32,-7.4,-2.46,-0.08,-9.32
16,00988B,玉山嚴選非投債,19.84,-0.02,-0.1,07/02,-94.2,-89.3,-80.1,-48.6,-30.8,-35.1,-32.5,,,,,
17,00899,FT潔淨能源,26.38,-0.42,-1.57,07/02,-37.7,-13.2,-64.0,-48.2,-28.2,-24.8,15.4,11.9,16.5,4.95,,11.9
18,020033,統一恒生科期N,3.58,0.06,1.7,07/02,76.5,77.8,-44.4,-47.4,-15.2,-3.25,-24.8,-17.7,-18.9,-6.89,,-17.7
19,1101,台泥,23.1,0.1,0.43,07/02,-31.0,-46.6,-52.3,-47.1,-33.2,-24.9,-21.0,-12.6,-8.9,-6.83,-5.76,-12.6
20,020034,元大IC設計N,14.49,-0.2,-1.36,07/02,64.7,33.3,44.2,-45.8,-6.29,-1.61,-3.12,18.5,15.5,6.4,,18.5
21,2034,允強,20.05,0.05,0.25,07/02,-25.6,-45.0,-54.2,-45.2,-23.3,10.6,4.14,-1.31,-5.89,-2.67,-0.95,-1.31
