排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
642,2395,研華,581.0,-19.0,-3.17,2026,0.0,0.0,32.6,-5.92,5.02,1.14,48.3,1.21,14.1,3.57,0,0.0
643,2397,友通,59.2,-0.8,-1.33,2026,0.0,0.0,11.4,-6.87,1.01,0.22,55.8,-0.76,31.8,7.4,0,0.0
644,2399,映泰,37.75,-1.05,-2.71,2026,0.0,0.0,6.33,-2.98,0.0,0.0,5.77,0.34,87.9,2.64,0,0.0
645,2401,凌陽,28.15,-0.05,-0.18,2026,0.0,0.0,10.1,-3.79,0.04,-0.54,1.6,-1.44,88.2,5.77,0,0.0
646,2402,毅嘉,58.0,-1.5,-2.52,2026,0.0,0.0,17.7,9.76,3.69,2.86,14.6,1.05,64.0,-12.4,0,-1.29
647,2405,輔信,16.4,-0.25,-1.5,2026,0.0,0.0,3.87,-1.05,0.0,0.0,5.18,0.82,91.0,0.23,0,0.0
648,2406,國碩,33.35,0.0,0.0,2026,0.0,0.0,11.6,5.53,0.19,-0.13,2.78,-1.28,85.4,-4.12,0,0.0
649,2408,南亞科,401.0,-25.0,-5.87,2026,1.13,0.81,12.4,4.24,5.04,0.56,59.6,-5.54,21.8,-0.06,0,0.0
650,2409,友達,25.5,-0.75,-2.86,2026,0.9,-1.04,11.3,-10.3,8.91,-4.05,13.3,0.26,65.6,16.7,0,-1.52
651,2412,中華電,139.0,1.0,0.72,2026,40.7,-0.04,17.7,2.17,14.3,-2.24,7.24,0.09,20.0,0.02,0,0.0
652,2413,環科,40.25,-1.6,-3.82,2026,0.0,0.0,4.25,0.94,0.0,0.0,12.8,-0.39,82.9,-0.54,0,0.0
653,2414,精技,55.7,1.2,2.2,2026,0.0,0.0,4.96,-0.05,0.02,-0.31,39.5,0.45,55.5,-0.09,0,0.0
654,2415,錩新,32.65,-1.8,-5.22,2026,0.0,0.0,20.8,-0.06,0.0,0.0,26.2,0.31,53.0,-0.26,0,0.0
655,2417,圓剛,41.0,0.15,0.37,2026,0.0,0.0,2.32,0.1,0.0,0.0,34.0,1.33,63.7,-1.42,0,0.0
656,2419,仲琦,24.65,-0.85,-3.33,2026,0.0,0.0,1.22,-0.24,0.0,0.0,62.8,0.34,36.0,-0.11,0,0.0
657,2420,新巨,56.7,-0.5,-0.87,2026,0.41,-0.37,6.37,-1.11,1.67,-0.14,6.07,-0.46,85.5,2.08,0,0.0
658,2423,固緯,73.9,-2.3,-3.02,2026,0.3,0.07,5.45,-0.63,0.27,-0.15,53.9,3.83,40.1,-3.12,0,0.0
659,2424,隴華,8.43,-0.12,-1.4,2026,0.0,0.0,2.99,-0.58,0.0,0.0,39.4,-4.65,57.6,5.23,0,0.0
660,2425,承啟,46.85,1.05,2.29,2026,0.0,0.0,9.3,1.54,0.0,0.0,26.8,0.09,63.9,-1.63,0,0.0
661,2426,鼎元,62.0,0.9,1.47,2026,0.0,-0.03,10.2,1.73,0.02,0.02,21.4,3.55,68.4,-5.27,0,0.0
662,2427,三商電,23.2,0.0,0.0,2026,0.0,0.0,3.25,0.32,0.13,-0.1,47.3,-1.15,49.3,0.93,0,0.0
663,2428,興勤,241.0,-9.5,-3.79,2026,0.0,0.0,14.9,-0.31,0.0,0.0,46.6,4.77,38.5,-4.45,0,0.0
664,2429,銘旺科,39.0,-0.5,-1.27,2026,0.0,0.0,3.09,-5.52,0.07,-1.38,22.8,-4.05,74.1,10.9,0,0.0
665,2430,燦坤,17.55,-0.15,-0.85,2026,0.0,0.0,2.49,-0.87,0.0,0.0,50.0,-0.33,47.5,1.2,0,0.0
666,2431,聯昌,10.7,0.05,0.47,2026,0.0,0.0,2.37,-5.95,0.0,0.0,34.9,-2.0,62.8,7.95,0,0.0
667,2432,倚天酷碁-創,28.35,-0.15,-0.53,2026,0.0,0.0,0.5,0.04,0.26,0.16,74.1,2.35,25.2,-2.55,0,0.0
668,2433,互盛電,42.05,0.05,0.12,2026,0.0,0.0,0.92,0.02,0.0,0.0,79.6,0.19,19.5,-0.21,0,0.0
669,2434,統懋,68.8,-1.1,-1.57,2026,0.0,0.0,1.09,0.14,0.0,0.0,45.4,2.16,53.5,-2.3,0,0.0
670,2438,翔耀,17.95,0.1,0.56,2026,0.0,0.0,0.44,-0.3,0.0,0.0,14.6,-1.62,84.9,1.92,0,0.0
671,2440,太空梭,15.7,-0.25,-1.57,2026,0.0,0.0,1.01,0.52,0.44,0.04,10.3,1.96,88.3,-2.52,0,0.0
672,2441,超豐,118.0,-9.0,-7.09,2026,1.16,0.03,11.4,-0.77,7.09,1.44,50.0,-1.01,30.4,0.32,0,0.0
673,2442,新美齊,19.35,0.0,0.0,2026,0.0,0.0,2.49,0.51,1.57,1.57,43.2,-0.51,52.8,-1.57,0,0.0
674,2444,兆勁,11.25,0.05,0.45,2026,0.0,0.0,0.5,-1.97,0.01,-0.22,9.94,0.1,89.6,2.09,0,0.0
675,2449,京元電子,271.0,-15.0,-5.24,2026,9.36,0.99,29.5,5.47,25.2,2.53,7.13,-0.75,28.9,-8.24,0,0.0
676,2450,神腦,28.9,0.25,0.87,2026,0.0,0.0,1.13,-1.73,0.11,0.04,70.9,-0.26,27.9,1.95,0,0.0
677,2451,創見,264.0,19.5,7.98,2026,1.06,0.18,10.5,1.77,7.88,-5.68,60.0,-0.02,20.5,3.74,0,0.0
678,2453,凌群,51.7,-0.4,-0.77,2026,0.0,0.0,3.87,-7.05,0.0,-0.4,4.28,1.15,91.8,6.3,0,0.0
679,2454,聯發科,3750.0,-125.0,-3.23,2026,0.0,0.0,55.8,-3.63,12.0,-0.15,8.13,1.54,24.1,2.24,0,0.0
680,2455,全新,333.0,-12.0,-3.48,2026,10.9,2.42,25.7,1.71,9.55,-1.76,4.14,-0.32,49.7,-2.04,0,0.0
