項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),358623,385969,4512,8892721,8860863
融券(交易單位),19657,24969,1427,213833,217718
融資金額(仟元),36246724,32874717,672632,567177536,569876911
