證券代號,證券名稱,交易別,成交價,成交股數,成交金額
00403A,主動統一升級50,配對交易,10.28,"42,500,000","436,900,000"
00878,國泰永續高股息,配對交易,31.74,"28,353,000","899,924,220"
1590,亞德客-KY,配對交易,"1,307.50","21,000","27,457,500"
2059,川湖,配對交易,"6,567.24","23,000","151,046,520"
2303,聯電,配對交易,118.50,"13,208,000","1,565,148,000"
2308,台達電,配對交易,"2,287.99","10,000","22,879,900"
2308,台達電,配對交易,"2,281.21","7,000","15,968,470"
2308,台達電,配對交易,"2,240.50","20,000","44,810,000"
2317,鴻海,配對交易,272.00,"756,691","205,819,952"
2317,鴻海,配對交易,263.00,"5,841,000","1,536,183,000"
2327,國巨*,配對交易,908.00,"190,000","172,520,000"
2327,國巨*,配對交易,819.00,"3,664,000","3,000,816,000"
2330,台積電,配對交易,"2,296.64","25,945","59,586,325"
2330,台積電,配對交易,"2,296.63","24,055","55,245,435"
2330,台積電,配對交易,"2,287.50","24,000","54,900,000"
2330,台積電,配對交易,"2,282.50","240,000","547,800,000"
2330,台積電,配對交易,"2,273.40","8,000","18,187,200"
2330,台積電,配對交易,"2,272.14","181,440","412,257,082"
2330,台積電,配對交易,"2,272.13","154,560","351,180,413"
2330,台積電,配對交易,"2,267.49","8,000","18,139,920"
2330,台積電,配對交易,"2,266.12","26,220","59,417,666"
2330,台積電,配對交易,"2,266.10","30,780","69,750,558"
2330,台積電,配對交易,"2,255.00","2,771,000","6,248,605,000"
2345,智邦,配對交易,"2,429.35","96,000","233,217,600"
2360,致茂,配對交易,"2,185.13","14,000","30,591,820"
2454,聯發科,配對交易,"4,542.02","7,000","31,794,140"
2454,聯發科,配對交易,"4,326.64","475,600","2,057,749,984"
2454,聯發科,配對交易,"4,326.63","7,200","31,151,736"
2454,聯發科,配對交易,"4,326.61","8,800","38,074,168"
2454,聯發科,配對交易,"4,326.59","344,400","1,490,077,596"
2454,聯發科,配對交易,"4,186.40","4,000","16,745,600"
2454,聯發科,配對交易,"4,155.00","660,000","2,742,300,000"
2891,中信金,配對交易,68.04,"932,000","63,413,280"
2891,中信金,配對交易,68.03,"896,000","60,954,880"
3036,文曄,配對交易,250.00,"2,000,000","500,000,000"
3044,健鼎,配對交易,501.12,"147,344","73,837,025"
3044,健鼎,配對交易,474.52,"127,656","60,575,325"
3661,世芯-KY,配對交易,"4,250.00","70,000","297,500,000"
4919,新唐,配對交易,159.00,"581,589","92,472,651"
4919,新唐,配對交易,157.50,"1,639,000","258,142,500"
6442,光聖,配對交易,"1,930.00","155,000","299,150,000"
6669,緯穎,配對交易,"5,110.00","144,416","737,965,760"
總計,,,,"106,397,696","25,090,257,226"
