項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),361806,300476,4257,8901189,8958262
融券(交易單位),28775,25282,1813,197203,191897
融資金額(仟元),34199377,24486414,400303,523492321,532804981
