統一代號,股票名稱,產業別,B0_股價日期,B0_成交,B0_漲跌幅,B0_成交張數,B0_成交額(百萬),B0_PER,B0_5日均額(百萬),B0_量價狀態,B0_金額日變化率(%),B0_爆發倍數(X),今日上榜,△,法人持股,最新動態,5日ΔChange,20日ΔChange,60日ΔChange,120日ΔChange,外資持股比,B2_外資成交動態,B2_投信成交動態,B2_外資發行動態,B2_投信發行動態,B3_連買狀態,軋空評估,套牢評估,B4_融資減幅_當日,B4_融資減張_當日,B4_借券減幅_當日,B4_借券減張_當日,B4_融券增幅_當日,B4_融券增張_當日,B4_融資增幅_當日,B4_借券增幅_當日,B5_1000張_週動態,B5_1000張_最新週,B5_1000張_6周,B5_800張_週動態,B5_800張_最新週,B5_800張_6周,B5_600張_週動態,B5_600張_最新週,B5_600張_6周,B5_400張_週動態,B5_400張_最新週,B5_400張_6周,B6_總額(億),B6_收盤價,B6_成交均價,B7_董監持股%,B7_董監質押%,B7_持股近月增減%,B7_持股動態,B7_持股近半年增減%,B7_質押近月增減%,B7_質押動態,B8_主力連買動態,B8_斥資(億),B8_乖離率(%),B8_吃豆腐動態,B8_吃貨斥資(萬),B8_上榜期程,B8_集中度動態,B8_單日Δ,B8_5日Δ
4530,宏易,觀光餐旅,09/23,25.0,3.31,1.0,0.03,1250.0,1.09,📈 價升量縮 (量價背離，下方承接看拉高),200.0,0.03,,,,,,,,,2.30,,,,,🌐 外資週連買(2)-🌱 週線發動,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,-0.31,🔄 持平,-0.0,-0.15,,,,15.7,0,,無,,,無,,,,,,,,,
4533,協易機,電機機械,09/23,25.15,1.0,1098.0,27.2,41.9,15.78,⚠️ 放量滯漲 (拋壓增大，即將見頂反轉),49.45054945054945,1.72,,,,,,,,,5.40,,,,,🌐 外資週連買(2)-🌱 週線發動,,,-8.25,-758.0,,,,,,,↘️ 微減,-0.18,0.7199999,↘️ 微減,-0.18,0.26,↘️ 微減,-0.19,-0.20000002,↗️ 微增,0.25,-0.29999995,,,,9.7,0,0.0,🔄 持平,-1.1999998,0.0,➖ 持平,,,-3.81,🩸 主力套牢中 (防守失敗),1862.0,,➡️ 橫盤震盪,-0.71,-3.03
4534,慶騰,電機機械,09/23,31.5,2.94,840.0,26.3,68.5,40.2,📈 價升量縮 (量價背離，下方承接看拉高),-58.64779874213837,0.65,,,,,,,,,3.20,⚪ 觀望 (無資料),,⚪ 觀望 (無資料),,,,,,,,,,,,,🔄 持平,0.0,-1.18,↘️ 微減,-0.03,-0.22999996,📈 小增,0.69,-0.39000005,↗️ 微增,0.19,-1.45,,,,19.9,0,0.0,🔄 持平,0.0,0.0,➖ 持平,🔥 連 1 買,0.23,-2.74,🩸 主力套牢中 (防守失敗),968.0,,↗️ 溫和吃貨,43.87,1.28
4535,至興,電機機械,09/23,27.1,0.37,107.0,2.9,19.1,0.82,⚠️ 放量滯漲 (拋壓增大，即將見頂反轉),974.074074074074,3.54,,,,,,,,,0.20,,,,,,,,,,,,,,,,↗️ 微增,0.01,0.01,↗️ 微增,0.01,0.01,↗️ 微增,0.01,-0.02,↘️ 微減,-0.01,-0.04,,,,47.6,0,0.0,🔄 持平,0.3999977,0.0,➖ 持平,,,,,,,,,
4538,大詠城,電機機械,09/23,17.5,0.0,10.0,0.18,43.8,0.26,⚖️ 溫和震盪整理,-14.28571428571429,0.69,,,,,,,,,0.20,,,,,,,,,,,,,,,,↗️ 微增,0.04,0.23,↗️ 微增,0.04,0.23,↗️ 微增,0.04,0.23,↗️ 微增,0.04,0.24,,,,26.1,0,0.10000038,📈 增,0.39999962,0.0,➖ 持平,,,,,,,,,
4541,晟田,其他業,09/23,59.3,-1.33,973.0,57.6,15.1,65.66,⏸️ 平量滯漲 (拋壓增大，高位見頂),9.92366412213741,0.88,,,,,,,,,11.50,,,⚪ 觀望 (無資料),,,,,,,,,-5.9,-17.0,,1.05,🚨 劇減,-2.77,-2.9299998,⚠️ 大減,-1.4,-2.88,🚨 劇減,-1.54,-5.07,⚠️ 大減,-1.46,-4.15,,,,12.2,0,0.0,🔄 持平,0.0,0.0,➖ 持平,,,-5.3,🩸 主力套牢中 (防守失敗),4008.0,🔥10日 ,➡️ 橫盤震盪,-10.47,-1.28
4542,科嶠,電子零組件業,09/23,331.5,-0.3,2996.0,979.0,147.0,563.8,⚠️ 放量滯漲 (拋壓增大，即將見頂反轉),-2.973240832507429,1.74,,,,,,,,,6.70,,,🔥 持續加碼 (0.30%),,,,,,,,,46.7,21.0,,1.65,🔄 持平,0.0,-0.24000001,🔄 持平,-0.0,-0.38999987,↘️ 微減,-0.04,-2.12,↘️ 微減,-0.22,-2.06,,,,17.2,8.42,0.0,🔄 持平,6.1000004,0.0,➖ 持平,🔥 連 1 買,0.95,7.23,🔥 主力已拉開獲利 (追高風險),5515.0,,⚠️ 大戶跳車 (警戒),-18.26,-6.38
4543,萬在,電機機械,09/23,28.35,-0.7,30.0,0.87,11.1,1.79,⚖️ 溫和震盪整理,-60.09174311926606,0.49,,,,,,,,,1.80,,,,,,,,,,,,,,,,🔄 持平,0.0,-0.04,🔄 持平,-0.0,-0.04,🔄 持平,-0.0,-0.04,↗️ 微增,0.01,0.5399999,,,,7.23,0,0.34000015,📈 增,0.34000015,0.0,➖ 持平,,,,,,,,,
4549,桓達,電機機械,09/23,97.0,0.0,37.0,3.59,23.8,2.69,⏸️ 平量滯漲 (拋壓增大，高位見頂),56.08695652173914,1.33,,,,,,,,,1.20,⚪ 觀望 (無資料),,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,,,,16.1,0,0.0,🔄 持平,0.0,0.0,➖ 持平,,,-3.06,🩸 主力套牢中 (防守失敗),2392.0,,,,
4550,長佳,電機機械,09/23,24.15,0.84,11.0,0.27,12.6,0.32,⏸️ 平量滯漲 (拋壓增大，高位見頂),-47.05882352941176,0.84,,,,,,,,,1.90,,,,,,,,,,,,,,,0.0,🔄 持平,0.0,0.21,↗️ 微增,0.07,2.4399998,↗️ 微增,0.07,0.33,↗️ 微增,0.07,0.42999998,,,,19.3,0,0.0,🔄 持平,0.0,0.0,➖ 持平,,,,,,,,,
4554,橙的,其他電子業,09/23,28.1,-0.71,32.0,0.91,9.93,0.4,⚠️ 放量滯漲 (拋壓增大，即將見頂反轉),111.62790697674421,2.28,,,,,,,,,24.60,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,,,,48.9,0,6.4000015,🔥 大增,6.4000015,0.0,➖ 持平,,,,,,,,,
