"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"207","3034","聯詠","534","+29","+5.74","4,731","08/19","+26","+25","+10.1","+40.6","+1,286","+2,079","+1,120","+1,694","+1,425","+824"
"208","5439","高技","234.5","-7.5","-3.1","1,383","08/19","+11.3","-3.28","+1.72","+40.5","+111","","+7.27","-73.3","-91.2","-83.3"
"209","8027","鈦昇","169","-0.5","-0.29","1,783","08/19","+20.5","+29.7","+28.6","+40.4","+98.7","-28.5","-50.3","-33.2","-60.7","-65.3"
"210","4564","元翎","16.7","-0.65","-3.75","1,246","08/19","-27.6","-43.2","+5","+40","+61.5","-81.6","","-30","-65.6","-34.4"
"211","3680","家登","461","-12.5","-2.64","1,064","08/19","-10.2","-11.7","+1.92","+39.5","+51.4","+342","+112","-23.2","+89.3","+141"
"212","1815","富喬","98","+2.7","+2.83","42,899","08/19","+20","+41.9","+56.3","+39.5","+79.6","+82.3","+251","-61.5","-95","-79.9"
"213","2801","彰銀","23.9","0","0","10,550","08/19","+2.22","+9.52","+9.52","+39.4","+667","-37","+360","+35.3","-87","-22"
"214","3455","由田","247","-11","-4.26","3,405","08/19","+7.26","+1.53","+54.7","+38.5","+142","+189","+133","+291","+102","-37.6"
"215","5483","中美晶","176.5","-8.5","-4.59","18,277","08/19","+63.1","+68.3","+44.2","+38.1","-2.53","","+120","+700","+458","+6,967"
"216","00997A","主動群益美國增長","11.33","-0.43","-3.66","16,901","08/19","0","+37.5","+37.5","+37.5","+1,000","0","+450","","",""
"217","2481","強茂","136.5","-3","-2.15","45,689","08/19","+15","+6.96","+20.9","+37.3","+42.4","+29.6","-14.6","+105","+310","+75.2"
"218","6224","聚鼎","65.6","+0.3","+0.46","603","08/19","-3.7","+4","+8.33","+36.8","+550","+62.5","+30","","+420",""
"219","2455","全新","396.5","-21","-5.03","15,313","08/19","-4.45","+3.96","+31.8","+36.8","-4.26","+883","-55.3","+42.6","-16.8","+66.8"
"220","4128","中天","15","-0.1","-0.66","926","08/19","-28.6","-27.4","+2.27","+36.4","+95.7","+12.5","","+32.4","+36.4","+1,025"
"221","5392","能率","45.3","-0.55","-1.2","3,313","08/19","+120","+43.5","+47.8","+35.6","+35.6","+560","+281","+175","-72.9","-50.5"
"222","2426","鼎元","68","+0.9","+1.34","10,942","08/19","+2.09","-7.86","+39.5","+34.7","+119","+358","","+1,528","+1,624","+1,921"
"223","00738U","期元大道瓊白銀","50.1","-1.75","-3.38","3,133","08/19","+15.5","+20.7","+27.6","+34.4","+2.29","-9.66","+12.3","-30.2","+931","-35.1"
"224","3450","聯鈞","567","-12","-2.07","20,474","08/19","-16.2","+52.9","+46.6","+34.4","+89.4","+346","-37.6","+43.7","+28.5","-36.1"
"225","2375","凱美","127","+4.5","+3.67","8,542","08/19","+3.61","+8.06","+3.08","+33.4","","+230","+31.9","+438","+9,950","+128"
"226","2442","新美齊","19.35","+0.05","+0.26","970","08/19","+33.3","+300","+300","+33.3","+300","","","-86.2","-99.5",""
"227","2645","長榮航太","177","-3","-1.67","2,506","08/19","-55.6","-90.9","-69.2","+33.3","-55.6","-55.6","","-96.2","-99.4","-95.9"
"228","2889","國票金","15.55","-0.05","-0.32","14,956","08/19","0","0","0","+33.3","-76.5","-83.3","0","-42.9","-76.5","-55.6"
"229","3607","谷崧","13.9","0","0","115","08/19","+33.3","+33.3","+33.3","+33.3","","","","","+100","+300"
"230","5244","弘凱","32.8","-0.1","-0.3","96","08/19","0","0","0","+33.3","+100","-82.6","-66.7","-92","-99.2","-97.9"
"231","9103","美德醫療-DR","5.17","-0.03","-0.58","665","08/19","-2.99","-1.52","+30","+32.7","-62.4","-62.6","+333","-93.4","-5.8","+550"
"232","6175","立敦","75.7","+0.9","+1.2","972","08/19","-5.71","+32","+26.9","+32","+32","+200","-87.6","-23.3","+175","-74.6"
"233","2359","所羅門","161","-16.5","-9.3","25,062","08/19","-26.5","-18.5","+9.89","+31.8","+155","+823","+28.3","-19.7","-32.2","-34.2"
"234","8039","台虹","271.5","-6","-2.16","42,065","08/19","-4.6","+8.26","-3.18","+31.2","+40.4","+115","+1,052","+528","+2,378","+124"
"235","3005","神基","117.5","0","0","3,204","08/19","-10.6","0","+28.3","+31.1","+31.1","+31.1","+293","-86.8","+168","-86.6"
"236","5289","宜鼎","1515","+55","+3.77","2,236","08/19","+41.7","+112","0","+30.8","0","+6.25","-48.5","-81.1","","-91.2"
"237","1904","正隆","24.75","+0.2","+0.81","2,993","08/19","+15.4","+15.4","+30.4","+30.4","","+15.4","+900","+900","+650","+2,900"
"238","3406","玉晶光","657","-28","-4.09","4,958","08/19","-15.5","-9.42","+13.6","+30.2","+119","+443","+229","+942","+34.4","+140"
"239","6715","嘉基","447.5","+28.5","+6.8","2,792","08/19","+20.9","+26.8","+36.8","+30","+136","+100","+67.7","+767","","+2,500"
"240","8374","羅昇","82.4","-1.9","-2.25","571","08/19","0","-18.8","0","+30","+767","+1,200","-69.8","-82.1","-89.7","-78.2"
"241","3708","上緯投控","101.5","-2.5","-2.4","593","08/19","-21.5","-24.5","-29.2","+29.8","+3,271","+9,400","+252","+1,351","+160","+833"
"242","6278","台表科","174.5","+2.5","+1.45","6,449","08/19","+1.15","-5.38","-3.3","+29.4","-3.3","-13.7","-46","+110","+175","+46.7"
"243","8476","台境*","19.9","-0.25","-1.24","225","08/19","0","+25.2","+26.2","+29.3","-7.02","-77.9","+1,345","+15,800","+15,800",""
"244","00928","中信上櫃ESG30","31.08","-0.75","-2.36","396","08/19","+28.6","0","0","+28.6","+50","+800","","","+50","+50"
"245","1789","神隆","18.95","+0.15","+0.8","388","08/19","0","0","+28.6","+28.6","","","","+125","","+350"
"246","5321","美而快","71","-1.9","-2.61","774","08/19","-8","-4.17","+4.55","+27.8","+15","-14.8","-72.6","-23.3","-55.8","-30.3"
"247","2105","正新","31.05","-0.05","-0.16","5,214","08/19","-33.3","-33.3","-41.7","+27.3","-48.1","+7.69","","+367","-70.8","-70.2"
"248","00995A","主動中信台灣卓越","16.89","-0.33","-1.92","4,132","08/19","+5.56","+26.7","+26.7","+26.7","+26.7","+58.3","+72.7","","",""
"249","4503","金雨","24.25","+0.15","+0.62","319","08/19","0","+58.3","+18.8","+26.7","+217","","","-26.9","-83.9","+850"
"250","7402","邑錡","109","-4","-3.54","547","08/19","-20","-46.1","+4.35","+26.3","+167","-20","+50","0","+37.1","-27.3"
"251","4991","環宇-KY","486.5","+1.5","+0.31","983","08/19","+30","+16.9","-31.1","+25.3","+76.3","+206","-40.6","-34.6","-97.5","-80.7"
"252","3580","友威科","77.8","-2.2","-2.75","181","08/19","-9.09","-37.5","-37.5","+25","+233","+233","-88","+900","-87.3","-23.1"
