單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"8,696,270,920","7,641,675,826","1,054,595,094"
自營商(避險),"25,408,783,829","24,003,239,321","1,405,544,508"
投信,"16,965,701,330","13,575,877,093","3,389,824,237"
外資及陸資(不含外資自營商),"348,999,743,082","326,671,059,787","22,328,683,295"
外資自營商,0,0,0
合計,"400,070,499,161","371,891,852,027","28,178,647,134"
