項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),436013,412135,7092,8986437,9003223
融券(交易單位),17314,28202,996,192740,202632
融資金額(仟元),38849343,30849674,368618,537664510,545295561
