"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"52","6179","亞通","26.85","-0.45","-1.65","787","08/19","-7","-10","+57","+123","+76","+69","+100","+123","+116","-78"
"53","00947","台新臺灣IC設計","35.48","-1","-2.74","7,098","08/19","+3","+87","+119","+122","+92","+159","+159","+134","+171","+168"
"54","2359","所羅門","161","-16.5","-9.3","25,062","08/19","-176","-111","+44","+118","+297","+436","+108","-120","-232","-254"
"55","2492","華新科","298","+16","+5.67","46,495","08/19","+94","+106","+75","+117","+462","+639","-118","+504","+596","+344"
"56","5483","中美晶","176.5","-8.5","-4.59","18,277","08/19","+164","+172","+130","+117","-11","+424","+231","+371","+348","+418"
"57","00937B","群益ESG投等債20+","14.24","+0.06","+0.42","39,940","08/19","+116","+116","+116","+116","+65","+116","+116","+116","+116","+116"
"58","00687B","國泰20年美債","27.05","+0.22","+0.82","14,900","08/19","+110","+112","+112","+112","+112","+112","+110","-422","-644","+88"
"59","3167","大量","693","-77","-10","8,196","08/19","+30","+109","+122","+112","+117","+106","-54","-586","-1,540","-792"
"60","2466","冠西電","99","+2","+2.06","2,600","08/19","+18","+62","+95","+108","+114","-82","+324","+295","+123","+201"
"61","2328","廣宇","46","+2.1","+4.78","7,208","08/19","+127","+111","+110","+104","+179","+218","+175","-25","-496","-675"
"62","00738U","期元大道瓊白銀","50.1","-1.75","-3.38","3,133","08/19","+54","+69","+87","+103","+9","-43","+44","-174","+363","-217"
"63","3163","波若威","710","-1","-0.14","877","08/19","-17","+34","+138","+102","+169","+262","+279","-531","-1,356","-1,690"
"64","3141","晶宏","71.1","+1.4","+2.01","379","08/19","+6","-14","+17","+100","+103","+100","+87","+102","+122","+106"
"65","5225","東科-KY","59.6","-0.4","-0.67","241","08/19","+35","+76","+75","+93","+116","+106","+97","+105","+15","+78"
"66","2478","大毅","134.5","+12","+9.8","11,551","08/19","+103","+100","+97","+88","+96","+130","-137","+135","+144","+108"
"67","3034","聯詠","534","+29","+5.74","4,731","08/19","+63","+61","+28","+88","+283","+291","+280","+288","+285","+272"
"68","4971","IET-KY","528","-28","-5.04","4,334","08/19","-2","+80","+92","+87","+170","+181","+119","-334","-326","-663"
"69","6217","中探針","153","-4","-2.55","2,844","08/19","+29","+101","+94","+87","+96","-131","-245","-40","+116","-26"
"70","3711","日月光投控","588","-11","-1.84","22,448","08/19","+73","+78","+71","+86","+70","+198","+172","-317","+51","-257"
"71","1806","冠軍","8","-0.02","-0.25","228","08/19","-83","-261","+85","+85","+82","+85","+85","+85","-96","+83"
"72","00642U","期元大S&P石油","28.13","+0.03","+0.11","2,544","08/19","+6","+60","+88","+84","+166","+112","-2,958","+614","+716","+719"
"73","2323","中環","10.85","-0.25","-2.25","6,820","08/19","-8","-30","+62","+83","+41","+23","+71","+12","+2","-94"
"74","8033","雷虎","185","-1","-0.54","1,150","08/19","-88","-903","-136","+78","+124","-272","+123","-296","-1,898","-706"
"75","8042","金山電","111.5","+10","+9.85","5,746","08/19","+37","+54","+74","+77","+105","+117","-180","+3","+163","-238"
"76","2352","佳世達","28.75","+0.4","+1.41","5,686","08/19","+16","-23","+43","+74","+79","+90","+63","-402","+62","+5"
"77","2353","宏碁","30.9","+0.35","+1.15","12,355","08/19","+5","-12","-45","+74","+27","+106","+1,404","+1,266","+2,131","+1,574"
"78","0052","富邦科技","60.15","-0.75","-1.23","12,818","08/19","-17","-46","+65","+73","+58","+43","+62","-21","+150","+72"
"79","6282","康舒","45.55","-0.85","-1.83","5,139","08/19","-11","+61","+73","+73","-316","-372","-150","-334","-62","-436"
"80","1301","台塑","56.8","-2.1","-3.57","23,728","08/19","-209","-407","-239","+70","+90","-274","+5","-899","-1,502","-416"
"81","2027","大成鋼","50","+0.3","+0.6","18,075","08/19","-182","-64","-22","+67","+25","+469","+272","+437","-2,819","+433"
"82","2618","長榮航","41.6","-0.3","-0.72","17,735","08/19","-26","-65","+60","+65","+91","+462","+626","+315","+189","+452"
"83","3013","晟銘電","83.3","+0.2","+0.24","779","08/19","+65","+63","+64","+59","+54","+37","+73","-140","-469","-45"
"84","3645","達邁","65.9","-0.9","-1.35","884","08/19","+69","+71","+69","+59","+36","+91","-183","+33","-494","+56"
"85","00935","野村臺灣新科技50","55.9","-0.95","-1.67","7,583","08/19","-25","-21","+35","+58","+114","+119","+138","+182","+144","+194"
"86","1810","和成","26.1","-0.75","-2.79","7,308","08/19","-77","-62","-55","+58","-24","-310","+135","+134","-236","+111"
"87","6147","頎邦","161.5","-2","-1.22","17,264","08/19","+43","-15","+122","+54","-92","+95","-536","+465","+470","+452"
"88","6716","應廣","136.5","-1","-0.73","422","08/19","-4","-3","-38","+53","+55","+55","+48","+41","+54","+57"
"89","00673R","期元大S&P原油反1","12.3","-0.02","-0.16","10,173","08/19","-31","-47","-45","+51","+57","+15","+74","+167","+392","+307"
"90","8210","勤誠","985","-40","-3.9","2,094","08/19","+51","+49","+47","+51","+49","+41","+34","-76","-279","-211"
"91","6451","訊芯-KY","414","-7","-1.66","6,896","08/19","+10","+23","+72","+49","-495","+268","+8","+167","+36","+229"
"92","1909","榮成","11.2","+0.1","+0.9","6,531","08/19","-67","+6","+45","+48","+19","+53","+53","+45","0","+42"
"93","2637","慧洋-KY","91.8","+3.1","+3.49","11,209","08/19","+32","+34","+35","+46","+23","+37","-355","-60","-361","-191"
"94","3059","華晶科","39.25","-0.05","-0.13","1,367","08/19","+7","+44","+45","+46","+50","+33","+31","+24","-148","+21"
"95","8043","蜜望實","143","+5.5","+4","6,108","08/19","+128","+128","+128","+46","-51","-175","-253","-1,235","+128","-1,803"
"96","00753L","中信中國50正2","9.53","+0.07","+0.74","5,786","08/19","-190","-227","-175","+44","+41","-124","-335","-2,068","-4,744","-1,752"
"97","3008","大立光","5550","+260","+4.91","3,874","08/19","+12","+22","+34","+44","+34","+31","+10","+29","+40","+13"
"98","4439","冠星-KY","108.5","+2","+1.88","255","08/19","+50","+51","+51","+44","+46","+57","+62","+47","+62","+46"
"99","6907","雅特力-KY","192.5","+4.5","+2.39","8,890","08/19","+30","+43","+42","+44","+44","","","","",""
"100","8027","鈦昇","169","-0.5","-0.29","1,783","08/19","+26","+35","+34","+44","+76","-61","-155","-76","-236","-288"
"101","3374","精材","299","-7.5","-2.45","11,900","08/19","-44","-1,639","+44","+43","+73","-451","-4","+167","-325","+180"
