排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
1,00860B,群益1-5Y投資級債,37.83,0.02,0.05,26W35,08/28,87.4,1.54,91.9,1.54,100.0,0.0,100.0,0.0
2,0057,富邦摩台,321.6,3.85,1.21,26W35,08/28,64.3,-6.35,100.0,0.0,100.0,0.0,100.0,0.0
3,00657K,國泰日經225+U,24.23,0.29,1.21,26W35,08/28,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
4,00668K,國泰美國道瓊+U,19.66,0.24,1.24,26W35,08/28,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
5,00636K,國泰中國A50+U,8.74,0.04,0.46,26W35,08/28,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
6,006204,永豐臺灣加權,232.25,1.45,0.63,26W35,08/28,67.0,-0.76,85.6,-0.76,100.0,0.0,100.0,0.0
7,00643K,群益深証中小+R,3.83,-0.01,-0.26,26W35,08/28,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
8,00793B,群益AAA-A醫療債,29.75,0.13,0.44,26W35,08/28,61.8,-4.64,61.8,-4.64,100.0,0.0,100.0,0.0
9,00625K,富邦上証+R,8.62,0.0,0.0,26W35,08/28,65.5,0.0,100.0,0.0,100.0,0.0,100.0,0.0
10,009818,華南永昌NASDAQxT,20.05,0.4,2.04,26W35,08/28,82.8,1.14,91.2,0.93,96.9,1.05,98.2,1.14
11,00728,第一金工業30,69.65,1.6,2.35,26W35,08/28,85.4,-2.11,90.0,-2.15,95.3,-2.96,96.4,-1.85
12,00899,FT潔淨能源,23.09,0.14,0.61,26W35,08/28,83.1,0.42,88.9,-0.21,94.3,0.03,94.3,0.03
13,00701,國泰股利精選30,40.08,0.48,1.21,26W35,08/28,90.3,-0.3,92.4,-0.2,94.2,-0.01,95.7,-0.29
14,00861,元大全球未來通訊,84.25,1.75,2.12,26W35,08/28,89.1,0.09,91.2,0.04,94.0,0.04,94.0,0.04
15,00939,統一台灣高息動能,23.89,0.32,1.36,26W35,08/28,81.6,-0.01,89.9,-0.02,93.1,-0.06,93.9,-0.06
16,00905,FT臺灣Smart,26.41,0.34,1.3,26W35,08/28,82.4,-0.11,89.1,-0.06,92.1,0.04,93.2,0.05
