排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
174,2230,泰茂,24.6,0.35,1.44,122,08/05,2,10,22,24,39,66,56.0,16.0,40.0,7.0
175,6214,精誠,153.0,3.0,2.0,2634,08/05,1,-31,18,24,27,26,28.0,20.0,16.0,20.0
176,8932,智通*,99.4,0.6,0.61,2192,08/05,-1,8,-7,24,28,27,30.0,-323.0,-332.0,3.0
177,1514,亞力,101.5,1.6,1.6,1202,08/05,1,1,14,23,-18,-100,-17.0,-300.0,-329.0,-112.0
178,3707,漢磊,62.4,2.6,4.35,6555,08/05,45,19,100,23,-182,-421,-423.0,-10.0,-264.0,-2549.0
179,6215,和椿,96.0,3.4,3.67,929,08/05,4,8,24,23,57,-106,-105.0,-361.0,-1131.0,-327.0
180,6533,晶心科,228.5,3.0,1.33,660,08/05,-2,-1,4,23,-42,27,4.0,22.0,-78.0,22.0
181,2495,普安,38.3,0.8,2.13,2734,08/05,2,10,21,22,27,-160,-51.0,-155.0,21.0,-501.0
182,2395,研華,633.0,57.0,9.9,4139,08/05,8,0,11,21,36,29,26.0,41.0,38.0,36.0
183,2454,聯發科,4000.0,135.0,3.49,12935,08/05,2,-28,-5,21,7,34,-212.0,-60.0,-81.0,34.0
184,4739,康普,85.9,3.3,4.0,1433,08/05,15,22,27,21,6,-29,21.0,50.0,65.0,57.0
185,6127,九豪,49.35,0.45,0.92,3635,08/05,-10,-17,6,21,-37,-408,22.0,-97.0,63.0,-127.0
186,2401,凌陽,27.75,0.6,2.21,3933,08/05,9,7,11,20,-90,-56,94.0,116.0,65.0,116.0
187,2478,大毅,120.0,-1.5,-1.23,6292,08/05,-1,1,13,20,5,48,-2.0,38.0,48.0,12.0
188,2812,台中銀,18.8,-0.1,-0.53,16913,08/05,0,20,20,20,18,20,20.0,19.0,-41.0,9.0
189,3019,亞光,134.0,3.0,2.29,2832,08/05,4,4,17,20,11,21,-546.0,-166.0,-827.0,-38.0
190,6153,嘉聯益,16.0,0.5,3.23,3643,08/05,-21,13,17,20,45,-114,-145.0,-386.0,-798.0,-852.0
191,0052,富邦科技,60.65,2.0,3.41,40326,08/05,15,26,21,19,-3,14,-33.0,-13.0,91.0,14.0
192,1216,統一,73.2,-0.7,-0.95,17478,08/05,17,18,17,19,16,11,-16.0,-16.0,19.0,5.0
193,3466,德晉,24.85,0.35,1.43,286,08/05,-1,2,21,19,19,24,6.0,-63.0,-302.0,-181.0
194,3708,上緯投控,97.2,2.8,2.97,243,08/05,2,18,18,19,17,-33,-265.0,-81.0,-453.0,-81.0
195,6187,萬潤,1070.0,-20.0,-1.83,4270,08/05,-5,13,19,19,2,-2,-29.0,-97.0,-100.0,-71.0
196,2369,菱生,33.7,0.5,1.51,12008,08/05,-6,32,88,18,-9,-182,18.0,-72.0,171.0,-100.0
197,3406,玉晶光,533.0,31.0,6.18,2584,08/05,10,12,23,18,20,39,23.0,24.0,-17.0,5.0
198,3455,由田,186.0,3.5,1.92,943,08/05,2,2,25,18,16,34,-79.0,4.0,33.0,-158.0
199,4442,竣邦-KY,53.1,-5.8,-9.85,1093,08/05,-52,-52,-52,18,18,18,16.0,18.0,,13.0
200,6415,矽力*-KY,445.0,21.0,4.95,6984,08/05,14,10,10,18,-7,-22,-47.0,-122.0,48.0,54.0
201,8054,安國,83.2,2.1,2.59,943,08/05,12,14,17,18,2,-18,-25.0,-476.0,-988.0,-801.0
202,00887,永豐中國科技50大,17.04,0.7,4.28,13023,08/05,12,13,18,17,-5,-527,-450.0,-45.0,105.0,-330.0
203,1597,直得,137.5,6.5,4.96,1759,08/05,-4,15,14,17,19,4,-252.0,25.0,-282.0,27.0
204,5347,世界,157.0,2.5,1.62,37325,08/05,52,25,33,17,74,224,-14.0,-1375.0,-229.0,139.0
205,1736,喬山,134.5,12.0,9.8,1571,08/05,7,16,16,16,6,13,15.0,4.0,6.0,-12.0
206,1905,華紙,13.2,0.05,0.38,1735,08/05,-8,-6,31,16,-285,-566,35.0,17.0,16.0,38.0
207,2543,皇昌,37.45,0.8,2.18,932,08/05,1,16,16,16,-17,-23,-75.0,-83.0,-1147.0,-138.0
208,3011,今皓,11.8,0.25,2.16,288,08/05,0,-2,-2,16,21,6,24.0,25.0,-67.0,-3.0
209,3438,類比科,60.9,3.9,6.84,603,08/05,1,1,17,16,16,18,11.0,13.0,17.0,13.0
210,4915,致伸,63.7,0.1,0.16,2508,08/05,12,13,12,16,21,51,48.0,52.0,27.0,44.0
211,4973,廣穎,148.0,4.0,2.78,2825,08/05,-12,-5,3,16,29,-64,76.0,3.0,80.0,28.0
