"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"107","3550","聯穎","28.6","+0.15","+0.53","26W22","05/29","40.1","-1.1","37.5","-0.99","36.6","-0.23"
"108","5309","系統電","66.6","-1","-1.48","26W22","05/29","41.7","+1.19","40.7","+1.15","39.1","+1.12"
"109","4111","濟生","29.8","-0.15","-0.5","26W22","05/29","38","+0.1","34.7","+0.1","28.2","+0.1"
"110","00632R","元大台灣50反1","10.83","+0.01","+0.09","26W22","05/29","34.9","-0.7","30.2","-0.64","26.8","-0.76"
"111","1503","士電","215","-2","-0.92","26W22","05/29","73","-0.26","72","-0.68","71.7","-0.31"
"112","00932","兆豐永續高息等權","17.43","0","0","26W22","05/29","12.4","+1.46","12.4","+1.46","11.2","+1.38"
"113","3491","昇達科","1680","+45","+2.75","26W22","05/29","27.3","+0.71","17.5","+0.58","12.1","+0.44"
"114","2440","太空梭","17.25","+0.2","+1.17","26W22","05/29","68.7","+0.07","67.1","-0.01","67.1","-0.01"
"115","1513","中興電","164","-0.5","-0.3","26W22","05/29","40.3","+0.19","38.6","+0.11","37.5","-0.05"
"116","9958","世紀鋼","111.5","+0.5","+0.45","26W22","05/29","50.3","-0.44","46.4","-0.31","44.6","-0.74"
"117","4526","東台","39.25","+1.25","+3.29","26W22","05/29","46.9","-0.16","43.5","-0.91","41.7","-0.21"
"118","2342","茂矽","39.7","+0.85","+2.19","26W22","05/29","39.3","+0.06","37.9","+0.43","36.2","+0.42"
"119","00964","中信亞太高股息","14.19","+0.12","+0.85","26W22","05/29","27.3","+2.16","23","+3.16","20.5","+3.19"
"120","00892","富邦台灣半導體","42.03","+0.54","+1.3","26W22","05/29","15.7","+0.61","14","+1.14","12.9","+1.52"
"121","6104","創惟","98.6","-1.4","-1.4","26W22","05/29","15.8","+0.68","13.6","+3.85","8.91","+0.08"
"122","2457","飛宏","28.8","-0.7","-2.37","26W22","05/29","28","+0.32","26.3","-0.13","25.5","+0.5"
"123","1718","中纖","9.05","+0.15","+1.69","26W22","05/29","52.9","+0.01","51.2","-0.13","49.8","-0.13"
"124","006203","元大MSCI台灣","181.05","-2.45","-1.34","26W22","05/29","71.1","+0.05","71.1","+0.05","52.6","-8.68"
"125","3289","宜特","152","-5.5","-3.49","26W22","05/29","21.3","+1.36","18","+1.29","10.3","+1.19"
"126","3376","新日興","203.5","-8","-3.78","26W22","05/29","48.3","+2.57","44.1","+1.77","42.3","+1.39"
