排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
172,8039,台虹,282.0,-1.0,-0.35,08/21,0.12,0.07,0.05,0.04,0.04,-0.18,0.08,0.03,0.02,0.01,0.01,0.0
173,2362,藍天,47.35,0.0,0.0,08/21,0.26,0.13,0.09,0.04,0.02,0.01,-0.19,-0.16,-0.41,-0.01,-0.04,-0.15
174,4105,東洋,78.4,-0.6,-0.76,08/21,0.0,0.0,0.03,0.03,-0.05,0.01,-1.2,1.11,0.57,0.2,-0.45,0.93
175,2495,普安,37.15,-0.05,-0.13,08/21,0.16,0.08,0.05,0.02,0.02,0.09,0.06,0.02,0.0,0.03,0.02,0.08
176,2329,華泰,43.15,0.4,0.94,08/21,0.19,0.08,0.05,0.02,-0.03,0.02,0.09,-0.08,0.0,0.01,0.01,0.01
177,3059,華晶科,39.2,-0.2,-0.51,08/21,0.19,0.09,0.06,0.02,0.02,0.01,0.0,0.0,0.0,-0.01,0.0,0.0
178,2363,矽統,50.7,-0.3,-0.59,08/21,0.11,0.06,0.04,0.02,-0.06,0.01,0.03,0.01,0.01,0.0,0.0,0.03
179,3596,智易,161.0,-1.5,-0.92,08/21,0.14,0.05,0.03,0.02,-0.01,-0.74,5.09,1.74,1.28,-1.06,-0.09,1.59
180,1519,華城,723.0,-4.0,-0.55,08/21,0.0,0.0,0.02,0.01,0.36,0.21,-0.61,-1.22,-0.47,-0.51,-0.02,-0.86
181,2328,廣宇,44.9,-0.7,-1.54,08/21,0.14,0.04,0.02,0.01,0.01,0.04,0.06,0.1,0.0,0.01,0.0,0.06
182,8131,福懋科,62.4,-0.4,-0.64,08/21,0.1,0.03,0.02,0.01,-0.02,0.0,-0.03,-0.07,-0.02,-0.02,-0.02,0.0
183,2367,燿華,42.1,-0.45,-1.06,08/21,0.09,0.03,0.02,0.01,0.0,0.0,0.0,-0.04,0.0,0.02,0.01,0.0
184,2388,威盛,73.9,0.5,0.68,08/21,0.12,0.04,0.02,0.01,-0.07,-0.11,-0.13,0.07,0.03,0.0,0.0,0.06
185,6282,康舒,44.25,-0.75,-1.67,08/21,0.06,0.02,0.02,0.01,-0.06,0.2,0.19,0.01,0.03,0.01,0.02,0.07
186,3357,臺慶科,210.5,-3.5,-1.64,08/21,0.0,0.0,0.0,0.01,0.0,-0.57,-0.05,-0.16,-0.11,-0.01,,-0.1
187,3019,亞光,135.5,-0.5,-0.37,08/21,0.06,0.03,0.02,0.01,-0.01,0.0,0.0,-0.02,-0.12,0.0,0.0,-0.01
188,3714,富采,57.3,0.3,0.53,08/21,0.03,0.02,0.01,0.01,-0.01,0.0,-0.05,0.0,-0.04,-0.01,,0.0
189,8110,華東,45.2,0.85,1.92,08/21,0.03,0.01,0.01,0.01,0.0,0.0,0.0,-0.06,-0.02,-0.01,-0.01,0.0
190,6456,GIS-KY,68.0,-3.2,-4.49,08/21,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0
191,3016,嘉晶,98.4,-4.6,-4.47,08/21,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0
192,6173,信昌電,212.0,-9.0,-4.07,08/21,0.0,0.0,0.0,0.0,0.93,0.79,0.69,0.39,0.14,0.12,-0.04,0.28
193,8086,宏捷科,110.5,-4.0,-3.49,08/21,0.0,0.0,0.0,0.0,0.0,-0.15,-0.04,-0.01,-0.01,0.01,0.0,-0.01
194,00400A,主動國泰動能高息,14.46,-0.2,-1.36,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
195,00401A,主動摩根台灣鑫收,13.34,-0.01,-0.07,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
196,00402A,主動安聯美國科技,9.59,-0.05,-0.52,08/21,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
197,00403A,主動統一升級50,9.92,-0.11,-1.1,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
198,00404A,主動聯博動能50,9.43,0.0,0.0,08/21,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
199,00405A,主動富邦台灣龍耀,8.34,-0.23,-2.68,08/21,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
200,00406A,主動中信台灣收益,9.43,-0.15,-1.57,08/21,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
201,00407A,主動凱基台灣,9.41,-0.13,-1.36,08/21,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
202,00408A,主動第一金優股息,10.23,-0.12,-1.16,08/21,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
203,00410A,主動永豐科技趨勢,11.17,-0.14,-1.24,08/21,0.0,0.0,0.0,0.0,0.0,,,,,,,
204,0051,元大中型100,142.0,0.2,0.14,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,0053,元大電子,238.95,2.5,1.06,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,0055,元大MSCI金融,44.17,1.05,2.44,08/21,0.0,0.0,0.0,0.0,0.0,1.22,0.74,0.52,0.37,0.15,0.05,0.49
207,0057,富邦摩台,312.0,2.25,0.73,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,0061,元大寶滬深,24.41,0.02,0.08,08/21,0.0,0.0,0.0,0.0,0.0,0.0,-5.44,-2.59,-2.36,-0.57,-0.38,-4.32
209,006201,元大富櫃50,42.6,-0.52,-1.21,08/21,0.0,0.0,0.0,0.0,0.71,0.25,2.89,1.18,-1.27,-1.11,-5.45,0.36
210,006203,元大MSCI台灣,190.3,1.6,0.85,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,006204,永豐臺灣加權,225.0,1.8,0.81,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,006206,元大上證50,37.5,0.0,0.0,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0
213,006207,復華滬深,32.6,0.11,0.34,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
214,00631L,元大台灣50正2,34.84,0.57,1.66,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.03,-0.03,-0.03
215,00632R,元大台灣50反1,10.15,-0.07,-0.68,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01
216,00633L,富邦上証正2,49.01,0.79,1.64,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,00634R,富邦上証反1,3.1,-0.02,-0.64,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,00635U,期元大S&P黃金,46.96,0.45,0.97,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,00636,國泰中國A50,28.01,0.22,0.79,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.03,0.0
220,00636K,國泰中國A50+U,8.82,0.07,0.8,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
221,00637L,元大滬深300正2,20.25,0.3,1.5,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,00638R,元大滬深300反1,6.65,-0.06,-0.89,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,00639,富邦深100,16.94,0.19,1.13,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.03,-0.01,0.0
224,00640L,富邦日本正2,106.6,0.7,0.66,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0
225,00641R,富邦日本反1,3.71,-0.01,-0.27,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,00642U,期元大S&P石油,28.75,0.65,2.31,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,00643,群益深証中小,18.63,0.06,0.32,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,00643K,群益深証中小+R,3.92,0.0,0.0,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
229,00647L,元大S&P500正2,138.1,-2.65,-1.88,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,00648R,元大S&P500反1,3.94,0.04,1.03,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,00650L,復華香港正2,17.73,0.07,0.4,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,00651R,復華香港反1,5.09,-0.01,-0.2,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,00653L,富邦印度正2,47.24,0.11,0.23,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0
234,00654R,富邦印度反1,6.67,-0.01,-0.15,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,00655L,國泰中國A50正2,34.14,0.66,1.97,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,00656R,國泰中國A50反1,5.83,-0.06,-1.02,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,00657,國泰日經225,77.65,-0.3,-0.38,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,0.0
238,00657K,國泰日經225+U,24.5,0.06,0.25,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
239,00660,元大歐洲50,46.6,-0.01,-0.02,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,00661,元大日經225,85.55,0.0,0.0,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,00663L,國泰臺灣加權正2,99.5,1.1,1.12,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,00664R,國泰臺灣加權反1,1.65,0.0,0.0,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,00665L,富邦恒生國企正2,9.69,-0.05,-0.51,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,00666R,富邦恒生國企反1,8.87,-0.03,-0.34,08/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
